Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_SSMO	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
10	0	-7157.299	-7440.533	283.234	0.2362791	0.0397125	0.000635391	0.00160991	0.000484968	0.000509437	0.000427681	0.000973599	0.000190329	0.000631383	0.000349885	0.00148715	0.000789908	0.000307446	0.00101533	0.00143436	0.000648641	0.00136806	0.000664133	0.00042052	0.000878754	0.000596639	0.000674012	0.00054923	0.000383705	0.00119002	0.00074485	0.000977816	0.00138955	0.000656965	0.000765048	0.00333662	0.000507738	0.000265785	0.000824296	0.000764527	0.000442662	0.00149163	0.000810075	0.00113977	0.00035399	0.00121715	0.000600067	0.00114653	0.000330789	0.000757902	0.000585205	0.000451367	0.000368513	0.000321478	0.00309111	0.00173213	0.000983301	0.000438384	0.00180815	0.00209545	0.0007978937	0.1475099	0.112297	0.115602	0.193195	0.221514	0.188269	0.169123	0.01822827	-7.133535	3.85352e-16	2.93171e-08	0.0011952	3.9988	0.349508	0.163724	0.147962	0.338806	0.1657382	0.1099823
11	1	-7194.239	-7444.673	250.4341	0.3723689	0.1685327	0.000926926	0.00247054	0.00194429	0.000594005	0.000797941	0.00293543	0.000610424	0.00104382	0.00114805	0.00121151	0.000479506	0.00143628	0.00315793	0.00214045	0.00185516	0.00197943	0.00141649	0.00562095	0.00175023	0.000609456	0.00106446	0.00127837	0.00054417	0.00175242	0.000495415	0.000591181	0.00059185	0.00381519	0.00133059	0.00375248	0.000635471	0.00197555	0.00269396	0.0012435	0.000887152	0.00129486	0.00147538	0.000921573	0.0040599	0.000885503	0.00193605	0.000446456	0.00164787	0.000527562	0.00110308	0.00185949	0.000963509	0.00104598	0.000871486	0.0011708	0.000729804	0.00153359	0.00642567	0.00189605	0.001234028	-0.3802849	0.355946	0.199177	0.0725039	0.0757658	0.0944925	0.202115	0.409499	-6.697471	0.000146253	0.017817	0.296765	3.68527	0.353491	0.156307	0.148139	0.342062	0.02921409	14.01717
12	0	-7152.798	-7430.533	277.7355	0.3831376	0.01858618	0.000503752	0.00213892	0.000633902	0.000702568	0.0004047	0.00175679	0.000782855	0.000727507	0.00111752	0.00090443	0.000872325	0.000177865	0.00107492	0.000681404	0.00104764	0.00204882	0.000374202	0.000978434	0.000737433	0.000618903	0.000598871	0.000711603	0.00155135	0.000432923	0.00133807	0.00230742	0.000604878	0.000912949	0.00147484	0.000541293	0.000899074	0.00067417	0.00157865	0.000706098	0.000599802	0.00118758	0.00164476	0.00348465	0.000279197	0.00226428	0.000295126	0.000702175	0.000782588	0.000532019	0.000819709	0.000611188	0.000398953	0.000185807	0.000526617	0.00054492	0.000433546	0.000458662	0.00332292	0.00100901	0.0007783917	-0.005440765	0.145077	0.215305	0.0864459	0.251317	0.11122	0.190635	0.1186093	-7.158281	2.26475e-33	7.12017e-17	3.1834e-07	4	0.345159	0.151193	0.15392	0.349727	0.1131686	1.048077
13	1	-7163.256	-7435.963	272.7067	0.5774723	0.2245245	0.000798091	0.000345897	0.00186998	0.000539243	0.000618649	0.00094895	0.000636908	0.000986931	0.000459087	0.00119395	0.000373909	0.000997113	0.00193923	0.000575279	0.00110634	0.00111037	0.00115502	0.00101381	0.000735973	0.000783966	0.00120736	0.000730122	0.00153184	0.000943488	0.000743056	0.00077894	0.000623991	0.00234635	0.000757262	0.000450736	0.000701141	0.000977969	0.00126775	0.00115179	0.000724572	0.00230645	0.00161152	0.00062099	0.00048937	0.00122618	0.00238404	0.000809133	0.000882612	0.00339831	0.00057651	0.000945493	0.000675234	0.000556418	0.00148893	0.00217278	0.00246393	0.00207863	0.0033514	0.0015571	0.0008861077	-0.2185141	0.212215	0.256547	0.082343	0.106397	0.138474	0.204025	0.2890409	-7.028672	0.001129	0.0490129	0.4446	3.50526	0.352399	0.155824	0.150772	0.341005	0.07052674	4.098316
14	0	-7154.866	-7432.67	277.8039	0.230495	0.01117144	0.000481592	0.00348108	0.000547503	0.000458889	0.000595912	0.00213416	0.000623934	0.000990571	0.000858998	0.00138392	0.000842745	0.000239122	0.00199395	0.0010401	0.000577052	0.00128128	0.000233484	0.000594976	0.000589498	0.000709874	0.000602454	0.00131285	0.00128827	0.000848872	0.000828599	0.000996924	0.000682967	0.000698681	0.000256205	0.0027636	0.000627655	0.000479268	0.000504346	0.00093725	0.00173174	0.00108286	0.000418625	0.00155305	0.000917563	0.000746827	0.000563389	0.000261472	0.0020768	0.000762325	0.000572669	0.000411271	0.00103003	0.000605703	0.00189411	0.00123793	0.00101244	0.000646824	0.00117939	0.00148238	0.000816033	0.1965645	0.205736	0.16293	0.102715	0.207574	0.194379	0.126666	0.08561174	-7.111056	7.17249e-55	1.26793e-27	1.10108e-11	4	0.342386	0.149979	0.152684	0.35495	0.2821763	0.3033981
15	1	-7149.618	-7425.296	275.6789	0.8258115	0.231105	0.000839332	0.000657155	0.00339233	0.000376821	0.000666918	0.000769224	0.000372335	0.00109796	0.000475981	0.000867379	0.000274682	0.000666975	0.0010823	0.000757624	0.000306588	0.000494706	0.00073719	0.00109835	0.00115334	0.000587942	0.00103719	0.000283981	0.000361824	0.00248323	0.000597717	0.000473838	0.00108258	0.000638426	0.000845559	0.00139973	0.000364112	0.000479229	0.000375821	0.000971557	0.00062756	0.00211452	0.00108488	0.00182487	0.000769305	0.000821339	0.000699048	0.00113704	0.00112928	0.00107892	0.000578873	0.000828757	0.0016802	0.00292747	0.00137281	0.00226546	0.000794193	0.000524169	0.00398687	0.00031306	0.0008447824	-0.3676545	0.257266	0.184474	0.0967844	0.0876801	0.201439	0.172356	0.4315746	-7.076431	0.00134493	0.0534256	0.45991	3.48532	0.350662	0.149763	0.157357	0.342218	0.06392013	6.75178
16	0	-7162.287	-7440.363	278.0753	0.2816411	0.01297173	0.000430872	0.00229105	0.000865119	0.00101869	0.000890434	0.00189161	0.000744752	0.000712244	0.000885278	0.00133478	0.000770713	0.000350476	0.0014209	0.00125033	0.000584818	0.00108847	0.000307078	0.000948976	0.000770103	0.00061213	0.000465555	0.00128342	0.000401936	0.00251226	0.000884574	0.000846665	0.00134291	0.00099157	0.00217052	0.00136351	0.000332416	0.000673138	0.000681249	0.000994736	0.00104025	0.0012954	0.00111276	0.00273866	0.000513165	0.00200455	0.00185197	0.000310997	0.000690653	0.00140882	0.00149334	0.00105046	0.000510499	0.000769553	0.00155036	0.000454861	0.00161859	0.000355622	0.00136206	0.000579734	0.0008964895	-0.02459948	0.114831	0.124826	0.128009	0.197584	0.272463	0.162287	0.1250143	-7.017024	2.16315e-47	6.96203e-24	3.92491e-10	4	0.357954	0.156798	0.158025	0.327224	0.1004148	1.244979
17	1	-7143.38	-7424.301	280.9208	0.4085568	0.2917936	0.000875342	0.000892018	0.00297409	0.00103397	0.000968993	0.00114435	0.0013635	0.00138253	0.000589105	0.000459477	0.00107813	0.000173492	0.000757669	0.00133542	0.00032194	0.0004434	0.000667069	0.000780239	0.0012328	0.000381581	0.00045996	0.000123156	0.00108661	0.000845397	0.000330575	0.000394596	0.00135539	0.00116324	0.00079496	0.000713605	0.000278613	0.000315206	0.000424001	0.000471663	0.000303136	0.000903328	0.000439606	0.000274991	0.00121949	0.000383408	0.00131887	0.000259921	0.000662686	0.000239311	0.000669599	0.000234147	0.000504147	0.000616288	0.00110777	0.00214655	0.000332608	0.000751735	0.00373358	0.000445759	0.0006578726	-0.4551858	0.106045	0.180358	0.130053	0.189137	0.111518	0.28289	0.5822696	-7.326499	0.00465327	0.0981281	0.58176	3.31546	0.349448	0.151854	0.155994	0.342704	0.1270838	4.581777
18	0	-7140.066	-7428.263	288.1966	0.346541	0.008367	0.000443832	0.00262742	0.000290885	0.000695247	0.00111243	0.000791282	0.000624869	0.000486487	0.000998178	0.000871851	0.000518223	0.000200507	0.000918631	0.000752757	0.000758777	0.000913986	0.00041752	0.000685465	0.000781192	0.000927636	0.000537007	0.00238789	0.000612039	0.00170512	0.000790482	0.000570306	0.000722879	0.000543442	0.00149904	0.000453889	0.00136863	0.000402637	0.00201672	0.000638405	0.00139154	0.00111876	0.00105605	0.00221858	0.000570727	0.00149577	0.000522992	0.000292325	0.000400458	0.00231997	0.000514291	0.000563911	0.000741024	0.000685716	0.00071118	0.000608772	0.000680762	0.000258863	0.000801565	0.000607231	0.0007611322	-0.00535652	0.154661	0.155388	0.126445	0.188121	0.166919	0.208465	0.1132834	-7.180704	6.19697e-73	1.17885e-36	1.96551e-15	4	0.355811	0.153138	0.153099	0.337952	0.1079269	1.049631
19	1	-7144.99	-7431.055	286.0649	0.8418688	0.1338376	0.000770521	0.000962057	0.00277235	0.000259133	0.000742933	0.000526007	0.000401875	0.00150533	0.000489815	0.00226203	0.00154416	0.00046577	0.000597118	0.00042833	0.000659632	0.000421658	0.000969595	0.000501769	0.00135522	0.000153848	0.000487651	0.000197717	0.000798362	0.00061173	0.000332795	0.000824451	0.000428373	0.000882339	0.00113505	0.000813736	0.000524277	0.000193568	0.00116071	0.000253757	0.000252339	0.000489662	0.000394122	0.000268797	0.00204	0.00101073	0.000609842	0.000196154	0.000953878	0.000232717	0.000772035	0.00038801	0.000648799	0.000648729	0.000471886	0.00126124	0.000566941	0.00058388	0.00366077	0.000526458	0.0006291989	-0.2175978	0.109048	0.231604	0.111911	0.201311	0.113326	0.232801	0.3161685	-7.371063	1.74292e-05	0.00618038	0.192729	3.80107	0.358379	0.151285	0.148915	0.341421	0.09857069	3.20753
