Iteration	Posterior	Likelihood	Prior	age_SSMO	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-21293.39	-21255.97	-37.4139	0.8349037	1	0.065994	0.275117	0.563246	0.114422	0.130887	0.103879	0.284383	0.430302	0.0549651	0.255415	0.286907	0.151685	0.213591	0.0878487	0.296023	0.228589	0.326893	0.273136	0.109671	0.183267	0.629648	0.419322	0.136962	0.363908	0.354366	0.147856	0.178108	1.72876	0.72852	0.262899	0.644273	0.729694	0.256398	0.264131	0.168411	0.0934661	0.586115	0.202439	0.262894	0.254139	0.0777997	0.315848	0.192524	0.544517	0.209922	0.681084	0.22323	0.137525	0.423329	0.163235	0.297852	0.154123	0.291862	0.254419	0.2539188	0.0001692935	0.0674951	0.624058	0.086773	0.0889867	0.0187936	0.113894	0.08374808	-1.370741	0.136954	0.476752	1	2.38629	0.730188	0.106037	0.049681	0.114093	0.08391738	0.9979826
10	-8041.171	-8110.305	69.13427	0.004277213	0.3084124	0.0096594	0.0408674	0.0859588	0.0038412	0.0237549	0.01969	0.0427685	0.0928227	0.0145788	0.0554449	0.0765458	0.0207858	0.0243946	0.0111757	0.0425469	0.0740514	0.0221763	0.0759665	0.0129514	0.0139416	0.0483586	0.0667833	0.022323	0.0236271	0.0234039	0.0172311	0.0160939	0.0716292	0.0405582	0.0543684	0.132308	0.0379613	0.0201501	0.0424723	0.0125054	0.0218116	0.0130969	0.0085982	0.039071	0.05688	0.0604203	0.0271652	0.0528204	0.0645003	0.0240731	0.0756326	0.0295797	0.036056	0.0264528	0.0299039	0.0299602	0.0158553	0.0142815	0.00585736	0.03720169	-0.038699	0.0446084	0.636946	0.0437007	0.115546	0.0142874	0.144912	0.05480495	-3.291401	0.00600249	0.111053	0.609664	3.27328	0.472449	0.148087	0.15759	0.221874	0.01610595	3.402776
20	-7297.883	-7453.513	155.6295	0.01282356	0.1153948	0.0038823	0.0155242	0.00557011	0.000519906	0.0142224	0.00347453	0.00204693	0.0140891	0.0105527	0.00735643	0.0169691	0.0038775	0.00639292	0.0114793	0.00345681	0.0136716	0.0111229	0.0147189	0.0124931	0.00830345	0.013039	0.0142925	0.00551434	0.00263462	0.00568405	0.00481093	0.00449777	0.0108104	0.00607049	0.00718613	0.00497462	0.00241527	0.00554039	0.0034047	0.00837194	0.00237086	0.00638519	0.00310126	0.00243308	0.00362973	0.00984736	0.00567206	0.00229836	0.00543607	0.0122128	0.00642115	0.0252474	0.00389531	0.00253115	0.00600682	0.0121063	0.00187508	0.010834	0.00101412	0.007135347	-0.1945711	0.263494	0.126223	0.0851571	0.251281	0.0549047	0.21894	0.2196922	-4.942694	3.33862e-06	0.00271061	0.137274	3.86001	0.340238	0.152831	0.159269	0.347661	0.02512108	8.745333
30	-7222.953	-7440.416	217.4631	0.1595707	0.1685012	0.00274532	0.0016853	0.00270141	0.000558549	0.00140776	0.00250768	0.000754266	0.00252553	0.000696394	0.00207269	0.00560182	0.00354205	0.00173145	0.00493891	0.00109933	0.00154346	0.00309027	0.00528629	0.00326794	0.00863546	0.00261232	0.00492892	0.000603276	0.0021925	0.000591343	0.00184871	0.00208651	0.00105534	0.0017925	0.00207354	0.00271022	0.00238434	0.00119228	0.00142547	0.00100786	0.000952599	0.00170713	0.00116466	0.00396909	0.00186756	0.00282182	0.00156003	0.000981456	0.00934018	0.00396221	0.00168379	0.00304867	0.00554779	0.00341828	0.00533683	0.00402706	0.00274042	0.00607101	0.000356722	0.002369702	-0.2264186	0.164644	0.105123	0.0923856	0.106608	0.116388	0.414851	0.2376448	-6.044991	0.000146029	0.0178034	0.296673	3.68538	0.350542	0.157459	0.149504	0.342495	0.01122617	21.16882
40	-7195.937	-7441.909	245.9719	0.2028192	0.1277288	0.000986468	0.00149528	0.00212807	0.000398699	0.000718168	0.00234657	0.000658163	0.00202041	0.00154927	0.0016572	0.00257376	0.00166752	0.00121377	0.00324404	0.00330466	0.00235335	0.00202349	0.00304674	0.00259879	0.00230523	0.00140055	0.00624429	0.00069225	0.00431864	0.000937718	0.000625346	0.000853068	0.00157429	0.00167301	0.00249666	0.000915458	0.00294983	0.00241194	0.00135664	0.00142522	0.00154534	0.00345982	0.00129303	0.00153754	0.00106679	0.00144039	0.00124777	0.00102411	0.00211453	0.00122676	0.00154969	0.00129249	0.00194	0.00296462	0.000992321	0.00125037	0.00157756	0.00471563	0.000306435	0.001579777	-0.6548064	0.134798	0.154769	0.123664	0.094098	0.173862	0.318809	0.662733	-6.450472	1.06303e-05	0.0048302	0.174169	3.82099	0.352777	0.163944	0.147373	0.335905	0.007926537	83.6094
50	-7194.239	-7444.673	250.4341	0.3723689	0.1685327	0.000926926	0.00247054	0.00194429	0.000594005	0.000797941	0.00293543	0.000610424	0.00104382	0.00114805	0.00121151	0.000479506	0.00143628	0.00315793	0.00214045	0.00185516	0.00197943	0.00141649	0.00562095	0.00175023	0.000609456	0.00106446	0.00127837	0.00054417	0.00175242	0.000495415	0.000591181	0.00059185	0.00381519	0.00133059	0.00375248	0.000635471	0.00197555	0.00269396	0.0012435	0.000887152	0.00129486	0.00147538	0.000921573	0.0040599	0.000885503	0.00193605	0.000446456	0.00164787	0.000527562	0.00110308	0.00185949	0.000963509	0.00104598	0.000871486	0.0011708	0.000729804	0.00153359	0.00642567	0.00189605	0.001234028	-0.3802849	0.355946	0.199177	0.0725039	0.0757658	0.0944925	0.202115	0.409499	-6.697471	0.000146253	0.017817	0.296765	3.68527	0.353491	0.156307	0.148139	0.342062	0.02921409	14.01717
60	-7163.256	-7435.963	272.7067	0.5774723	0.2245245	0.000798091	0.000345897	0.00186998	0.000539243	0.000618649	0.00094895	0.000636908	0.000986931	0.000459087	0.00119395	0.000373909	0.000997113	0.00193923	0.000575279	0.00110634	0.00111037	0.00115502	0.00101381	0.000735973	0.000783966	0.00120736	0.000730122	0.00153184	0.000943488	0.000743056	0.00077894	0.000623991	0.00234635	0.000757262	0.000450736	0.000701141	0.000977969	0.00126775	0.00115179	0.000724572	0.00230645	0.00161152	0.00062099	0.00048937	0.00122618	0.00238404	0.000809133	0.000882612	0.00339831	0.00057651	0.000945493	0.000675234	0.000556418	0.00148893	0.00217278	0.00246393	0.00207863	0.0033514	0.0015571	0.0008861077	-0.2185141	0.212215	0.256547	0.082343	0.106397	0.138474	0.204025	0.2890409	-7.028672	0.001129	0.0490129	0.4446	3.50526	0.352399	0.155824	0.150772	0.341005	0.07052674	4.098316
70	-7149.618	-7425.296	275.6789	0.8258115	0.231105	0.000839332	0.000657155	0.00339233	0.000376821	0.000666918	0.000769224	0.000372335	0.00109796	0.000475981	0.000867379	0.000274682	0.000666975	0.0010823	0.000757624	0.000306588	0.000494706	0.00073719	0.00109835	0.00115334	0.000587942	0.00103719	0.000283981	0.000361824	0.00248323	0.000597717	0.000473838	0.00108258	0.000638426	0.000845559	0.00139973	0.000364112	0.000479229	0.000375821	0.000971557	0.00062756	0.00211452	0.00108488	0.00182487	0.000769305	0.000821339	0.000699048	0.00113704	0.00112928	0.00107892	0.000578873	0.000828757	0.0016802	0.00292747	0.00137281	0.00226546	0.000794193	0.000524169	0.00398687	0.00031306	0.0008447824	-0.3676545	0.257266	0.184474	0.0967844	0.0876801	0.201439	0.172356	0.4315746	-7.076431	0.00134493	0.0534256	0.45991	3.48532	0.350662	0.149763	0.157357	0.342218	0.06392013	6.75178
80	-7143.38	-7424.301	280.9208	0.4085568	0.2917936	0.000875342	0.000892018	0.00297409	0.00103397	0.000968993	0.00114435	0.0013635	0.00138253	0.000589105	0.000459477	0.00107813	0.000173492	0.000757669	0.00133542	0.00032194	0.0004434	0.000667069	0.000780239	0.0012328	0.000381581	0.00045996	0.000123156	0.00108661	0.000845397	0.000330575	0.000394596	0.00135539	0.00116324	0.00079496	0.000713605	0.000278613	0.000315206	0.000424001	0.000471663	0.000303136	0.000903328	0.000439606	0.000274991	0.00121949	0.000383408	0.00131887	0.000259921	0.000662686	0.000239311	0.000669599	0.000234147	0.000504147	0.000616288	0.00110777	0.00214655	0.000332608	0.000751735	0.00373358	0.000445759	0.0006578726	-0.4551858	0.106045	0.180358	0.130053	0.189137	0.111518	0.28289	0.5822696	-7.326499	0.00465327	0.0981281	0.58176	3.31546	0.349448	0.151854	0.155994	0.342704	0.1270838	4.581777
90	-7144.99	-7431.055	286.0649	0.8418688	0.1338376	0.000770521	0.000962057	0.00277235	0.000259133	0.000742933	0.000526007	0.000401875	0.00150533	0.000489815	0.00226203	0.00154416	0.00046577	0.000597118	0.00042833	0.000659632	0.000421658	0.000969595	0.000501769	0.00135522	0.000153848	0.000487651	0.000197717	0.000798362	0.00061173	0.000332795	0.000824451	0.000428373	0.000882339	0.00113505	0.000813736	0.000524277	0.000193568	0.00116071	0.000253757	0.000252339	0.000489662	0.000394122	0.000268797	0.00204	0.00101073	0.000609842	0.000196154	0.000953878	0.000232717	0.000772035	0.00038801	0.000648799	0.000648729	0.000471886	0.00126124	0.000566941	0.00058388	0.00366077	0.000526458	0.0006291989	-0.2175978	0.109048	0.231604	0.111911	0.201311	0.113326	0.232801	0.3161685	-7.371063	1.74292e-05	0.00618038	0.192729	3.80107	0.358379	0.151285	0.148915	0.341421	0.09857069	3.20753
