Iteration	Posterior	Likelihood	Prior	age_SSMO	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
100	-7171.851	-7433.353	261.5019	0.6307169	0.1066098	0.00125573	0.000796552	0.00458674	0.000347034	0.00151775	0.00086329	0.00131443	0.00207433	0.000803932	0.000833721	0.00242387	0.000692508	0.00104955	0.00108492	0.000655484	0.000252424	0.00058743	0.00124094	0.00267277	0.000481024	0.00100396	0.000760949	0.000790737	0.00143876	0.000855957	0.00118078	0.000294812	0.000580359	0.000607514	0.000204403	0.00039951	0.00195338	0.00152669	0.000857642	0.000350482	0.000730108	0.000406019	0.00103054	0.000810786	0.00246575	0.00108995	0.00117783	0.000817437	0.000413533	0.00225669	0.000984609	0.000791304	0.000450854	0.000868623	0.00382844	0.000171639	0.00134996	0.00298826	0.0006144	0.0008789323	-0.4077811	0.107382	0.153713	0.0889603	0.178688	0.244576	0.226681	0.5487009	-7.036803	1.24232e-06	0.00165497	0.111954	3.88639	0.354237	0.149537	0.15875	0.337475	0.1409198	3.893711
110	-7144.843	-7432.112	287.2685	0.2508424	0.142861	0.00122116	0.000620661	0.00285484	0.000425985	0.000282141	0.000880607	0.000761113	0.00136994	0.000354337	0.000866864	0.00140622	0.000267581	0.000629502	0.000447431	0.00026696	0.000224283	0.00026972	0.000519835	0.000423227	0.000356659	0.0010421	0.000675689	0.000483492	0.00121997	0.00234561	0.000400789	0.000618425	0.000279604	0.000465674	0.000201614	0.000382433	0.000684747	0.00030248	0.000426488	0.000699994	0.000174648	0.000495762	0.000856069	0.000214748	0.000747982	0.00172592	0.000578784	0.000658921	0.000667484	0.00151656	0.000311529	0.000879178	0.00108401	0.00101096	0.00198104	0.000465802	0.000725957	0.00194472	0.000356996	0.0006003181	-0.6189809	0.164201	0.0730261	0.121478	0.280389	0.126487	0.234419	0.6716512	-7.418051	3.34822e-05	0.00855633	0.220201	3.77121	0.355346	0.146875	0.159247	0.338532	0.05267038	12.75197
120	-7147.504	-7436.434	288.9303	0.2625155	0.3069849	0.00247761	0.0007163	0.00307408	0.000347457	0.000537567	0.00132475	0.000473738	0.00181767	0.000271556	0.00149034	0.00110472	0.000613889	0.000500101	0.000786665	0.000487354	0.00137181	0.000215719	0.000859042	0.000808397	0.000472236	0.00108643	0.00065413	0.000812887	0.000884288	0.000512793	0.000629787	0.000236023	0.000618657	0.000324068	0.00128702	0.000314735	0.000462747	0.00067729	0.000909296	0.000414161	0.000284626	0.00064117	0.000175925	0.000878424	0.000128916	0.000779442	0.00105879	0.000722214	0.000316145	0.000832482	0.000828241	0.000521563	0.000980734	0.000584556	0.00042031	0.000389829	0.000312342	0.00255029	0.000268612	0.0006039506	-0.08893586	0.139393	0.143681	0.113412	0.158326	0.166634	0.278554	0.1424028	-7.412018	0.005879	0.109939	0.607349	3.27683	0.35287	0.146605	0.158954	0.341571	0.05346691	2.663381
130	-7164.34	-7441.23	276.8901	0.2000278	0.5212592	0.00236867	0.00122613	0.00489876	0.000768255	0.00129628	0.00103133	0.000512636	0.00133282	0.0003304	0.000736392	0.00131987	0.000472401	0.00123148	0.000786176	0.000948718	0.000603829	0.000523867	0.000857124	0.000621435	0.000612079	0.000740313	0.000576025	0.000343335	0.00212344	0.000826621	0.00148813	0.000542667	0.000699623	0.00162608	0.000633509	0.000238594	0.00126526	0.000558487	0.00135218	0.00119839	0.000380804	0.000516148	0.000436127	0.000422829	0.000666971	0.00125079	0.000699194	0.000774318	0.00226858	0.000694382	0.000548245	0.000400572	0.0010901	0.000956042	0.000796589	0.00119067	0.000175635	0.00392615	0.000909077	0.0008651406	-0.1298494	0.387981	0.111349	0.0721218	0.119686	0.128116	0.180745	0.2124054	-7.052618	0.0373925	0.265568	0.835141	2.8619	0.346624	0.147346	0.157855	0.348176	0.08255598	2.572865
140	-7149.605	-7431.685	282.0805	0.3736522	0.48062	0.000806454	0.00155041	0.00351278	0.00107705	0.000607812	0.000875805	0.000342827	0.00116327	0.00041962	0.000824323	0.00114488	0.000649452	0.000554241	0.000556493	0.000759258	0.000385594	0.000519591	0.000846023	0.000394442	0.000319558	0.000448135	0.00117801	0.000397739	0.00158828	0.000404096	0.0008617	0.000407885	0.00027432	0.000362893	0.000666595	0.000117172	0.000655811	0.000666861	0.00161965	0.000267277	0.000728809	0.00037832	0.000998924	0.000397294	0.00102278	0.00136531	0.000640282	0.00113231	0.000234724	0.00134484	0.000586181	0.00306362	0.00119956	0.000800918	0.00147398	0.00137648	0.000549632	0.00189939	0.000432904	0.0006529028	-0.3862351	0.191515	0.170348	0.130511	0.131429	0.162288	0.213909	0.4200392	-7.334082	0.0298544	0.239076	0.805638	2.92543	0.346624	0.147346	0.157855	0.348176	0.03380408	12.4257
150	-7136.464	-7425.661	289.1967	0.212417	0.815455	0.000495085	0.000922915	0.00461501	0.000461688	0.000421353	0.00144097	0.000377008	0.000840631	0.000530392	0.00112361	0.000913537	0.000675277	0.000600866	0.00036133	0.000944524	0.000346306	0.000362459	0.000805375	0.000428018	0.000155065	0.000241275	0.00102764	0.000591121	0.000605242	0.000554033	0.000392097	0.00154187	0.00070597	0.000470617	0.00132368	0.000162888	0.000493249	0.000606505	0.000421911	0.00038513	0.000648445	0.000361569	0.00107591	0.000249976	0.000980544	0.000862978	0.000475808	0.000889806	0.000620344	0.00138002	0.00113364	0.00182786	0.000532176	0.00051857	0.00252225	0.000389884	0.000325378	0.00192505	0.000469702	0.0006309714	-0.08549184	0.252091	0.216799	0.0864439	0.159409	0.105556	0.179701	0.1573068	-7.36825	0.0988429	0.413283	0.961147	2.52673	0.362692	0.147998	0.147524	0.341787	0.07181491	2.190447
160	-7148.742	-7435.856	287.1139	0.4725927	6.468661	0.00061728	0.000908443	0.00314893	0.00121298	0.000650157	0.00070783	0.000395089	0.000867256	0.000357862	0.00141669	0.00060367	0.00133146	0.000592219	0.000395217	0.000671691	0.000722017	0.000626542	0.000577769	0.000246171	0.000545346	0.00116624	0.00132799	0.000333831	0.000348426	0.000568858	0.000453794	0.000734998	0.000390565	0.00103747	0.000941435	0.00110927	0.000527118	0.00101479	0.000511084	0.000321684	0.000741882	0.00078851	0.000340379	0.000661851	0.00173774	0.00108369	0.000340336	0.00106963	0.000293302	0.00279263	0.000554764	0.00108211	0.000482536	0.000555606	0.00115805	0.000975864	0.00052475	0.0036418	0.000186352	0.0006805937	-0.211927	0.161279	0.241801	0.123306	0.241562	0.0975204	0.134532	0.26279	-7.292545	0.553599	0.832378	1.08019	1.53383	0.354378	0.145509	0.166161	0.333952	0.05086301	5.166623
170	-7156.338	-7439.857	283.519	0.6781698	9.250868	0.00122554	0.000378157	0.0023723	0.0023688	0.000727536	0.00170463	0.000340616	0.000543902	0.000349159	0.000838978	0.000722505	0.000790755	0.000641673	0.000349713	0.00117492	0.0010401	0.000577441	0.000972386	0.00121326	0.000362502	0.000451743	0.000650819	0.000392047	0.000290237	0.00173294	0.00055108	0.000907824	0.000442413	0.000404806	0.000917563	0.000632441	0.00123752	0.000325485	0.000549494	0.00305257	0.00185838	0.00152889	0.000455005	0.000413953	0.000321052	0.00122236	0.00082794	0.00100655	0.000859204	0.00153041	0.00113808	0.000682169	0.00113332	0.00063282	0.000451568	0.000785395	0.00149949	0.00194297	0.000621806	0.0008831144	-0.03554721	0.163627	0.0950699	0.108083	0.236235	0.182468	0.214517	0.06729904	-7.032056	0.618417	0.864772	1.07389	1.44292	0.351453	0.144308	0.16479	0.339449	0.03175184	2.119532
180	-7166.254	-7433.63	267.3759	0.3540424	4.498969	0.00053581	0.000613409	0.00243069	0.00143426	0.000370852	0.00355485	0.000614119	0.000752331	0.000178577	0.000586898	0.0018051	0.00123649	0.000705111	0.000321088	0.000437827	0.000502797	0.000756272	0.00157826	0.000720439	0.000443067	0.00087264	0.00107132	0.000969512	0.000253393	0.000845471	0.0012174	0.00203842	0.00139538	0.000673084	0.000591605	0.00187213	0.00142997	0.00137444	0.000713047	0.000473549	0.00165297	0.00112389	0.000311149	0.00124898	0.000541177	0.00116551	0.000252288	0.00102881	0.00125268	0.00195054	0.000376784	0.00249552	0.00301004	0.00137796	0.00279337	0.00106047	0.00170987	0.00128192	0.000617267	0.0008152821	-0.09259117	0.182293	0.0907253	0.149228	0.19046	0.148305	0.238989	0.09965772	-7.111976	0.479836	0.79087	1.08405	1.64525	0.347949	0.144009	0.165366	0.342676	0.007066543	14.10275
190	-7150.052	-7428.719	278.6673	0.2920553	4.399732	0.00114519	0.000414764	0.00361695	0.000611673	0.000347648	0.00275063	0.000631683	0.000546239	0.000234506	0.000430281	0.000640888	0.00145082	0.000747514	0.000438498	0.000346075	0.000525964	0.000704527	0.00158423	0.000756254	0.000842022	0.00294274	0.000441282	0.000802796	0.000367435	0.000599195	0.000964269	0.000921993	0.000912804	0.000301584	0.000905204	0.00177932	0.000192502	0.000511985	0.000633389	0.000773245	0.00115791	0.00113911	0.0006738	0.00169123	0.000381877	0.0011108	0.000176213	0.000952857	0.00132679	0.00141698	0.000642854	0.00175883	0.00191371	0.000998599	0.00139649	0.000613465	0.00096821	0.0013982	0.000335357	0.0007535809	-0.1048064	0.140025	0.191401	0.0752728	0.207787	0.169132	0.216381	0.1107412	-7.190674	0.475059	0.787989	1.08415	1.6528	0.350931	0.145243	0.158214	0.345612	0.005934793	18.65965
200	-7146.034	-7438.704	292.6705	0.4226593	2.85432	0.00109704	0.000630527	0.00127543	0.000989872	0.000376723	0.00131992	0.000368382	0.000452445	0.000202208	0.000367741	0.000493401	0.00107994	0.000387814	0.000175411	0.00125004	0.0018986	0.000480994	0.00213927	0.000376247	0.000722532	0.000712839	0.00139792	0.000643178	0.000161535	0.00060767	0.00179682	0.00038104	0.000766678	0.000351998	0.000780611	0.000487704	0.000366644	0.00074113	0.00109423	0.00092298	0.002198	0.000869715	0.000857635	0.000307116	0.000352456	0.000999469	0.000309451	0.000938696	0.000408629	0.000619793	0.000451756	0.000700548	0.000419155	0.000423891	0.000440049	0.000590415	0.000519436	0.00227765	0.000882013	0.0006471269	-0.1036548	0.171613	0.333902	0.0587901	0.228972	0.106198	0.100524	0.1140503	-7.342968	0.377668	0.723129	1.0817	1.81751	0.355698	0.145461	0.150468	0.348374	0.01039548	10.97114
210	-7156.77	-7429.234	272.4633	0.2948456	7.073689	0.000645589	0.00102671	0.00342449	0.000758849	0.000490606	0.00198454	0.000320114	0.00120726	0.000368049	0.00130235	0.000943638	0.00100927	0.000680498	0.000277773	0.000919925	0.000738749	0.000577163	0.000476616	0.0012879	0.001019	0.00130378	0.000800823	0.000597162	0.000819573	0.000742684	0.000253781	0.00248759	0.000501677	0.000871028	0.00135753	0.00154892	0.000392318	0.000479826	0.000778992	0.00144311	0.00334458	0.00114712	0.000545167	0.0012453	0.000444617	0.00157196	0.00402138	0.0013775	0.000478221	0.00159362	0.000790857	0.00093245	0.00150085	0.00107263	0.0011997	0.000668574	0.00136149	0.0027251	0.00110404	0.0009247994	-0.03983066	0.172043	0.128664	0.105738	0.116414	0.176106	0.301034	0.09375977	-6.985934	0.570544	0.841188	1.07878	1.50949	0.346987	0.156462	0.149777	0.346774	0.05392911	1.738574
220	-7176.415	-7445.701	269.2857	0.5124505	10.54022	0.00100787	0.001656	0.0034093	0.00089978	0.00115225	0.00188845	0.000565327	0.0010504	0.00104238	0.00190333	0.00129327	0.00081208	0.00214469	0.00138019	0.000853957	0.0019359	0.000940097	0.000440978	0.00111144	0.00129953	0.00197959	0.00125459	0.000777525	0.000928316	0.00035012	0.000599331	0.00220708	0.00194649	0.000613124	0.00160989	0.00127837	0.00134353	0.000905263	0.00146562	0.000859345	0.00160566	0.00107646	0.00155866	0.00130197	0.000874803	0.00229545	0.0015018	0.00134214	0.000798982	0.00251439	0.000774738	0.00152123	0.000666518	0.000964305	0.000698375	0.00330676	0.00112396	0.00387609	0.000908161	0.001211076	-0.1632958	0.149668	0.322408	0.0985691	0.0862562	0.188723	0.154376	0.1739573	-6.716246	0.640082	0.874851	1.07126	1.4138	0.352007	0.143352	0.152849	0.351792	0.01066143	16.31651
230	-7174.85	-7448.668	273.8181	0.3501749	12.18332	0.00115129	0.00159888	0.00186684	0.000636328	0.000542326	0.000743475	0.00029462	0.0015291	0.000817773	0.00369265	0.000655932	0.00111	0.000661498	0.00112375	0.00150408	0.00134032	0.000824687	0.000788292	0.00148511	0.000632051	0.00258192	0.000905684	0.00059049	0.00120633	0.000856094	0.000327198	0.00131954	0.00158357	0.000699974	0.00191129	0.00144172	0.00155939	0.00154913	0.00135658	0.000871969	0.00120406	0.000928222	0.00137738	0.00102391	0.00103612	0.000945275	0.000752703	0.000570529	0.00113175	0.00108503	0.00122705	0.00116292	0.00107877	0.000714709	0.00306466	0.000957649	0.00040402	0.00295202	0.000538856	0.0009762705	0.06994668	0.137546	0.302424	0.078591	0.049269	0.154783	0.277387	0.08999085	-6.931771	0.662918	0.8851	1.06824	1.38374	0.365115	0.14869	0.158541	0.327654	0.1599375	0.5626625
240	-7152.182	-7438.461	286.2791	0.2450063	61.38185	0.000980535	0.0022026	0.00137193	0.00129775	0.000799793	0.000551531	0.000891323	0.000420669	0.000447225	0.00143223	0.000693663	0.000237698	0.00112816	0.000898484	0.000495249	0.000699918	0.000461593	0.000724181	0.000460635	0.000696252	0.000367831	0.0016511	0.00125167	0.000343444	0.000650439	0.000856913	0.000939217	0.000439387	0.000374382	0.000221436	0.000648604	0.000679721	0.000916973	0.00107005	0.000551828	0.00249635	0.000830265	0.000786253	0.00211248	0.00042823	0.000615274	0.000730903	0.00082419	0.000544611	0.00222788	0.00143367	0.000917497	0.00155342	0.0003059	0.00233312	0.000725326	0.000907782	0.000556393	0.000714391	0.0008168158	-0.0963095	0.137879	0.20614	0.090063	0.0640516	0.236546	0.265321	0.172938	-7.110097	0.842743	0.954037	1.03666	1.16656	0.365954	0.148494	0.158331	0.327221	0.07662847	2.256837
250	-7177.566	-7449.058	271.4923	0.271121	125.2524	0.000701447	0.000808099	0.00453795	0.000441454	0.000813733	0.000481735	0.000924169	0.000234633	0.000856797	0.00269087	0.000663042	0.000179814	0.00113323	0.00055003	0.00113671	0.000613693	0.00135311	0.00054396	0.000545847	0.000807137	0.000795013	0.00200843	0.00338156	0.000494005	0.000231903	0.00111298	0.000705942	0.00085359	0.000637276	0.000437515	0.0005513	0.00199981	0.000824741	0.000507031	0.000871522	0.00359538	0.00140045	0.000465561	0.000926378	0.00109911	0.000815031	0.000457365	0.00120988	0.000999142	0.00161119	0.000915993	0.000953168	0.000876552	0.00169841	0.000720225	0.000727712	0.00100024	0.0023041	0.00121814	0.0007827902	-0.3428553	0.170614	0.109334	0.108164	0.156561	0.244704	0.210623	0.3958321	-7.152646	0.888818	0.968754	1.02669	1.11574	0.354669	0.158021	0.143242	0.344069	0.05297686	7.471793
260	-7157.648	-7427.901	270.2538	0.1537235	67.27652	0.000463157	0.000810533	0.00380432	0.000836284	0.00023726	0.00129124	0.000299587	0.000532282	0.000289901	0.00126122	0.000490726	0.000303035	0.000868654	0.000760782	0.0016244	0.000880311	0.000854546	0.00120535	0.000168166	0.000700697	0.0013121	0.000513845	0.00168077	0.000486842	0.000436051	0.000524311	0.00138445	0.000678781	0.000761406	0.00100777	0.000821517	0.000695182	0.00153049	0.000437289	0.000246193	0.00185818	0.000847286	0.000503109	0.00132324	0.000201232	0.000523193	0.000722478	0.00167855	0.000809959	0.00329167	0.000503034	0.0021705	0.00107042	0.000824809	0.000604515	0.00149798	0.00123465	0.00182175	0.00243501	0.0009142386	0.08794317	0.203706	0.182294	0.102373	0.164734	0.0799398	0.266953	0.09598715	-6.997419	0.849563	0.956285	1.03523	1.15892	0.347865	0.154989	0.159677	0.337468	0.1839303	0.5218669
