Iteration	Posterior	Likelihood	Prior	age_occidentalis	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
100	-7142.093	-7429.217	287.1244	0.3841854	0.2055769	0.00111476	0.000823173	0.000514232	0.000728124	0.000867765	0.00284306	0.00075794	0.000728532	0.000512534	0.000721361	0.000891249	0.0017276	0.000858638	0.00124143	0.000808109	0.000286399	0.000291402	9.89013e-05	0.000898187	0.00059936	0.00138336	0.000520004	0.000466382	0.00237374	0.000484624	0.000851609	0.000493307	0.000830123	0.000552632	0.000602261	0.000748591	0.00110481	0.000418458	0.00149564	0.00103933	0.00181715	0.00042877	0.000462114	0.00112083	0.00128243	0.000309643	0.000356635	0.00138993	0.000487506	0.000644688	0.000392259	0.000315777	0.000475247	0.000672891	0.000484305	0.000746493	0.0016241	0.000902341	0.00118289	0.0007001158	-0.4714398	0.168689	0.146239	0.119092	0.26677	0.1084	0.190811	0.4717104	-7.264265	0.000640618	0.0370535	0.398056	3.56425	0.349311	0.155143	0.154376	0.34117	0.0002706679	1742.764
110	-7149.254	-7434.357	285.1038	0.323009	0.3612196	0.000793044	0.0012585	0.000565761	0.000749475	0.000830867	0.00323659	0.000751586	0.000489567	0.000877744	0.00135115	0.000792509	0.000608353	0.000864351	0.00106696	0.000285643	0.000877399	0.000296523	0.00026769	0.000612921	0.000768701	0.000825534	0.00125071	0.000758631	0.00147934	0.000192932	0.000592192	0.000171011	0.000520425	0.000193354	0.000450797	0.00282828	0.00169841	0.000689751	0.00109332	0.000900929	0.00208018	0.000534636	0.000782341	0.000697654	0.000468331	0.000653615	0.000749631	0.000877273	0.000728169	0.000734404	0.000432873	0.00114763	0.000750876	0.00037036	0.00111419	0.00112715	0.000648051	0.00202364	0.00044539	0.0007906442	-0.311831	0.197591	0.139099	0.10955	0.175767	0.131244	0.246748	0.3120579	-7.142663	0.0115401	0.152253	0.685659	3.15055	0.355515	0.150489	0.154607	0.33939	0.0002269001	1375.31
120	-7144.05	-7447.34	303.2894	0.5278673	0.2371679	0.000408887	0.000597657	0.000817204	0.00109727	0.000517978	0.00154524	0.000696631	0.00037775	0.000581526	0.00059574	0.000732867	0.000538577	0.000934836	0.000972942	0.00015121	0.000675836	0.000285431	0.000374054	0.00097717	0.000369696	0.000645699	0.000446179	0.000597573	0.00112604	0.000330869	0.00109862	0.000520856	0.000206306	0.00038044	0.000450201	0.000158785	0.00155363	0.000552027	0.00100967	0.00102364	0.001783	0.000198834	0.00049633	0.000486275	0.000525084	0.000212981	0.000912929	0.000758138	0.000453271	0.000670176	0.000188092	0.000885529	0.000643708	0.000248286	0.000353596	0.000516068	0.000373743	0.00146312	0.000606226	0.0005074835	-0.08232479	0.238332	0.241679	0.11749	0.119809	0.0975273	0.185163	0.08249841	-7.586046	0.00156669	0.0575923	0.473632	3.46721	0.353808	0.154816	0.153616	0.33776	0.0001736228	475.1589
130	-7143.359	-7437.957	294.598	0.2824708	0.215454	0.000553653	0.000747585	0.000553279	0.00117489	0.000861178	0.00251567	0.000788197	0.000389528	0.000594484	0.00193582	0.000575184	0.000566108	0.000381248	0.000788927	0.000213633	0.000461	0.000729582	0.00135077	0.000955579	0.00120555	0.000358943	0.000311072	0.000578235	0.00111097	0.000280649	0.000593306	0.000849924	0.000197108	0.000862375	0.000827524	0.00035264	0.00125728	0.00068829	0.00112365	0.000615712	0.00170342	0.000632997	0.00166409	0.000368714	0.000294072	0.000424224	0.000488662	0.000450055	0.000788472	0.000253221	0.00126156	0.000383766	0.00101283	0.00107425	0.000712219	0.000315665	0.000631926	0.00128195	0.00129897	0.0006897072	-0.07223401	0.178985	0.21231	0.11671	0.149303	0.0822956	0.260397	0.07248554	-7.279243	0.000871567	0.0431395	0.422776	3.53321	0.350279	0.150623	0.158491	0.340607	0.0002515302	288.1783
140	-7152.036	-7439.873	287.8371	0.5833263	0.2154388	0.000854955	0.000906707	0.00114837	0.00039404	0.000966107	0.00310395	0.000403934	0.000841461	0.000594431	0.00175479	0.00100872	0.00161309	0.000723461	0.00108563	0.000592726	0.000389918	0.000759725	0.000951046	0.000600399	0.000706603	0.000371342	0.000549898	0.000923076	0.00138565	0.000362045	0.000850753	0.000899532	0.000347528	0.00100294	0.00157049	0.000339909	0.000477108	0.00111541	0.00032036	0.0017364	0.0016714	0.000424866	0.000775299	0.000977822	0.00046205	0.000387025	0.00129169	0.000418208	0.000306535	0.000788371	0.000660917	0.000471145	0.00137956	0.000747449	0.000404678	0.000460335	0.000185204	0.00166646	0.00213511	0.0007904108	-0.1136172	0.273136	0.137911	0.135693	0.171047	0.112863	0.169349	0.1138985	-7.142958	0.000871172	0.0431298	0.422739	3.53326	0.352722	0.143985	0.156492	0.346802	0.0002812668	404.9482
150	-7141.903	-7439.667	297.7641	0.4885523	0.4581481	0.000340954	0.000354675	0.00110766	0.000407365	0.000596802	0.00348629	0.000872423	0.000437328	0.000387048	0.0014192	0.00063163	0.000781689	0.000672805	0.000438433	0.00233544	0.000483356	0.000444699	0.00070464	0.000965556	0.000538703	0.000369009	0.000235455	0.000869765	0.00113141	0.000388894	0.000511971	0.00048707	0.000579631	0.000762859	0.000659664	0.000197228	0.000588472	0.0008156	0.000255727	0.000767726	0.000524453	0.00037785	0.000562831	0.000996682	0.00111996	0.000531447	0.000442285	0.000720946	0.0010658	0.000539989	0.000720695	0.000519249	0.00068291	0.000616296	0.000607244	0.000247412	0.000682596	0.00327096	0.00116902	0.0006324662	-0.128758	0.140258	0.19485	0.133006	0.1774	0.201046	0.153439	0.128856	-7.365884	0.0259184	0.223718	0.787254	2.96311	0.353925	0.144476	0.157627	0.343973	9.802405e-05	1314.535
160	-7149.721	-7433.487	283.7665	0.5113026	0.2571324	0.00039282	0.000689577	0.00127956	0.00113324	0.000494805	0.00433378	0.000386872	0.000335629	0.000318014	0.00146749	0.000890597	0.000685597	0.000486781	0.000448714	0.000553073	0.00057252	0.000384128	0.000441914	0.00114296	0.000488137	0.00179461	0.000306768	0.00106148	0.00143661	0.000242156	0.000612514	0.000388896	0.000824567	0.000321151	0.00033669	0.000452066	0.000442073	0.000278682	0.00127363	0.00167034	0.00103653	0.00039152	0.000232209	0.00214477	0.000743638	0.000281288	0.000632102	0.00115025	0.0013509	0.000604193	0.000481048	0.00126735	0.0010493	0.000234998	0.000246207	0.000629408	0.00134838	0.00262598	0.00139284	0.0006135231	-0.1014801	0.169329	0.133845	0.101348	0.247553	0.158827	0.189098	0.1015813	-7.396293	0.00246096	0.071887	0.516287	3.40936	0.351658	0.154509	0.152064	0.34177	0.0001012294	1003.477
170	-7161	-7445.056	284.0563	0.3909124	0.3573785	0.000260103	0.000367508	0.00116904	0.00142006	0.000673888	0.00243013	0.000492117	0.0011289	0.000343045	0.000622553	0.00188366	0.000297384	0.000610587	0.00035539	0.00189327	0.000522936	0.000976312	0.00026004	0.00120059	0.000721062	0.000404949	0.000700791	0.000195978	0.000824879	0.000170367	0.000738673	0.000511916	0.000405219	0.000334437	0.00113315	0.000121215	0.000877714	0.000243275	0.00117473	0.00171296	0.00119252	0.000501539	0.000435124	0.00038055	0.000513904	0.000744485	0.00148299	0.000664883	0.000927386	0.0028213	0.000443921	0.000761168	0.00148187	0.000487606	0.000441619	0.000490125	0.000383264	0.00112492	0.00134038	0.0007082907	-0.2938391	0.0835658	0.170776	0.141977	0.208546	0.239443	0.155692	0.2939031	-7.252656	0.011076	0.149282	0.680711	3.15893	0.352344	0.151866	0.153352	0.342437	6.405241e-05	4588.479
180	-7151.457	-7435.617	284.1592	0.4082629	0.4338977	0.000600768	0.000720493	0.000903119	0.00112502	0.000727594	0.00420703	0.000575436	0.000524171	0.00048267	0.00105934	0.000747759	0.00116968	0.0012591	0.000247637	0.00126535	0.000726192	0.000480862	0.000452377	0.000759765	0.000240625	0.000688943	0.000613403	0.000516084	0.00137114	0.000372759	0.000603205	0.00040071	0.000197879	0.000331733	0.00105725	0.000310333	0.0012494	0.00059674	0.000978831	0.00110078	0.00176482	0.00160776	0.000655911	0.000910489	0.000581956	0.000828366	0.000231337	0.00146132	0.000386054	0.00154577	0.00069156	0.000943915	0.000428886	0.00261799	0.000609941	0.00102338	0.000274341	0.00205849	0.00123208	0.0006782908	-0.08566105	0.134854	0.316522	0.103004	0.200119	0.109481	0.136019	0.08581774	-7.295935	0.0218929	0.206593	0.765503	3.00601	0.349201	0.15617	0.151984	0.342645	0.0001566891	547.6944
190	-7158.721	-7432.711	273.9904	0.2913947	0.6945276	0.000914045	0.000623123	0.000710456	0.00100997	0.00161681	0.00287353	0.00110979	0.000633891	0.00155718	0.00105783	0.000646523	0.000809472	0.0027355	0.000163241	0.0018358	0.00085688	0.000597938	0.000420892	0.000808179	0.00121945	0.00113564	0.000683907	0.00168552	0.001219	0.000261411	0.000868738	0.000786926	0.000309754	0.00110889	0.00163318	0.000479543	0.00125358	0.00218833	0.000591297	0.00148761	0.00251279	0.000414785	0.00205717	0.000689923	0.000637125	0.000966373	0.000247658	0.000511884	0.000416179	0.000469493	0.000483103	0.000778562	0.00143902	0.000766755	0.000501271	0.000335637	0.00109126	0.0035818	0.000919679	0.0007920817	-0.06596123	0.260634	0.165939	0.0660738	0.155831	0.164983	0.18654	0.06603167	-7.140846	0.0730198	0.360937	0.922823	2.64322	0.351279	0.15174	0.152706	0.344274	7.044697e-05	937.3245
