Iteration	Posterior	Likelihood	Prior	age_SSMO	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
100	-7137.685	-7430.979	293.2941	0.1937027	0.007916246	0.00027776	0.00278461	0.000419591	0.00069464	0.00103988	0.000534761	0.000459505	0.000635378	0.00072315	0.000626725	0.000615672	0.000294852	0.000408005	0.000617593	0.000746673	0.00112513	0.000428291	0.00182057	0.000343644	0.00042148	0.000857295	0.000853645	0.00100007	0.000920634	0.000837288	0.000543739	0.000560002	0.000721478	0.00137692	0.000649698	0.00100524	0.000676685	0.00206676	0.00105065	0.000489139	0.00078169	0.00174166	0.00121791	0.000959755	0.000895232	0.000581941	0.000298097	0.000215568	0.000914257	0.000280141	0.00149456	0.000645924	0.000365053	0.00074391	0.00025971	0.000385713	0.000887045	0.00136885	0.00107121	0.0007147523	-0.0729074	0.191676	0.138843	0.138394	0.126187	0.211817	0.193083	0.141258	-7.243574	4.9543e-77	1.05409e-38	2.77496e-16	4	0.355981	0.153211	0.152696	0.338113	0.06835056	2.066669
110	-7160.703	-7431.573	270.8704	0.3813567	0.005565831	0.000749993	0.00258302	0.000422733	0.000832857	0.00146898	0.0014017	0.00128321	0.000588917	0.00160004	0.00057232	0.00134031	0.000474414	0.000544014	0.000469193	0.00143417	0.00161588	0.00295734	0.00340546	0.000544681	0.000629588	0.000896515	0.00179347	0.000587035	0.000956889	0.000806227	0.000621285	0.00141876	0.000800951	0.000669118	0.00222505	0.000745718	0.00054024	0.000740623	0.000337889	0.00180944	0.0012574	0.00306363	0.00252157	0.000523584	0.00116545	0.00142426	0.000565597	0.000925857	0.000893311	0.000262042	0.00135627	0.00033632	0.00034483	0.00156365	0.00113279	0.000776626	0.000905133	0.000822694	0.00188901	0.001069866	-0.03400869	0.174796	0.202124	0.147403	0.121104	0.133771	0.220802	0.09007223	-6.840222	3.78593e-109	9.2164e-55	6.00565e-23	4	0.354111	0.151858	0.153698	0.340333	0.05606354	1.60661
120	-7174.187	-7430.781	256.5943	0.3908297	0.008556096	0.000805783	0.00508314	0.000668161	0.00127719	0.00132344	0.00095644	0.000826566	0.00123491	0.00139764	0.00122561	0.00191482	0.000237867	0.00142465	0.0021724	0.00122645	0.00147972	0.000900855	0.00294756	0.00342271	0.00147259	0.000634317	0.00482774	0.000949594	0.000637742	0.000678103	0.000988195	0.00125622	0.000907952	0.00160482	0.0021632	0.000611128	0.00108548	0.00235899	0.000430571	0.000496519	0.0013159	0.00598108	0.00247575	0.000318619	0.00171961	0.00110383	0.00115813	0.000926337	0.00271124	0.00055175	0.00121133	0.000963472	0.000937831	0.000679294	0.00098046	0.000780312	0.00176839	0.000528336	0.000497385	0.001233549	-0.2141778	0.206666	0.153994	0.0872497	0.176865	0.202387	0.172839	0.2311013	-6.69786	2.41244e-71	7.35511e-36	4.2022e-15	4	0.351241	0.150628	0.151023	0.347108	0.01692349	13.65566
130	-7154.975	-7439.854	284.8783	0.4853202	0.00857315	0.00026325	0.00431	0.000681996	0.000635305	0.000363426	0.00196768	0.00048935	0.000837788	0.00199236	0.00110901	0.00162018	0.000499012	0.000492391	0.00110875	0.000951402	0.000889185	0.00070116	0.000546634	0.000585564	0.000372465	0.00062129	0.000769443	0.00118084	0.000479028	0.000269722	0.000761184	0.000962074	0.000405231	0.000561935	0.000763387	0.000611173	0.00079872	0.00068392	0.000511297	0.000813424	0.000633987	0.00158681	0.00266886	0.000323463	0.00153854	0.00147122	0.000269513	0.00154382	0.00072444	0.00122595	0.00077066	0.000391757	0.00098356	0.000711586	0.000385458	0.00140747	0.00037944	0.00114369	0.000978742	0.0007278793	-0.2238349	0.154655	0.148043	0.12383	0.15882	0.245759	0.168893	0.2336628	-7.225375	3.32989e-71	8.64123e-36	4.49285e-15	4	0.364318	0.156236	0.145979	0.333468	0.009827905	23.77545
140	-7140.13	-7421.904	281.7741	0.2566656	0.008361032	0.000248933	0.00241956	0.000425088	0.000613189	0.000174367	0.00118909	0.000176219	0.000556155	0.00322795	0.00100306	0.0012394	0.000249405	0.00053439	0.000933589	0.00102391	0.00100825	0.000461083	0.000359181	0.000691264	0.000143531	0.000719766	0.000483182	0.00082185	0.000697029	0.000722106	0.000370506	0.000372804	0.000692438	0.000524218	0.00105951	0.000192677	0.000405499	0.00123197	0.000517533	0.000269283	0.000537118	0.00114154	0.00357888	0.000859891	0.000156631	0.000549697	0.00031252	0.00138275	0.0010315	0.000985716	0.000464893	0.00046588	0.000200129	0.000490951	0.000717461	0.0014863	0.000154597	0.000772967	0.000766896	0.000680507	-0.3640015	0.232016	0.190213	0.126612	0.17257	0.114865	0.163725	0.3860548	-7.292672	5.50577e-73	1.11116e-36	1.91786e-15	4	0.35057	0.156773	0.146829	0.345828	0.0220532	17.50561
150	-7146.879	-7427.716	280.837	0.07169409	0.00597743	0.000211339	0.00348825	0.000688004	0.000533331	0.000443128	0.00125884	0.000533225	0.00188146	0.000960549	0.00184981	0.00146963	0.000440329	0.000883456	0.000718036	0.002215	0.000445489	0.000379061	0.000548928	0.00079225	0.000440796	0.00071117	0.0010345	0.000362834	0.000619025	0.000909028	0.000388398	0.000541491	0.000964605	0.00158599	0.000276822	0.000865673	0.00045591	0.00139897	0.000505773	0.000818611	0.000579845	0.00203242	0.00321758	0.00151181	0.000498203	0.000805965	0.000975289	0.000730994	0.000759782	0.000893218	0.000290517	0.000876754	0.000821725	0.000292863	0.000475411	0.00111277	0.000820655	0.00112215	0.00117248	0.000843703	-0.006791774	0.118602	0.146628	0.0942381	0.0904314	0.368055	0.182045	0.1702628	-7.07771	1.06328e-101	4.88409e-51	2.10976e-21	4	0.351303	0.157101	0.145044	0.346552	0.163471	1.041547
160	-7138.057	-7428.674	290.6169	0.2689519	0.00395986	0.000259553	0.00233561	0.000431988	0.000511456	0.00046602	0.001114	0.000873483	0.000780754	0.000903565	0.000975936	0.000987778	0.000437387	0.00034565	0.00151012	0.000441379	0.000557807	0.000263158	0.000314116	0.000533874	0.000359161	0.000468373	0.00057632	0.000223667	0.000342724	0.000447877	0.000451657	0.000550366	0.000652817	0.00196694	0.000783001	0.000327569	0.000363632	0.000364108	0.000717503	0.000323761	0.00107315	0.00234144	0.00264752	0.000879525	0.00167226	0.000919995	0.00126019	0.000753125	0.000859862	0.000977775	0.00104468	0.000450699	0.000240671	0.00075094	0.000609528	0.000608255	0.000386191	0.000545599	0.00184458	0.0006614632	-0.1003682	0.126509	0.159652	0.0753342	0.12543	0.379814	0.133262	0.2121358	-7.321056	5.10848e-153	1.07074e-76	4.72971e-32	4	0.354418	0.149629	0.146329	0.349624	0.1117675	1.898009
170	-7157.191	-7435.63	278.4393	0.3163225	0.003708797	0.00064614	0.00356874	0.000580804	0.00124999	0.000906297	0.000776759	0.000425884	0.000870224	0.000557079	0.00107091	0.00116568	0.000535058	0.000580901	0.00189516	0.00129793	0.00154358	0.000675335	0.00121576	0.00118772	0.00040396	0.00100568	0.000835814	0.00125555	0.00125274	0.000857084	0.00143997	0.00108228	0.00138365	0.000530182	0.0011546	0.000478138	0.000820092	0.00078986	0.000621115	0.000523288	0.000695887	0.0023513	0.00252829	0.000579833	0.000436939	0.00157876	0.000451603	0.00114594	0.00167872	0.000251742	0.000556034	0.000675735	0.000590893	0.000507458	0.000730878	0.000822013	0.000530808	0.00160413	0.000836274	0.001012734	-0.1635375	0.158456	0.10338	0.0516432	0.0567693	0.34458	0.285171	0.4161821	-6.895102	2.60647e-163	7.64844e-82	3.45953e-34	4	0.362751	0.153147	0.14977	0.334332	0.2526446	1.647302
180	-7147.019	-7430.864	283.8458	0.4241142	0.008993838	0.000795766	0.00304177	0.000373178	0.00119383	0.000657959	0.000474439	0.00149658	0.00116379	0.00107741	0.000701137	0.000971516	0.00149867	0.00116707	0.00164381	0.00038183	0.000503915	0.000922566	0.000550145	0.000815502	0.000301955	0.000500591	0.000395655	0.000645892	0.000544932	0.000783809	0.000631269	0.000775863	0.00168385	0.00048971	0.000630021	0.000385369	0.000491603	0.000404163	0.000772996	0.000750434	0.0011937	0.00147921	0.0028289	0.00105824	0.000565747	0.00112808	0.000743895	0.000238058	0.00158052	0.000271203	0.00143653	0.000982652	0.00039445	0.000760992	0.000489978	0.00110189	0.000649281	0.00119775	0.00313219	0.0007792021	-0.03400854	0.242178	0.185172	0.0575582	0.106368	0.123126	0.285598	0.1104657	-7.15724	6.41571e-68	3.79286e-34	2.15853e-14	4	0.363383	0.15167	0.150031	0.334916	0.07645717	1.444805
190	-7134.938	-7431.426	296.4881	0.4658035	0.00509832	0.000437311	0.00315009	0.000794629	0.00118397	0.000653544	0.000344521	0.00121711	0.000397649	0.000767293	0.000627005	0.000650247	0.00117407	0.000890883	0.000826999	0.000136854	0.000435898	0.000368272	0.000503965	0.000863677	0.00042722	0.000283027	0.000354581	0.000856967	0.000534896	0.000202352	0.000508685	0.000216669	0.00050873	0.00065467	0.00040793	0.000356887	0.00123847	0.000246088	0.000885655	0.00101177	0.000712063	0.000283376	0.00162544	0.00147184	0.000366164	0.000294183	0.000415265	0.000665698	0.00129645	0.000420396	0.00093007	0.000393018	0.000502004	0.00101276	0.000506103	0.000858387	0.000469917	0.00152704	0.0017084	0.0005878371	-0.03114876	0.178383	0.0993448	0.111158	0.134996	0.179475	0.296642	0.05051882	-7.439061	4.56078e-119	1.01161e-59	5.25027e-25	4	0.360007	0.15026	0.148637	0.341096	0.01937006	2.608087
