Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_occidentalis	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
10	0	-7155.041	-7433.861	278.8197	0.5753663	0.08654748	0.000576467	0.000716215	0.00143485	0.00268039	0.00160288	0.00239919	0.000893686	0.00148428	0.000971163	0.00101473	0.000851195	0.000561659	0.00110627	0.00072906	0.00109005	0.00107351	0.000396999	0.00131096	0.00247424	0.00136328	0.000399443	0.00104042	0.00141931	0.0006955	0.000915785	0.00122124	0.000684076	0.000565525	0.000679933	0.00192176	0.000531573	0.00199939	0.000451221	0.000993165	0.000661678	0.00135903	0.000719315	0.00159888	0.000528134	0.00106615	0.00109182	0.00195996	0.000668393	0.000972595	0.00117958	0.000707222	0.000788226	0.00122615	0.000905259	0.00101771	0.00168766	0.000957249	0.00195661	0.000745995	0.001076473	-0.9181536	0.196571	0.19924	0.102911	0.163522	0.110301	0.227454	0.9187497	-6.834065	6.11701e-08	0.000367913	0.0600334	3.9396	0.353746	0.148345	0.160783	0.337125	0.0005961122	1541.236
11	1	-7165.069	-7446.542	281.4734	0.5838604	1.020856	0.00120807	0.000546066	0.000343599	0.00201152	0.000809266	0.00114813	0.000551164	0.000287623	0.000339302	0.00140951	0.00427204	0.000898601	0.000604377	0.00056088	0.00068444	0.000327005	0.00028299	0.000820261	0.00111261	0.000674808	0.000413236	0.00148277	0.00067674	0.000989003	0.000256839	0.000550875	0.000832653	0.00180454	0.000405879	0.000913188	0.000578829	0.00149208	0.000871489	0.000175254	0.000969152	0.000757408	0.000853089	0.00168096	0.000695808	0.000796574	0.000982226	0.00082338	0.0014592	0.000442691	0.00106136	0.000860149	0.000355824	0.000613137	0.000914649	0.000632426	0.00207544	0.0011454	0.00185763	0.000369178	0.0006785122	-0.5289036	0.164292	0.304238	0.151794	0.0141097	0.152073	0.213494	0.5335148	-7.295608	0.141096	0.482932	1.00337	2.3726	0.360828	0.163837	0.152964	0.322371	0.00461121	115.6995
12	0	-7194.526	-7429.929	235.4024	0.2526674	0.1398697	0.000839474	0.00319774	0.00134787	0.00174705	0.000429854	0.00709742	0.00204753	0.0040857	0.00143576	0.00338952	0.000542818	0.00236374	0.00169137	0.00168977	0.0012752	0.00114357	0.000267945	0.00310489	0.000948511	0.00111285	0.000556525	0.00109689	0.00135412	0.00305396	0.00223019	0.00128123	0.0013149	0.00137584	0.000673821	0.000732196	0.000207049	0.00240207	0.00102488	0.00357899	0.00109825	0.00184316	0.00148396	0.00428087	0.000668963	0.00102831	0.000662422	0.0011074	0.000551027	0.000998258	0.00105835	0.00103543	0.00361374	0.00277678	0.00295466	0.00592934	0.000721087	0.00311107	0.0020623	0.00327329	0.001515569	-0.4386971	0.10195	0.159936	0.109248	0.272583	0.104492	0.25179	0.4403448	-6.491964	2.72196e-05	0.00771774	0.2111	3.78115	0.347882	0.145694	0.159675	0.34675	0.001647695	267.249
13	1	-7155.197	-7437.571	282.3747	0.4155303	2.426167	0.000728466	0.0017195	0.000533306	0.00244592	0.00113494	0.00102828	0.00128941	0.00090048	0.000240576	0.00103126	0.00416026	0.000715952	0.000410553	0.00061836	0.000848625	0.000849691	0.00195926	0.000495939	0.000747537	0.000611976	0.000442044	0.00184961	0.000331083	0.0012241	0.000267493	0.000960362	0.000311461	0.00111597	0.00121707	0.000606638	0.00059783	0.000898759	0.000334633	0.000931742	0.00150989	0.000737283	0.000769197	0.00135965	0.000363568	0.000501422	0.000895201	0.000875979	0.000725972	0.000650359	0.00065412	0.000509707	0.000787995	0.000389477	0.00120688	0.00113027	0.00147506	0.00144672	0.00216527	0.000280741	0.0008680044	-0.1974603	0.298335	0.195696	0.101861	0.0302634	0.110646	0.263199	0.1996238	-7.049314	0.339343	0.693827	1.07774	1.88909	0.336828	0.161107	0.161566	0.3405	0.002163461	92.2706
14	0	-7150.183	-7426.59	276.4067	0.3357646	0.1376937	0.00118753	0.000786715	0.00131141	0.000755445	0.000612007	0.00458308	0.00120553	0.000707761	0.000672864	0.00252665	0.000898818	0.00476478	0.00268602	0.000815028	0.00048762	0.000571218	0.000366325	0.00118507	0.000800456	0.000794557	0.000589778	0.00147426	0.0010897	0.00040957	0.000605161	0.000312501	0.00075488	0.000393099	0.00160576	0.000897912	0.000794626	0.000762031	0.000685732	0.00226405	0.00135485	0.00121903	0.000501789	0.000383412	0.000933272	0.000970693	0.000903263	0.00131027	0.000567862	0.000702687	0.00140372	0.000563022	0.000965505	0.00166806	0.000675581	0.000476144	0.00077134	0.000612734	0.00136229	0.00193582	0.0009002704	-0.4750726	0.17146	0.157282	0.0797699	0.176097	0.186716	0.228674	0.4770316	-7.012815	2.32809e-05	0.00713952	0.204473	3.78836	0.353485	0.14804	0.155954	0.342521	0.001959006	243.5069
15	1	-7147.619	-7430.91	283.2909	0.508962	1.288292	0.00114641	0.00121833	0.000586374	0.0022317	0.00154408	0.00117507	0.00108148	0.00135926	0.000462206	0.00114438	0.00458919	0.000343019	0.000515583	0.00050922	0.000443718	0.000665278	0.000552033	0.000866507	0.00109485	0.000655368	0.000510548	0.00156098	0.000541633	0.000892826	0.000252357	0.00118709	0.000687593	0.0016156	0.00139413	0.000665972	0.000767165	0.000401449	0.000504287	0.000455145	0.00125331	0.00213579	0.000978795	0.000812962	0.000581515	0.000579532	0.000305067	0.000880923	0.000882483	0.000887892	0.000741719	0.000670343	0.000371137	0.000855704	0.00110266	0.0010672	0.000977709	0.00197864	0.00226077	0.000691098	0.0009238603	-0.07463973	0.243812	0.149305	0.0838428	0.0639732	0.201236	0.257831	0.08042945	-6.98695	0.19069	0.549053	1.03513	2.22513	0.342585	0.160304	0.159971	0.337139	0.005789719	13.89177
16	0	-7167.178	-7441.182	274.0031	0.3846771	0.1256191	0.000598867	0.000756114	0.000689693	0.00123743	0.00107745	0.00270867	0.00144763	0.000868727	0.000412655	0.0016086	0.00126555	0.00435126	0.0016974	0.000622217	0.000584926	0.00106061	0.00063583	0.000639855	0.000776974	0.00307396	0.000826735	0.000961889	0.000452991	0.000651249	0.000371788	0.00108704	0.00163801	0.000922238	0.00176881	0.000883497	0.000362209	0.00138035	0.000393144	0.00227289	0.00241798	0.00128703	0.00040256	0.00076602	0.000438668	0.000740915	0.00171748	0.00159058	0.000602605	0.00119453	0.000731855	0.000870426	0.00088526	0.00113291	0.000556195	0.000870693	0.000425973	0.00248556	0.00165044	0.000671062	0.000871717	-0.1600708	0.207415	0.17635	0.0779081	0.210767	0.142104	0.185456	0.160709	-7.045046	8.86183e-06	0.00441123	0.167788	3.82779	0.356618	0.147537	0.157336	0.338509	0.0006381929	251.8188
17	1	-7131.528	-7432.985	301.4566	0.4036693	1.100568	0.000584286	0.000823359	0.000528501	0.000648665	0.00114015	0.000317967	0.000734146	0.000645161	0.00039794	0.00127272	0.00273715	0.000522499	0.000375553	0.000778213	0.00040562	0.000454105	0.00048978	0.000557606	0.000371968	0.00031412	0.000542804	0.000501895	0.000482273	0.000851678	0.000351811	0.000886404	0.000990453	0.000828067	0.000577681	0.000402207	0.000735065	0.0002612	0.000765774	0.000540521	0.000977104	0.00161908	0.000251332	0.000969289	0.00136377	0.00052386	0.00126883	0.00103217	0.000449116	0.00092164	0.000887266	0.000891415	0.000300879	0.000548645	0.000438353	0.000586059	0.000933114	0.00186664	0.000551325	0.000177818	0.0005727878	-0.03773125	0.219596	0.204282	0.0952234	0.0795711	0.189024	0.212304	0.04716624	-7.464995	0.156572	0.505025	1.01485	2.32355	0.35173	0.152331	0.149801	0.346138	0.009434987	4.999079
18	0	-7159.31	-7436.302	276.9924	0.4428584	0.1957799	0.00168676	0.00118982	0.000690189	0.000844291	0.0012243	0.00297996	0.0015048	0.00161683	0.000335729	0.00119098	0.00115435	0.00158101	0.00154829	0.000337318	0.000843044	0.000759487	0.000359961	0.000245462	0.000673105	0.000787988	0.00178402	0.000604148	0.000836261	0.00160158	0.000328159	0.00118388	0.00106969	0.000795134	0.00131348	0.000798257	0.00046542	0.00118177	0.000586919	0.00351969	0.00166672	0.00178487	0.000363752	0.000573603	0.00160854	0.000462807	0.000555564	0.000847102	0.00136184	0.000686407	0.0010738	0.000837625	0.000974639	0.000299972	0.00060633	0.000246175	0.000584747	0.000579689	0.00071592	0.00093036	0.0007703259	-0.4170001	0.222122	0.191107	0.119498	0.200726	0.121228	0.145319	0.4173079	-7.168697	0.000457737	0.0313769	0.372554	3.59561	0.356522	0.147498	0.157563	0.338418	0.0003077805	1355.862
19	1	-7143.451	-7424.966	281.515	0.1429535	1.419285	0.00127233	0.00023834	0.000649123	0.000871214	0.000915098	0.000559337	0.000625535	0.000599454	0.000877006	0.00172384	0.00375094	0.000622716	0.000350434	0.000532684	0.000535349	0.000493919	0.000303166	0.000735085	0.000582811	0.00157767	0.000493256	0.00053246	0.000678376	0.000525583	0.000579237	0.00227212	0.00120902	0.00112292	0.000336477	0.000470817	0.00207063	0.000370042	0.00109251	0.000343064	0.00118112	0.00272577	0.000503146	0.000282035	0.000285612	0.000809033	0.00195358	0.000762151	0.000749632	0.00109938	0.00136693	0.000526602	0.000361691	0.00051589	0.00140283	0.00041879	0.000804742	0.002872	0.00188675	0.000471602	0.0007623448	-0.1306752	0.182589	0.279086	0.120252	0.0619445	0.161857	0.194272	0.1340484	-7.179112	0.21258	0.574546	1.04531	2.16757	0.349743	0.151471	0.154603	0.344183	0.00337322	39.73901
