Iteration	Posterior	Likelihood	Prior	age_occidentalis	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-12310.04	-12525.23	215.1952	0.9259973	1	0.00245359	0.00222931	0.00133451	0.00149961	0.0022047	0.00512175	0.00217852	0.00300612	0.00421352	0.0028171	0.00180224	0.00422233	0.00264016	0.00558812	0.00266973	0.00485196	0.00292518	0.00199751	0.000863226	0.00277198	0.00229916	0.00517711	0.0042921	0.0018198	0.00264167	0.0025266	0.00344179	0.000892828	0.00255996	0.00623817	0.00222142	0.00497771	0.00141261	0.00565832	0.00243502	0.00121144	0.00410964	0.0039416	0.00206494	0.00270146	0.00661468	0.00157019	0.00510753	0.00570632	0.00836285	0.00248109	0.00519771	0.00132341	0.0020096	0.0126971	0.00458972	0.00158495	0.0050481	0.00268769	0.002992433	-0.1438128	0.0807046	0.112056	0.317469	0.0102001	0.24201	0.237561	0.1633091	-5.811669	0.136954	0.476752	1	2.38629	0.0296867	0.544426	0.233116	0.192771	0.01949635	8.376395
10	-8266.332	-8532.969	266.6372	0.1368671	0.3262612	0.000451283	0.000566775	9.85356e-05	0.000633685	0.000453209	0.00175308	0.00152161	0.00112881	0.00208694	0.00282172	0.00134583	0.00104984	0.00110333	0.00123825	0.00102781	0.00195229	0.000812754	0.000788269	0.00130587	0.001111	0.000855157	0.000681617	0.00121613	0.000634003	0.000707813	0.00100455	0.000475378	0.000374402	0.00110007	0.00323487	0.00134036	0.000980063	0.000701492	0.000865195	0.00110237	0.00119442	0.00158038	0.000810209	0.00115868	0.000978644	0.000663782	0.000692869	0.000748195	0.00247432	0.000597543	0.000351895	0.00113523	0.000590711	0.00175708	0.00202327	0.00144335	0.00127922	0.00316339	0.00169353	0.001159523	-0.4400409	0.097695	0.126686	0.287602	0.013154	0.288409	0.186455	0.444359	-6.759747	0.00766559	0.125018	0.63738	3.22994	0.133565	0.226466	0.307084	0.332885	0.004318137	102.9053
20	-7280.985	-7565.441	284.4553	0.581711	0.8633228	0.00159405	0.00095967	7.51798e-05	0.000567209	0.000478175	0.0011128	0.00168738	0.000739438	0.000704211	0.00187143	0.00189119	0.00131691	0.000522337	0.000622554	0.000716386	0.000590797	0.000598183	0.0016221	0.000857287	0.000580124	0.000851497	0.000782334	0.000392354	0.000637863	0.00109353	0.000607506	0.000460201	0.000502168	0.000456877	0.000817392	0.000692132	0.00121897	0.000982044	0.000910657	0.00197494	0.00140791	0.000811373	0.00228358	0.0015961	0.00063463	0.000327431	0.000580899	0.00141944	0.00135126	0.00060065	0.000536039	0.000859885	0.000249726	0.000515069	0.000508214	0.000820175	0.00145275	0.00028287	0.00107507	0.0007571795	-0.1596238	0.172896	0.136104	0.268087	0.011164	0.149176	0.262573	0.161494	-7.18591	0.108944	0.431432	0.973067	2.48656	0.261021	0.196753	0.176492	0.365734	0.001870198	86.35132
30	-7198.666	-7460.895	262.2287	0.2300203	1.326912	0.000495797	0.00165474	0.000253471	0.00071937	0.00066066	0.00154461	0.0057496	0.000891163	0.000791432	0.0018954	0.00234794	0.00167771	0.000511495	0.000804842	0.00114995	0.000294373	0.000180908	0.00359026	0.000286649	0.00148171	0.000725069	0.000346741	0.00137677	0.00207111	0.00270563	0.000413318	0.000802634	0.000900474	0.00125129	0.000809528	0.000549524	0.000559836	0.000889459	0.000530792	0.00156421	0.00138817	0.000929239	0.00056482	0.00265794	0.00118113	0.000711963	0.000793715	0.000552705	0.00036205	0.000603828	0.00126533	0.00129	0.000271647	0.00155729	0.000279616	0.00116143	0.00328474	0.00121371	0.000599548	0.000855177	-0.2480261	0.284155	0.137961	0.0887285	0.0100283	0.211129	0.267998	0.2562496	-7.064202	0.197304	0.556959	1.0384	2.20733	0.342219	0.181063	0.140147	0.33657	0.008223534	31.16052
40	-7183.082	-7457.895	274.8129	0.6860916	0.9039431	0.00168243	0.00100292	0.000479013	0.00117034	0.00104759	0.00080566	0.000818496	0.000497933	0.000562316	0.00182338	0.00219706	0.000613506	0.00110968	0.00138801	0.00137137	0.000265796	0.000170855	0.00138545	0.000609283	0.000382606	0.0006253	0.00111975	0.000676535	0.00160184	0.000185816	0.000713318	0.000680443	0.00113962	0.000565359	0.00138805	0.00103827	0.00128847	0.00200327	0.00080854	0.000767972	0.00152038	0.000855729	0.000594872	0.00183656	0.00161188	0.000827684	0.000245869	0.00156731	0.000182946	0.000638278	0.000905621	0.000607551	0.00082912	0.00177007	0.00049455	0.00153335	0.00217947	0.000794868	0.00164251	0.0008698577	-0.3205101	0.308942	0.167318	0.122131	0.0114721	0.189162	0.200976	0.3260567	-7.047181	0.117412	0.445846	0.982063	2.45468	0.361077	0.170795	0.150644	0.317483	0.005546626	58.78469
50	-7165.069	-7446.542	281.4734	0.5838604	1.020856	0.00120807	0.000546066	0.000343599	0.00201152	0.000809266	0.00114813	0.000551164	0.000287623	0.000339302	0.00140951	0.00427204	0.000898601	0.000604377	0.00056088	0.00068444	0.000327005	0.00028299	0.000820261	0.00111261	0.000674808	0.000413236	0.00148277	0.00067674	0.000989003	0.000256839	0.000550875	0.000832653	0.00180454	0.000405879	0.000913188	0.000578829	0.00149208	0.000871489	0.000175254	0.000969152	0.000757408	0.000853089	0.00168096	0.000695808	0.000796574	0.000982226	0.00082338	0.0014592	0.000442691	0.00106136	0.000860149	0.000355824	0.000613137	0.000914649	0.000632426	0.00207544	0.0011454	0.00185763	0.000369178	0.0006785122	-0.5289036	0.164292	0.304238	0.151794	0.0141097	0.152073	0.213494	0.5335148	-7.295608	0.141096	0.482932	1.00337	2.3726	0.360828	0.163837	0.152964	0.322371	0.00461121	115.6995
60	-7155.197	-7437.571	282.3747	0.4155303	2.426167	0.000728466	0.0017195	0.000533306	0.00244592	0.00113494	0.00102828	0.00128941	0.00090048	0.000240576	0.00103126	0.00416026	0.000715952	0.000410553	0.00061836	0.000848625	0.000849691	0.00195926	0.000495939	0.000747537	0.000611976	0.000442044	0.00184961	0.000331083	0.0012241	0.000267493	0.000960362	0.000311461	0.00111597	0.00121707	0.000606638	0.00059783	0.000898759	0.000334633	0.000931742	0.00150989	0.000737283	0.000769197	0.00135965	0.000363568	0.000501422	0.000895201	0.000875979	0.000725972	0.000650359	0.00065412	0.000509707	0.000787995	0.000389477	0.00120688	0.00113027	0.00147506	0.00144672	0.00216527	0.000280741	0.0008680044	-0.1974603	0.298335	0.195696	0.101861	0.0302634	0.110646	0.263199	0.1996238	-7.049314	0.339343	0.693827	1.07774	1.88909	0.336828	0.161107	0.161566	0.3405	0.002163461	92.2706
70	-7147.619	-7430.91	283.2909	0.508962	1.288292	0.00114641	0.00121833	0.000586374	0.0022317	0.00154408	0.00117507	0.00108148	0.00135926	0.000462206	0.00114438	0.00458919	0.000343019	0.000515583	0.00050922	0.000443718	0.000665278	0.000552033	0.000866507	0.00109485	0.000655368	0.000510548	0.00156098	0.000541633	0.000892826	0.000252357	0.00118709	0.000687593	0.0016156	0.00139413	0.000665972	0.000767165	0.000401449	0.000504287	0.000455145	0.00125331	0.00213579	0.000978795	0.000812962	0.000581515	0.000579532	0.000305067	0.000880923	0.000882483	0.000887892	0.000741719	0.000670343	0.000371137	0.000855704	0.00110266	0.0010672	0.000977709	0.00197864	0.00226077	0.000691098	0.0009238603	-0.07463973	0.243812	0.149305	0.0838428	0.0639732	0.201236	0.257831	0.08042945	-6.98695	0.19069	0.549053	1.03513	2.22513	0.342585	0.160304	0.159971	0.337139	0.005789719	13.89177
80	-7131.528	-7432.985	301.4566	0.4036693	1.100568	0.000584286	0.000823359	0.000528501	0.000648665	0.00114015	0.000317967	0.000734146	0.000645161	0.00039794	0.00127272	0.00273715	0.000522499	0.000375553	0.000778213	0.00040562	0.000454105	0.00048978	0.000557606	0.000371968	0.00031412	0.000542804	0.000501895	0.000482273	0.000851678	0.000351811	0.000886404	0.000990453	0.000828067	0.000577681	0.000402207	0.000735065	0.0002612	0.000765774	0.000540521	0.000977104	0.00161908	0.000251332	0.000969289	0.00136377	0.00052386	0.00126883	0.00103217	0.000449116	0.00092164	0.000887266	0.000891415	0.000300879	0.000548645	0.000438353	0.000586059	0.000933114	0.00186664	0.000551325	0.000177818	0.0005727878	-0.03773125	0.219596	0.204282	0.0952234	0.0795711	0.189024	0.212304	0.04716624	-7.464995	0.156572	0.505025	1.01485	2.32355	0.35173	0.152331	0.149801	0.346138	0.009434987	4.999079
90	-7143.451	-7424.966	281.515	0.1429535	1.419285	0.00127233	0.00023834	0.000649123	0.000871214	0.000915098	0.000559337	0.000625535	0.000599454	0.000877006	0.00172384	0.00375094	0.000622716	0.000350434	0.000532684	0.000535349	0.000493919	0.000303166	0.000735085	0.000582811	0.00157767	0.000493256	0.00053246	0.000678376	0.000525583	0.000579237	0.00227212	0.00120902	0.00112292	0.000336477	0.000470817	0.00207063	0.000370042	0.00109251	0.000343064	0.00118112	0.00272577	0.000503146	0.000282035	0.000285612	0.000809033	0.00195358	0.000762151	0.000749632	0.00109938	0.00136693	0.000526602	0.000361691	0.00051589	0.00140283	0.00041879	0.000804742	0.002872	0.00188675	0.000471602	0.0007623448	-0.1306752	0.182589	0.279086	0.120252	0.0619445	0.161857	0.194272	0.1340484	-7.179112	0.21258	0.574546	1.04531	2.16757	0.349743	0.151471	0.154603	0.344183	0.00337322	39.73901
