Gen	np	tree	lnL
2	3	1110	0.001825	0.000824	0.000198	-7854.178
4	3	1110	0.002268	0.000824	0.000198	-7860.641
6	2	1100	0.001920	0.000698	-7853.769
8	2	1100	0.002770	0.000814	-7849.350
10	2	1100	0.002410	0.000708	-7852.661
12	2	1100	0.002410	0.000708	-7854.202
14	2	1100	0.002410	0.000708	-7852.225
16	2	1100	0.002152	0.000708	-7855.220
18	2	1100	0.002152	0.000708	-7860.217
20	2	1100	0.002152	0.000708	-7851.450
22	3	1110	0.002317	0.000647	0.000225	-7859.165
24	2	1100	0.003053	0.000809	-7853.793
26	2	1100	0.003192	0.000809	-7858.380
28	2	1100	0.002351	0.000595	-7848.520
30	2	1100	0.002066	0.000554	-7849.936
32	2	1100	0.002066	0.000554	-7847.626
34	2	1100	0.002209	0.001026	-7858.535
36	2	1100	0.002575	0.000603	-7853.275
38	2	1100	0.002088	0.000603	-7850.461
40	2	1100	0.002556	0.000603	-7854.650
42	2	1100	0.002310	0.000996	-7856.162
44	2	1100	0.002028	0.000661	-7848.994
46	2	1100	0.002192	0.000962	-7857.158
48	2	1100	0.002614	0.000752	-7848.275
50	2	1100	0.002778	0.001008	-7856.019
52	2	1100	0.002608	0.001627	-7860.227
54	2	1100	0.001690	0.001054	-7848.039
56	2	1100	0.002385	0.001540	-7856.504
58	2	1100	0.001701	0.001275	-7848.928
60	2	1100	0.002195	0.001500	-7850.044
62	2	1100	0.002685	0.001500	-7850.515
64	2	1100	0.002309	0.001290	-7850.431
66	2	1100	0.002179	0.001036	-7848.578
68	2	1100	0.002474	0.001473	-7855.537
70	2	1100	0.002745	0.001635	-7858.760
72	2	1100	0.002136	0.001272	-7858.562
74	2	1100	0.001918	0.001272	-7856.122
76	2	1100	0.001742	0.001155	-7853.800
78	2	1100	0.002288	0.001586	-7856.885
80	2	1100	0.001797	0.001638	-7851.582
82	2	1100	0.001797	0.001780	-7859.927
84	2	1100	0.002044	0.001813	-7860.402
86	2	1100	0.002286	0.002043	-7866.964
88	2	1100	0.002680	0.001899	-7862.566
90	2	1100	0.002826	0.002273	-7858.468
92	2	1100	0.002471	0.001774	-7859.022
94	2	1100	0.001855	0.001055	-7847.156
96	2	1100	0.002605	0.000678	-7850.777
98	2	1100	0.002130	0.000678	-7846.356
100	2	1100	0.001796	0.000976	-7847.767
102	2	1100	0.002411	0.001310	-7852.317
104	2	1100	0.002756	0.001517	-7856.657
106	2	1100	0.002756	0.001517	-7852.965
108	2	1100	0.002515	0.001517	-7855.196
110	2	1100	0.002281	0.001376	-7854.792
112	2	1100	0.002281	0.001376	-7850.150
114	2	1100	0.002281	0.001376	-7848.411
116	2	1100	0.001875	0.001131	-7848.648
118	2	1100	0.002332	0.001104	-7848.648
120	2	1100	0.002578	0.000994	-7851.076
122	2	1100	0.001781	0.000994	-7850.097
124	2	1100	0.001952	0.000873	-7846.197
126	2	1100	0.001952	0.000873	-7849.525
128	2	1100	0.002409	0.000827	-7853.314
130	2	1100	0.002310	0.000827	-7852.864
132	2	1100	0.002016	0.000722	-7847.087
134	2	1100	0.002016	0.000722	-7849.596
136	2	1100	0.002100	0.000841	-7854.044
138	2	1100	0.001399	0.000643	-7846.375
140	2	1100	0.002252	0.001020	-7853.365
142	2	1100	0.002300	0.000826	-7848.208
144	2	1100	0.002222	0.001080	-7850.511
146	2	1100	0.001829	0.000889	-7852.941
148	2	1100	0.002027	0.001164	-7855.614
150	2	1100	0.002021	0.001352	-7847.915
152	2	1100	0.002021	0.000898	-7845.851
154	2	1100	0.002021	0.001581	-7849.440
156	2	1100	0.002771	0.001659	-7852.974
158	2	1100	0.002382	0.001093	-7850.142
160	2	1100	0.002794	0.001440	-7850.614
162	2	1100	0.002225	0.001147	-7850.733
164	2	1100	0.001948	0.001004	-7853.775
166	2	1100	0.001948	0.001594	-7855.466
168	2	1100	0.001948	0.001594	-7855.865
170	2	1100	0.001792	0.001392	-7854.396
172	2	1100	0.002138	0.001031	-7848.008
174	2	1100	0.002125	0.001266	-7851.594
176	3	1110	0.002125	0.001266	0.000151	-7857.898
178	2	1100	0.002517	0.001266	-7854.057
180	2	1100	0.002253	0.001266	-7850.677
182	2	1100	0.002525	0.001340	-7851.102
184	2	1100	0.003070	0.001228	-7856.397
186	2	1100	0.002534	0.001470	-7848.096
188	2	1100	0.002013	0.001794	-7854.966
190	2	1100	0.002631	0.001758	-7852.615
192	2	1100	0.002238	0.001317	-7847.087
194	2	1100	0.002819	0.002110	-7854.732
196	2	1100	0.002355	0.001148	-7851.135
198	2	1100	0.001909	0.000822	-7848.574
200	2	1100	0.002165	0.001133	-7850.897
202	2	1100	0.002755	0.000588	-7851.391
204	2	1100	0.002318	0.000495	-7851.501
206	2	1100	0.002318	0.000495	-7853.631
208	2	1100	0.002634	0.000679	-7853.556
210	2	1100	0.002184	0.000679	-7852.811
212	2	1100	0.002726	0.000679	-7855.187
214	2	1100	0.002664	0.000601	-7849.819
216	2	1100	0.002571	0.000865	-7848.549
218	2	1100	0.002257	0.000759	-7849.993
220	2	1100	0.002591	0.000840	-7851.620
222	2	1100	0.001816	0.000720	-7850.670
224	2	1100	0.001858	0.000736	-7851.922
226	2	1100	0.002304	0.000792	-7855.616
228	2	1100	0.001916	0.001031	-7852.182
230	2	1100	0.001916	0.001267	-7852.052
232	2	1100	0.001352	0.001120	-7852.741
234	2	1100	0.001352	0.001013	-7850.651
236	2	1100	0.001676	0.001256	-7851.050
238	2	1100	0.001715	0.001309	-7854.252
240	2	1100	0.001799	0.000745	-7848.167
242	2	1100	0.001929	0.000956	-7857.332
244	2	1100	0.001458	0.001213	-7857.591
246	2	1100	0.001458	0.000889	-7855.200
248	2	1100	0.001458	0.000889	-7850.355
250	2	1100	0.001647	0.000829	-7849.069
252	2	1100	0.001928	0.001146	-7850.609
254	2	1100	0.001928	0.001146	-7849.125
256	2	1100	0.002274	0.001351	-7857.356
258	2	1100	0.001682	0.000999	-7850.020
260	2	1100	0.002324	0.000999	-7857.599
262	2	1100	0.001934	0.001317	-7856.264
264	2	1100	0.001620	0.001104	-7850.966
266	2	1100	0.001584	0.001316	-7847.532
268	2	1100	0.001584	0.001096	-7846.539
270	2	1100	0.001584	0.001096	-7848.756
272	2	1100	0.001584	0.001028	-7846.955
274	2	1100	0.001805	0.001171	-7852.821
276	2	1100	0.001805	0.001171	-7849.522
278	2	1100	0.001865	0.000789	-7848.524
280	2	1100	0.002000	0.000789	-7849.370
282	2	1100	0.002064	0.001015	-7853.926
284	2	1100	0.001927	0.000823	-7854.344
286	2	1100	0.002599	0.002028	-7861.929
288	2	1100	0.002200	0.001180	-7855.362
290	2	1100	0.002200	0.001432	-7851.940
292	2	1100	0.001728	0.001126	-7850.535
294	2	1100	0.002454	0.001209	-7848.531
296	2	1100	0.002513	0.001483	-7852.875
298	2	1100	0.002069	0.000651	-7844.800
300	2	1100	0.002085	0.001283	-7851.207
302	2	1100	0.002085	0.001246	-7849.757
304	2	1100	0.002085	0.001246	-7854.063
