Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
120	-3715.955	-3714.42	-1.534662	0.4337587	0.1967902	0.209302	0.136899	0.451598	0.0808615	0.0625226	0.148941	0.214674	0.434971	0.231655	0.198771	0.472746	0.311362	0.121233	0.0850845	0.146629	0.480429	0.244555	0.205789	0.2114384	-0.0637207	0.0146226	0.49746	0.00302225	0.00613498	0.467646	0.0111142	0.06593728	-1.553822	0.000474619	0.0319445	0.375229	3.59235	0.276368	0.310498	0.140857	0.272277	0.002216575	29.74737
130	-3713.17	-3710.136	-3.033883	0.3304996	0.1962462	0.213363	0.188539	0.593613	0.0842785	0.108215	0.188527	0.207272	0.392895	0.221288	0.202443	0.0940079	0.349082	0.139105	0.546443	0.0644992	0.137119	0.053658	0.286802	0.1443583	-0.09615615	0.00969887	0.516645	0.00586554	0.00841343	0.444305	0.0150717	0.09826339	-1.935457	0.000465474	0.0316383	0.37379	3.59411	0.294243	0.302828	0.137378	0.265551	0.002107245	46.63121
140	-3723.108	-3714.816	-8.292267	0.341363	0.1868174	0.13151	0.234167	0.592245	0.116692	0.188178	0.42834	0.269247	0.637122	0.220421	0.295711	0.268652	0.2252	0.145311	0.500469	0.255214	0.0787853	0.0910832	0.367331	0.2984294	-0.2610873	0.00829785	0.434806	0.0094545	0.0185537	0.515527	0.0133611	0.2637991	-1.209222	0.000326302	0.0265334	0.348387	3.62475	0.311052	0.295616	0.134106	0.259227	0.00271176	97.27964
150	-3713.126	-3713.426	0.3000838	0.3083401	0.1552788	0.143764	0.157908	0.513268	0.116244	0.117075	0.167664	0.251397	0.445302	0.159039	0.414368	0.209449	0.17419	0.0871084	0.16028	0.181577	0.123991	0.456437	0.188273	0.1792262	-0.2124289	0.0111641	0.498214	0.00568779	0.0196969	0.450145	0.0150925	0.2137679	-1.719107	7.26152e-05	0.0125793	0.257685	3.72966	0.304809	0.308324	0.121854	0.265013	0.001338996	159.6479
160	-3709.646	-3710.232	0.5859853	0.322983	0.1626535	0.146322	0.17237	0.631387	0.107523	0.0796135	0.0951493	0.167171	0.310156	0.219722	0.215665	0.117142	0.386937	0.127004	0.369122	0.253131	0.0832324	0.0994888	0.286732	0.1955919	-0.1135311	0.00988208	0.534579	0.00306065	0.0126091	0.420296	0.0195729	0.1153063	-1.631725	0.000108731	0.0153762	0.279577	3.70494	0.305552	0.298266	0.124788	0.271394	0.001775277	64.95118
170	-3714.112	-3715.129	1.017282	0.472267	0.2004452	0.226595	0.232661	0.526283	0.0834702	0.11376	0.181394	0.214124	0.590478	0.182708	0.220598	0.165068	0.231978	0.0765168	0.132977	0.0858554	0.18092	0.0816894	0.279246	0.1510979	-0.1024198	0.0124039	0.46945	0.00250811	0.0166926	0.473857	0.0250886	0.1047676	-1.889827	0.000539407	0.0340327	0.384819	3.58061	0.311718	0.293802	0.130066	0.264414	0.002347866	44.62249
180	-3713.122	-3715.928	2.805958	0.4715733	0.2141682	0.116362	0.238938	0.487911	0.108331	0.106905	0.163414	0.234452	0.432787	0.215815	0.179296	0.292504	0.0877296	0.0758813	0.133093	0.0831454	0.146504	0.128739	0.274391	0.1283191	-0.03744812	0.0157109	0.548429	0.0022937	0.00960323	0.409063	0.0149008	0.04034905	-2.053235	0.000838677	0.042328	0.419615	3.53722	0.296075	0.314274	0.130984	0.258667	0.002900936	13.90898
190	-3708.516	-3710.079	1.563287	0.4887154	0.174887	0.109088	0.196536	0.666336	0.0780994	0.0624195	0.122496	0.231568	0.425822	0.126659	0.201962	0.47896	0.0983853	0.0959289	0.19105	0.218353	0.105642	0.11488	0.21504	0.1789651	-0.007649398	0.0158257	0.511291	0.00315489	0.0106599	0.44593	0.0131383	0.01024661	-1.720564	0.000197017	0.0206584	0.315036	3.66411	0.30788	0.300871	0.131521	0.259728	0.002597216	3.94523
200	-3705.69	-3713.297	7.606328	0.4605107	0.2072049	0.118388	0.195396	0.363331	0.114459	0.0766442	0.171455	0.149551	0.303868	0.135897	0.244439	0.121016	0.148352	0.111605	0.238211	0.082007	0.307218	0.167493	0.189664	0.1563144	-0.009177109	0.0170528	0.529845	0.00540514	0.00868805	0.423694	0.0153149	0.01066041	-1.855886	0.00067533	0.0380327	0.402199	3.55909	0.299826	0.309544	0.128081	0.262549	0.001483298	7.186964
210	-3709.035	-3710.202	1.166785	0.5001285	0.1780037	0.138248	0.143573	0.565515	0.0278292	0.121319	0.214369	0.176886	0.273786	0.153659	0.196619	0.107473	0.15521	0.0591467	0.0945763	0.173499	0.427864	0.199317	0.165827	0.1773756	0.05516799	0.00889008	0.567913	0.00972133	0.00940876	0.383171	0.0208958	0.01041392	-1.729486	0.00022625	0.0221268	0.323873	3.65377	0.295987	0.301969	0.127551	0.274493	0.06558191	0.1587926
