Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	13.26357	0	13.26357	7.275812	1	0.00175913	0.0443824	0.023431	0.00433943	0.00743693	0.0328353	0.0612832	0.0322883	0.0126907	0.0154748	0.00181053	0.0723905	0.0424922	0.0628875	0.0128411	0.0189669	0.0434856	0.0381762	0.02564034	0.04306675	0.157411	0.0375235	0.213828	0.350838	0.160236	0.0801638	7.276965	0.007815466	-3.663588	0.136954	0.476752	1	2.38629	0.584552	0.0732172	0.199962	0.142269	0.05088221	0.1535992
10	-0.2936546	0	-0.2936546	11.89128	0.5272445	0.00138768	0.0197629	0.0418572	0.0171403	0.0219601	0.0927035	0.0913809	0.036387	0.0547795	0.0683303	0.0127444	0.0548224	0.0387414	0.118102	0.0134123	0.0122503	0.0788799	0.00837977	0.03599811	0.1036936	0.207766	0.0582486	0.192094	0.278258	0.142603	0.12103	14.00967	0.008776334	-3.324289	0.0385418	0.26933	0.839123	2.85301	0.456158	0.151566	0.184527	0.207749	0.11247	0.0780327
20	-7.200064	0	-7.200064	27.70821	0.3108433	0.00563875	0.0153595	0.0126666	0.00387836	0.0498085	0.0849529	0.10821	0.0603692	0.0106902	0.120715	0.117408	0.0174063	0.00506921	0.0132847	0.0103965	0.0363342	0.0679535	0.0509081	0.03907731	0.03532028	0.464865	0.0571111	0.230634	0.0639186	0.0912899	0.0921806	40.4193	0.01923821	-3.242213	0.00621604	0.112953	0.613571	3.26726	0.473895	0.194044	0.228129	0.103931	0.05455849	0.3526163
30	0.1228973	0	0.1228973	34.06408	0.521585	0.0410222	0.0104566	0.0207659	0.0542948	0.0168553	0.0343733	0.0681991	0.0352196	0.0172093	0.0291744	0.0137343	0.02155	0.00263716	0.0283945	0.0648333	0.0273209	0.0141415	0.0284603	0.02322428	-0.008110667	0.111386	0.142153	0.180849	0.242744	0.163387	0.159482	39.34395	0.02955888	-3.762557	0.0374548	0.265774	0.83536	2.86141	0.223219	0.21606	0.304424	0.256297	0.02144822	1.378151
40	11.0253	0	11.0253	41.67655	0.8495093	0.00440631	0.00224919	0.013432	0.00667798	0.00234177	0.0149987	0.0101388	0.00812079	0.0111163	0.00947526	0.00615456	0.0420398	0.000874872	0.0208622	0.0182322	0.0326743	0.0271849	0.00961639	0.01305001	-0.05823113	0.156253	0.119365	0.143039	0.263561	0.199573	0.118209	42.9631	0.07214019	-4.338966	0.106042	0.426329	0.969783	2.49785	0.134191	0.34455	0.316358	0.204901	0.01390906	5.18656
50	12.06644	0	12.06644	21.0146	1.01297	0.00676587	0.0106014	0.0507466	0.0184767	0.00227133	0.0308195	0.00997888	0.0215187	0.0130072	0.00326127	0.00609628	0.0267277	0.0276709	0.00790014	0.00104614	0.0195845	0.0163159	0.0138018	0.02203979	-0.03203532	0.176793	0.130187	0.142684	0.184789	0.217698	0.147849	29.78638	0.05999229	-3.814906	0.139534	0.480616	1.00212	2.37773	0.188178	0.23154	0.361423	0.218859	0.02795697	2.14588
60	19.96207	0	19.96207	22.09908	0.6785608	0.00598101	0.0319598	0.0668251	0.0132002	0.00115409	0.0102605	0.00262407	0.00598853	0.0126435	0.00180957	0.00446233	0.00316039	0.000279071	0.00470162	0.000699182	0.00679524	0.00775592	0.00903817	0.01689158	-0.0403325	0.277863	0.177306	0.128955	0.172083	0.0714865	0.172307	25.04877	0.05993575	-4.08094	0.069616	0.353236	0.916657	2.66049	0.217514	0.190085	0.544211	0.0481896	0.01960325	3.057439
70	14.27144	0	14.27144	21.44885	0.9659306	0.00363363	0.00772729	0.0749238	0.0221686	0.000141646	0.00178104	0.0138897	0.0184624	0.0371128	0.0055749	0.0210309	0.00211094	0.0102222	0.000902165	0.000155963	0.011124	0.0062727	0.0303071	0.01745956	-0.01384874	0.418522	0.238971	0.118053	0.0524824	0.0628958	0.109076	35.61026	0.08592521	-4.047868	0.130107	0.466266	0.994117	2.40951	0.337896	0.410252	0.168438	0.0834137	0.07207647	1.19214
80	22.40398	0	22.40398	20.15547	0.8961596	0.00169871	0.00513505	0.0253835	0.0204074	0.000303136	0.000438009	0.0111471	0.0428979	0.00550519	0.00440673	0.00319483	0.00665228	0.00860765	0.00394348	0.00112289	0.00320096	0.00293831	0.00885211	0.009457284	0.02879003	0.302778	0.327941	0.14855	0.0577155	0.048865	0.114151	32.39403	0.0520781	-4.66097	0.115798	0.44315	0.980411	2.46064	0.722194	0.113997	0.0989536	0.0648559	0.08086813	0.6439879
90	8.560465	0	8.560465	38.06443	0.1947209	0.000576959	0.0126738	0.066202	0.0200166	0.00175097	0.00489359	0.0257199	0.0447478	0.0121749	0.0378087	0.0124564	0.0210797	0.0103673	0.0104429	0.00240854	0.0129624	0.00468629	0.035505	0.01382608	0.00174773	0.233045	0.311174	0.105933	0.210871	0.0575026	0.0814743	41.10159	0.03508389	-4.281198	0.000440508	0.0307865	0.36974	3.59903	0.281122	0.256535	0.309037	0.153306	0.03683162	0.9525481
