Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-8062.877	-8047.584	-15.29324	24.45173	1	0.115578	0.0488009	0.0955098	0.0157958	0.071948	0.0505572	0.0169076	0.0909619	0.157971	0.00464588	0.114982	0.0869197	0.0363228	0.0404912	0.181551	0.0708756	0.100627	0.0145302	0.07103728	-0.02419696	0.32033	0.0308137	0.00517449	0.303553	0.216088	0.124041	38.91113	0.04031157	-2.644551	0.136954	0.476752	1	2.38629	0.352195	0.136166	0.462821	0.0488184	0.01611461	2.501554
10	-4328.131	-4350.793	22.6623	8.814929	0.5077041	0.00726416	0.00996953	0.0117296	0.00566517	0.00765183	0.00778573	0.0070609	0.0117482	0.0192861	0.000642517	0.0050817	0.00387621	0.0248787	0.0193705	0.0049914	0.0160895	0.00318211	0.00346117	0.01369631	-0.04931797	0.216996	0.0980823	0.00377044	0.116545	0.491793	0.0728135	42.66316	0.0652599	-4.290629	0.0348244	0.256916	0.825794	2.88247	0.231932	0.27677	0.333451	0.157846	0.01594193	4.093602
20	-3986.065	-4009.572	23.50667	9.605409	0.2182161	0.00738743	0.00397936	0.00549411	0.00710288	0.0073205	0.00472835	0.00977167	0.0145653	0.00842394	0.000754102	0.0194906	0.00673557	0.0308258	0.00977714	0.00703581	0.00300605	0.00350238	0.00318707	0.01183341	-0.06006633	0.0794257	0.12761	0.00559176	0.0601339	0.635517	0.0917215	44.01135	0.1088026	-4.436828	0.000945187	0.0449007	0.429511	3.52464	0.301378	0.314723	0.17879	0.205109	0.04873627	2.232477
30	-3836.542	-3858.257	21.71476	9.795386	0.2450762	0.0146216	0.0028866	0.00809427	0.0235377	0.0108621	0.0104382	0.0164289	0.0152595	0.00647216	0.000916112	0.00786337	0.0172954	0.00160631	0.0028562	0.0116767	0.00659687	0.0175931	0.00669591	0.008974494	-0.05586646	0.0172764	0.217854	0.00127744	0.0303075	0.665202	0.0680833	32.86816	0.1443082	-4.713369	0.00189017	0.0631578	0.490986	3.44397	0.306861	0.263847	0.154216	0.275076	0.08844177	1.631675
40	-3729.279	-3751.092	21.81364	7.631636	0.2022847	0.00883702	0.00488963	0.00890722	0.014247	0.00717031	0.0105069	0.0337617	0.0246134	0.00626586	0.00257935	0.0243234	0.0010475	0.00159563	0.00852749	0.0111344	0.0071559	0.00319943	0.00573492	0.01275032	-0.1346962	0.0170028	0.406521	0.0019272	0.0354199	0.513619	0.0255109	23.99493	0.2419083	-4.362199	0.000574281	0.0351038	0.389594	3.57473	0.298413	0.279697	0.146343	0.275547	0.1072121	2.256353
50	-3709.065	-3727.899	18.83389	7.782537	0.2293098	0.0108622	0.0035349	0.00268593	0.0196705	0.00792855	0.00711766	0.0281385	0.00625908	0.00603442	0.00175187	0.0142166	0.0028838	0.0300031	0.0095411	0.00979507	0.016917	0.00104794	0.00798563	0.01125486	0.07062492	0.00959415	0.472095	0.00301849	0.0195298	0.467678	0.028085	28.06563	0.1155655	-4.486956	0.00128351	0.0522099	0.455777	3.49073	0.306872	0.273543	0.139813	0.279772	0.1861904	0.6206845
60	-3706.54	-3727.704	21.16358	7.311254	0.2075965	0.0198638	0.00465677	0.00410027	0.0234681	0.0149874	0.0102054	0.0163261	0.0239189	0.00340616	0.00897269	0.00821601	0.000710746	0.00792707	0.00539144	0.00512281	0.00272918	0.00469988	0.0168527	0.01452213	-0.02953339	0.00549191	0.5666	0.00434255	0.0219642	0.390655	0.0109463	29.37644	0.1284543	-4.232082	0.000683871	0.0382696	0.403191	3.55786	0.326361	0.28774	0.111869	0.274029	0.09892089	1.298556
70	-3705.025	-3718.578	13.55264	7.05973	0.207563	0.0144465	0.00658942	0.0126306	0.0232352	0.0152351	0.0128072	0.0363425	0.00308516	0.00319158	0.00335713	0.0290936	0.0304872	0.0147075	0.0236501	0.00663326	0.0106543	0.0173684	0.00605861	0.01136859	0.0315177	0.0092066	0.550215	0.00294911	0.0230409	0.398654	0.0159344	29.71217	0.1052313	-4.476901	0.000683138	0.0382494	0.403107	3.55796	0.30369	0.309588	0.120364	0.266358	0.136749	0.7695216
80	-3706.388	-3727.892	21.50357	5.252502	0.1714002	0.0150248	0.00190999	0.00412533	0.0160559	0.0111096	0.0107896	0.0204369	0.00687554	0.00576882	0.00865047	0.00806823	0.00121878	0.000360057	0.0411354	0.0278207	0.00748143	0.00788286	0.010263	0.01192697	0.06010093	0.00759818	0.582477	0.00246763	0.0186379	0.368013	0.0208057	23.06657	0.07621171	-4.428953	0.00016776	0.0190735	0.305051	3.67571	0.318922	0.298868	0.136434	0.245775	0.1363126	0.559095
90	-3705.09	-3722.713	17.62242	6.875503	0.1838282	0.0188179	0.00151671	0.00705017	0.0253698	0.0216472	0.0186334	0.0385312	0.00586611	0.00541199	0.00528449	0.0474104	0.00258145	0.000740266	0.00493435	0.0464325	0.0122696	0.00523888	0.00465826	0.01793724	-0.09744602	0.0148364	0.549679	0.00563907	0.00996161	0.405698	0.0141854	28.42266	0.1144858	-4.020876	0.000289332	0.0249978	0.340154	3.63456	0.305166	0.290911	0.130482	0.273442	0.01703978	6.718736
