Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
12	0	-3721.721	-3716.517	-5.204581	0.5575247	0.2065285	0.357901	0.0428101	0.24742	0.506697	0.216986	0.185581	0.207634	0.0924934	0.135269	0.0835555	0.261767	0.0921981	0.0249622	0.468699	0.08498	0.186081	0.22693	0.460689	0.235741	0.03958237	0.00904303	0.427683	0.00485112	0.018879	0.536507	0.00303661	0.03098866	0.000660753	0.0376247	0.400481	3.56123	0.295563	0.302458	0.140233	0.261746	0.07057103	0.439113
13	1	-4084.297	-4066.656	-17.64052	0.7590888	0.1851941	0.370292	0.608643	0.297384	0.582645	0.0617811	0.102731	0.281208	0.325932	0.582342	0.0476338	0.431762	0.562349	0.341603	0.12026	0.039521	0.179675	0.137487	1.50005	0.477371	0.09170923	0.0139152	0.0207945	0.0309243	0.00436193	0.812417	0.117587	0.005537367	0.000305822	0.0256943	0.343927	3.63007	0.340038	0.2741	0.198109	0.187753	0.0972466	0.05694149
14	0	-3726.61	-3715.523	-11.08614	0.4979686	0.1942733	0.493839	0.054328	0.347649	0.63836	0.135867	0.104806	0.42987	0.1318	0.129153	0.0929276	0.244452	0.0810102	0.39194	0.224664	0.255914	0.167142	0.538824	0.241746	0.3637238	0.002234898	0.00781704	0.592832	0.00701795	0.0190907	0.370007	0.00323458	0.0674913	0.000433368	0.0305384	0.368547	3.60048	0.318422	0.295514	0.114122	0.271942	0.0697262	0.9679475
15	1	-3883.066	-3876.518	-6.548094	0.5843706	0.1932426	0.386587	0.203726	0.145785	0.247795	0.0574559	0.0696994	0.221116	0.150006	0.124683	0.0369779	0.039941	0.201936	0.143716	0.0837213	0.254399	0.924275	0.341474	0.331911	0.3074516	0.0322428	0.0142299	0.0704829	0.0313873	0.00402357	0.805671	0.0742052	0.00399084	0.000417243	0.0299703	0.365793	3.60382	0.329867	0.286616	0.196236	0.187281	0.03623364	0.1101418
16	0	-3726.647	-3714.923	-11.72444	0.4806282	0.2077591	0.393422	0.0657289	0.207515	0.293179	0.188319	0.178275	0.0535897	0.0182501	0.244836	0.225844	1.3503	0.114552	0.0785959	0.246022	0.718384	0.121797	0.288558	0.163133	0.367993	0.02493191	0.00769541	0.469116	0.00507371	0.030016	0.484464	0.00363519	0.04923413	0.000687441	0.0383682	0.403603	3.55734	0.33438	0.297061	0.121163	0.247396	0.07416604	0.6638365
17	1	-3828.434	-3812.16	-16.27385	0.5810594	0.192344	0.617089	0.832678	0.371484	0.602731	0.0814732	0.064597	0.391465	0.304247	0.485339	0.0545461	0.00992128	0.139329	0.247884	0.149728	0.048137	1.16607	0.207175	0.515052	0.4702855	0.03591577	0.00574348	0.108087	0.0306325	0.00471518	0.802794	0.0480279	0.002710304	0.000403541	0.0294788	0.363383	3.60673	0.29717	0.316294	0.16458	0.221956	0.03862607	0.07016774
18	0	-3719.556	-3713.931	-5.624885	0.5192389	0.2131584	0.388153	0.039077	0.155544	0.218761	0.191714	0.15691	0.377355	0.117357	0.142765	0.0848703	0.11432	0.0621801	0.24046	0.135689	0.239615	0.213478	0.532418	0.510452	0.1740929	0.08826742	0.00762949	0.469408	0.00837323	0.0290677	0.484766	0.000756369	0.02844344	0.000813456	0.0416947	0.41712	3.54037	0.303767	0.287981	0.150105	0.258146	0.1167109	0.2437086
19	1	-3746.268	-3740.805	-5.46265	0.4682767	0.1899388	0.340744	0.283092	0.258832	0.386324	0.156206	0.115389	0.436924	0.249109	0.314135	0.0176502	0.16361	0.249898	0.297721	0.0655138	0.108608	0.107647	0.0801909	0.49499	0.217812	0.02837348	0.00815249	0.269475	0.0276842	0.00574302	0.672168	0.0167778	0.005869993	0.000368462	0.0281803	0.356893	3.61456	0.311068	0.30018	0.153031	0.235722	0.03424347	0.1714193
20	0	-3720.374	-3712.955	-7.419487	0.6005709	0.2086815	0.586413	0.0815233	0.189112	0.284875	0.159743	0.141876	0.0367819	0.00985926	0.139825	0.157429	0.259147	0.20569	0.160432	0.125053	0.318812	0.043186	0.355022	0.306257	0.2941851	0.08130578	0.0118307	0.48791	0.00784982	0.0211691	0.470617	0.000623479	0.1031423	0.000707933	0.0389292	0.405933	3.55443	0.300386	0.28938	0.150834	0.2594	0.1844481	0.5591942
21	1	-3721.133	-3711.074	-10.05866	0.3706377	0.1634534	0.536799	0.238697	0.264672	0.621435	0.141355	0.102804	0.731855	0.313786	0.10285	0.018061	0.0862657	0.308918	0.221445	0.0696709	0.0895394	0.417228	0.480283	0.246634	0.2298978	0.102898	0.00521444	0.51558	0.0129576	0.00425391	0.455381	0.00661301	0.01021753	0.000113348	0.0156974	0.281931	3.70226	0.318457	0.30731	0.132912	0.241321	0.1131155	0.09032829
