Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
220	-3738.255	-3722.675	-15.58031	0.2124061	0.1711331	0.326297	0.07889104	0.010402	0.573218	0.00748135	0.00726829	0.382993	0.0186369	0.01898092	0.000165662	0.0189547	0.304282	3.6766	0.31379	0.324846	0.117635	0.243729	0.09787196	0.1939362
230	-3735.645	-3720.631	-15.01445	0.2545896	0.2111667	0.2521812	-0.03099528	0.014527	0.544683	0.00603423	0.00994381	0.413251	0.0115604	0.08164673	0.000765253	0.0404557	0.412168	3.54661	0.311615	0.292953	0.13019	0.265243	0.05065145	1.611933
240	-3742.553	-3727.097	-15.45529	0.253136	0.23083	0.2915756	0.07230017	0.0122264	0.501594	0.00922172	0.00903682	0.455008	0.0129131	0.03257766	0.00133539	0.0532388	0.459279	3.48615	0.277839	0.303289	0.134531	0.284342	0.1048778	0.3106248
250	-3740.588	-3723.437	-17.15087	0.2849867	0.2282935	0.2535772	0.2988345	0.0193849	0.476478	0.0139707	0.0074959	0.473762	0.00890892	0.03679161	0.00124958	0.0515256	0.453422	3.4938	0.29602	0.311772	0.139657	0.252551	0.3356261	0.1096208
260	-3741.878	-3722.903	-18.97479	0.2693372	0.242078	0.2811174	0.07679151	0.00894814	0.601324	0.0120964	0.00721409	0.361053	0.00936398	0.2403089	0.00176288	0.0610315	0.484479	3.45273	0.300358	0.287175	0.128578	0.283889	0.3171005	0.7578322
270	-3737.898	-3720.718	-17.18002	0.2623162	0.2040559	0.2713703	-0.1018958	0.00818465	0.556979	0.00892948	0.00727226	0.409639	0.00899538	0.2346304	0.000609334	0.0361476	0.39416	3.56908	0.292646	0.305675	0.129141	0.272538	0.1327346	1.767666
280	-3740.058	-3723.824	-16.23392	0.2827616	0.2172476	0.2795061	0.1504267	0.00800345	0.576551	0.00786493	0.0147194	0.380228	0.0126333	0.04729719	0.000918907	0.0442804	0.427158	3.52764	0.307587	0.296082	0.132345	0.263986	0.1977238	0.2392083
290	-3741.17	-3726.39	-14.77939	0.2273538	0.1992289	0.28354	0.01388498	0.00618548	0.565196	0.00891222	0.0111524	0.400503	0.0080506	0.02737134	0.000517191	0.0333318	0.381642	3.58451	0.324061	0.281275	0.14388	0.250784	0.04125633	0.663446
300	-3749.048	-3730.371	-18.67723	0.237561	0.1885727	0.2529485	0.3903568	0.00982479	0.525454	0.015567	0.0192035	0.425447	0.00450315	0.08208615	0.000349553	0.0274541	0.353182	3.61901	0.31239	0.29432	0.149419	0.243871	0.472443	0.1737483
310	-3744.263	-3729.577	-14.6863	0.233103	0.2270102	0.2417829	-0.06854918	0.00874938	0.536129	0.0102153	0.0157026	0.424646	0.00455699	0.08620828	0.0012076	0.0506656	0.450435	3.49769	0.298904	0.281614	0.133397	0.286084	0.0176591	4.881804
320	-3737.343	-3721.209	-16.13375	0.213351	0.1906167	0.3003501	-0.07486559	0.0114524	0.525059	0.0117835	0.0127029	0.428048	0.0109538	0.1458528	0.000378116	0.0285437	0.358728	3.61235	0.31789	0.2977	0.134904	0.249505	0.07098718	2.054635
