Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-10133.14	-9867.611	-265.5322	17.99978	1	0.0677563	0.358709	0.113567	0.0689979	0.00064287	0.0113105	0.314964	0.11367	1.69329	1.66387	0.218	0.169317	0.292516	0.0336923	0.142326	0.742571	0.064228	1.4536	0.165279	0.438598	0.316564	0.0374081	0.0699215	0.143793	0.0224707	0.204556	1.12041	0.285489	0.393354	0.466383	0.416853	0.0213637	0.00051259	0.0021364	0.326054	1.33867	0.571068	0.157704	0.569467	0.498999	1.09993	0.303766	0.4707567	0.04288271	0.146045	0.0056894	0.356101	0.369925	0.101397	0.0208414	38.74852	0.0288555	0	40.77726	0.1464345	0.136954	0.476752	1	2.38629	0.268379	0.0496404	0.101124	0.580856	0.07173821	0.4022334
10	-5514.666	-5342.692	-171.9743	29.15103	0.2658732	0.00371033	0.0538716	0.0070687	0.0058521	2.21808e-05	0.000711173	0.0219436	0.00929572	0.0954509	0.0184729	0.00792635	0.00610526	0.0128598	0.00131809	0.0116456	0.111755	0.00873656	0.0533459	0.0149245	0.0181345	0.0538861	0.00657254	0.00395053	0.00319086	0.00170684	0.045057	0.0354503	0.0101148	0.0208206	0.0202657	0.0225117	0.00240505	5.58779e-05	0.000147551	0.00896119	0.0207553	0.15355	0.0101653	0.010672	0.0139662	0.0186749	0.00715616	0.07285751	0.02155917	0.0886138	0.0178443	0.453626	0.132724	0.241416	0.0657764	32.42261	0.04803074	2	39.42503	0.1299875	0.00293551	0.0783692	0.533786	3.38491	0.269202	0.0830166	0.107437	0.540345	0.06958991	0.6901969
20	-4507.67	-4381.171	-126.498	16.71149	0.3327429	0.00160476	0.0249623	0.02454	0.00153852	2.57198e-05	0.00204609	0.0316304	0.0059566	0.0323272	0.00741825	0.0118415	0.00843779	0.0259722	0.000897996	0.00876724	0.0522174	0.0090165	0.0263469	0.0128495	0.00777587	0.024926	0.00344275	0.00480882	0.0145505	0.000219993	0.00282178	0.0716069	0.00563601	0.0305665	0.0117488	0.00770745	0.00315096	4.99645e-05	3.51212e-06	0.004624	0.00113273	0.065905	0.012568	0.0319632	0.00291254	0.0274874	0.00397368	0.015417	0.006653643	0.0791548	0.0737378	0.185499	0.0793205	0.405791	0.176497	32.91804	0.08473649	3	39.35032	0.1471948	0.00832338	0.130091	0.646907	3.21468	0.328578	0.153017	0.179486	0.338919	0.09139013	0.9271952
30	-4025.041	-3915.944	-109.0964	15.26992	0.1626149	0.00183598	0.00871424	0.0732355	0.00026711	3.88602e-05	0.00628265	0.0372911	0.00643207	0.019072	0.00189392	0.0176416	0.00655715	0.0266999	0.000979065	0.00533311	0.0554921	0.00941728	0.0339968	0.0138165	0.0104113	0.0232575	0.00507729	0.0103256	0.0470512	0.000174454	0.0010662	0.0315365	0.00613475	0.011209	0.016381	0.00860158	0.0111013	7.74318e-05	2.93146e-06	0.0104169	0.00292066	0.0475565	0.00717389	0.00855362	0.00618129	0.00934502	0.00340474	0.01743426	0.0242038	0.0253256	0.191064	0.0462081	0.0214138	0.612668	0.10332	29.71684	0.09257983	5	40.15372	0.1244732	0.000108511	0.0153607	0.279464	3.70507	0.280417	0.297345	0.176534	0.245703	0.1167836	0.7927466
40	-3974.902	-3873.984	-100.918	10.63294	0.2038038	0.00213262	0.00694348	0.0711371	0.000190579	5.07298e-05	0.00864785	0.0289786	0.00722466	0.0161081	0.00257005	0.0136035	0.0131072	0.0463717	0.00173483	0.00810753	0.0732384	0.00534703	0.0440964	0.0194355	0.0116312	0.0119507	0.0025111	0.0439761	0.0281846	0.000197941	0.00113098	0.0347126	0.00493922	0.0198842	0.0221841	0.0308683	0.00630102	0.000232442	1.35083e-06	0.0120484	0.0103942	0.0716284	0.0082671	0.00699978	0.00656238	0.0122285	0.00432051	0.01913717	0.07455352	0.0148791	0.195319	0.0414898	0.0218907	0.663448	0.0629728	32.54893	0.08640281	5	40.06513	0.2295917	0.000604257	0.0359983	0.393512	3.56988	0.303636	0.293508	0.160324	0.242532	0.1609563	0.536809
50	-3945.049	-3851.224	-93.82537	10.63294	0.2183219	0.00243986	0.00502582	0.0622878	0.000198126	8.75973e-05	0.010056	0.0185788	0.00546014	0.0128178	0.00243575	0.0216441	0.0135204	0.0378091	0.00394816	0.00532189	0.0797944	0.00436065	0.0507364	0.0153114	0.00687421	0.0125136	0.00217212	0.0234689	0.0182737	0.000100077	0.000927262	0.0218391	0.0020075	0.0104125	0.0190943	0.022734	0.00309414	9.11088e-05	1.05876e-06	0.0103081	0.00757792	0.048159	0.0181794	0.00476343	0.00597599	0.0115798	0.00635463	0.01625492	0.07455352	0.0172382	0.245109	0.0520662	0.0207354	0.642561	0.0222905	32.54893	0.08640281	5	40.06513	0.2295917	0.000948089	0.0449687	0.429767	3.52432	0.318858	0.25636	0.184878	0.239904	0.1609563	0.536809
60	-3838.129	-3758.75	-79.37869	7.776857	0.1827859	0.000714915	0.00302554	0.0307237	0.000230336	7.68486e-05	0.0162681	0.00965761	0.0165896	0.0108814	0.00895887	0.0223207	0.0119742	0.0227291	0.00445524	0.00834201	0.0656514	0.00444201	0.0385671	0.013979	0.00708475	0.0212752	0.00705965	0.010815	0.0117268	0.00427311	0.000770436	0.0237595	0.00793749	0.00373431	0.00682791	0.0129432	0.00116752	6.74958e-05	1.56258e-06	0.00209548	0.0097937	0.0540261	0.0275985	0.00336878	0.0151468	0.0044984	0.00978446	0.01570949	0.005131794	0.0159294	0.331114	0.0202998	0.00870235	0.604909	0.019046	26.14114	0.1090811	6	39.2809	0.3005297	0.000277195	0.0244721	0.337264	3.63799	0.305927	0.277553	0.180791	0.235729	0.1142129	0.9550682
70	-3785.065	-3722.024	-63.04159	7.776857	0.1548186	0.00081629	0.00296161	0.0277412	0.000391813	0.000179178	0.0306707	0.0156696	0.0112879	0.0144571	0.00579155	0.021865	0.0145255	0.0160579	0.00412298	0.0103877	0.054438	0.00452998	0.0662036	0.0141192	0.0081217	0.0173272	0.00910274	0.00803602	0.0120398	0.00479948	0.000710825	0.00645483	0.0238238	0.00382762	0.0108061	0.0113444	0.00400405	3.11368e-05	1.46864e-06	0.00264889	0.00561914	0.0457847	0.0266624	0.00564146	0.0111493	0.00348084	0.011407	0.01422302	0.01853683	0.00392373	0.46985	0.0122879	0.00243844	0.502841	0.00865846	23.09295	0.1217966	8	37.86061	0.2614913	7.07181e-05	0.0124147	0.256308	3.73121	0.318239	0.280762	0.134605	0.266393	0.1403334	0.8679087
80	-3791.562	-3721.223	-70.33829	7.776857	0.211263	0.000652705	0.0039014	0.0259439	0.000359364	8.96468e-05	0.0433613	0.0199122	0.00862936	0.0127989	0.0117672	0.0218204	0.0133755	0.0251626	0.00873299	0.0121858	0.0499561	0.00587612	0.0564573	0.021645	0.0105881	0.0177811	0.0226813	0.00925722	0.0195963	0.00684184	0.000942254	0.00521555	0.0198189	0.00476676	0.00746536	0.0176157	0.00362009	0.000117736	1.04066e-06	0.0015952	0.0121194	0.0247567	0.012115	0.00689377	0.00426855	0.0028137	0.0112224	0.01378135	-0.005147341	0.0122685	0.467145	0.0108047	0.00411511	0.497295	0.00837159	23.77383	0.133068	8	38.61385	0.2614913	0.000767538	0.0405153	0.412409	3.54631	0.318239	0.280762	0.134605	0.266393	0.1279206	1.040239
90	-3789.435	-3718.328	-71.10719	7.776857	0.1601316	0.000785024	0.00620087	0.0185614	0.000323466	9.28555e-05	0.023345	0.0255325	0.00931685	0.0132355	0.0101904	0.0173405	0.0115988	0.00904046	0.0110994	0.00940434	0.0797312	0.00718539	0.0533648	0.0142022	0.0181503	0.0223679	0.0385704	0.01697	0.0220789	0.023807	0.000846903	0.0265201	0.0180914	0.00833531	0.0103269	0.00528569	0.0106753	3.98922e-06	6.75305e-07	0.00207771	0.00701257	0.0337356	0.00943323	0.00650094	0.00234959	0.00355654	0.00543459	0.01647829	-0.03715805	0.0120472	0.514007	0.0120306	0.00428285	0.454212	0.00342053	22.77547	0.1467029	8	38.3214	0.288895	9.5108e-05	0.0143861	0.27213	3.71339	0.290196	0.301938	0.156506	0.25136	0.1095449	1.339204
