Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5299.327	-5295.798	-3.529051	0.9139026	1	0.164631	0.202737	0.113586	0.133904	0.379735	0.155634	0.210718	0.058486	0.0902099	0.094546	0.374931	0.151135	0.305276	0.0274567	0.147598	0.182382	0.108786	0.260729	0.2090092	0.258376	0.123222	0.00183655	0.33401	0.154483	0.303719	0.0827292	0.0090315	0.136954	0.476752	1	2.38629	0.358328	0.361351	0.13835	0.141971	0.2674075	0.0337743
10	-4575.098	-4566.461	-8.63674	0.6193376	0.3748996	0.264094	0.16068	0.143239	0.227285	0.301915	0.163617	0.250078	0.195702	0.0611825	0.0834436	0.634564	0.321317	0.182036	0.258183	0.0500959	0.216506	0.109081	0.469952	0.2153915	0.3367843	0.0999613	0.00205861	0.194048	0.147815	0.43892	0.117197	0.009660223	0.0132661	0.162772	0.702625	3.12134	0.219422	0.321224	0.226335	0.233019	0.3464445	0.0278839
20	-4445.174	-4419.198	-25.97611	0.5601985	0.1788069	0.870154	0.57231	0.411024	0.616394	0.921314	0.499083	0.593424	0.824017	0.520959	0.239529	1.20939	0.709599	0.345468	0.409272	0.0787734	0.167665	0.216806	0.932701	0.5208349	0.1552717	0.0477412	0.00113146	0.0996123	0.0498983	0.587307	0.21431	0.006104509	0.000234278	0.0225129	0.326137	3.65112	0.362097	0.238547	0.19075	0.208606	0.1613762	0.03782781
30	-4397.435	-4379.276	-18.15911	0.6096253	0.1943972	0.984112	0.424311	0.368982	0.556495	0.188388	0.117911	0.487668	0.49367	0.448152	0.211085	0.496001	0.231609	0.454537	0.270205	0.13208	0.0605969	0.458866	1.04944	0.4167531	0.03826761	0.0320622	0.00151448	0.0868731	0.0156462	0.661634	0.20227	0.005310151	0.000435336	0.030607	0.368877	3.60008	0.304666	0.270518	0.187346	0.23747	0.04357776	0.1218546
40	-4383.73	-4360.824	-22.90532	0.6709513	0.1572855	1.39345	0.969174	0.412449	0.657283	0.174363	0.203059	0.398814	0.483588	0.698198	0.323913	0.590833	0.308043	0.391831	0.262993	0.573344	0.0550232	0.152344	1.41846	0.441004	0.009738624	0.021206	0.00165596	0.0715321	0.00885396	0.695587	0.201165	0.01255069	8.13514e-05	0.0133106	0.263675	3.72293	0.368902	0.245342	0.170386	0.21537	0.02228932	0.5630811
50	-4273.189	-4252.991	-20.19821	0.8322224	0.170486	1.08186	0.676871	0.421086	0.692666	0.145522	0.189726	0.468735	0.384078	0.628438	0.211036	0.34414	0.25182	0.59866	0.258227	0.242431	0.313494	0.426754	0.990066	0.4165099	0.03180574	0.0152138	0.0064823	0.0494081	0.0044364	0.797051	0.127408	0.003129299	0.000160661	0.0186683	0.302416	3.67875	0.329059	0.296865	0.195656	0.17842	0.03493504	0.08957478
60	-4084.297	-4066.656	-17.64052	0.7590888	0.1851941	0.370292	0.608643	0.297384	0.582645	0.0617811	0.102731	0.281208	0.325932	0.582342	0.0476338	0.431762	0.562349	0.341603	0.12026	0.039521	0.179675	0.137487	1.50005	0.477371	0.09170923	0.0139152	0.0207945	0.0309243	0.00436193	0.812417	0.117587	0.005537367	0.000305822	0.0256943	0.343927	3.63007	0.340038	0.2741	0.198109	0.187753	0.0972466	0.05694149
70	-3883.066	-3876.518	-6.548094	0.5843706	0.1932426	0.386587	0.203726	0.145785	0.247795	0.0574559	0.0696994	0.221116	0.150006	0.124683	0.0369779	0.039941	0.201936	0.143716	0.0837213	0.254399	0.924275	0.341474	0.331911	0.3074516	0.0322428	0.0142299	0.0704829	0.0313873	0.00402357	0.805671	0.0742052	0.00399084	0.000417243	0.0299703	0.365793	3.60382	0.329867	0.286616	0.196236	0.187281	0.03623364	0.1101418
80	-3828.434	-3812.16	-16.27385	0.5810594	0.192344	0.617089	0.832678	0.371484	0.602731	0.0814732	0.064597	0.391465	0.304247	0.485339	0.0545461	0.00992128	0.139329	0.247884	0.149728	0.048137	1.16607	0.207175	0.515052	0.4702855	0.03591577	0.00574348	0.108087	0.0306325	0.00471518	0.802794	0.0480279	0.002710304	0.000403541	0.0294788	0.363383	3.60673	0.29717	0.316294	0.16458	0.221956	0.03862607	0.07016774
90	-3746.268	-3740.805	-5.46265	0.4682767	0.1899388	0.340744	0.283092	0.258832	0.386324	0.156206	0.115389	0.436924	0.249109	0.314135	0.0176502	0.16361	0.249898	0.297721	0.0655138	0.108608	0.107647	0.0801909	0.49499	0.217812	0.02837348	0.00815249	0.269475	0.0276842	0.00574302	0.672168	0.0167778	0.005869993	0.000368462	0.0281803	0.356893	3.61456	0.311068	0.30018	0.153031	0.235722	0.03424347	0.1714193
