Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
100	-3805.326	-3714.061	-91.26498	7.524517	0.1637027	0.0135464	0.0239674	0.0142867	0.0161133	0.0109347	0.000266398	0.0383574	0.00884218	0.0271533	0.0174287	0.00506349	0.00164175	0.0149998	0.00860337	0.00472312	0.0277002	0.00361257	0.00958795	0.00555181	0.00414531	0.0106486	0.0495205	0.0226876	0.0031702	0.0173448	0.00182902	0.00680235	0.0127871	0.0621082	0.0120354	0.00435755	0.0305815	0.00577217	0.0125326	0.00725254	0.0883968	0.000464259	0.0112879	0.00238502	0.00218441	0.0122757	0.00885829	0.01456667	-0.01627245	0.0104961	0.546994	0.00228053	0.00446099	0.423633	0.0121355	35.48856	0.1162352	4	41.10998	0.3621201	0.000114817	0.0157982	0.282663	3.70142	0.30352	0.308678	0.127523	0.260279	0.09996276	1.162785
110	-3807.909	-3710.168	-97.74109	7.524517	0.1732746	0.013574	0.0205065	0.0141946	0.012108	0.00980753	0.000588212	0.0518987	0.00571709	0.032746	0.0198168	0.00868156	0.00322751	0.0300972	0.0139893	0.00596918	0.0249616	0.00460275	0.0190059	0.00664308	0.00959708	0.0224445	0.0435066	0.0266509	0.00260067	0.0180861	0.0035548	0.00513594	0.0167448	0.0852204	0.0113191	0.00403621	0.0393345	0.00327937	0.00662	0.0119239	0.0827805	0.000887812	0.0175154	0.00260144	0.00340897	0.0170065	0.00759714	0.02059603	-0.01627245	0.010489	0.533612	0.00353403	0.00996902	0.435109	0.00728649	35.48856	0.1162352	4	41.10998	0.3621201	0.00018305	0.0199178	0.310432	3.66947	0.3055	0.3078	0.12716	0.259539	0.09996276	1.162785
120	-3811.59	-3716.358	-95.23203	7.524517	0.1846451	0.00895556	0.0296313	0.0134204	0.0103703	0.0135051	0.000613995	0.0706597	0.00216281	0.0403185	0.0135828	0.0122915	0.00486847	0.0330876	0.0205226	0.00771371	0.0173889	0.00287467	0.0272077	0.00356567	0.0055571	0.0195617	0.035703	0.010253	0.00178525	0.0143405	0.00383404	0.00413857	0.0118639	0.0653972	0.00896865	0.00600759	0.0424775	0.00293156	0.00499336	0.0120165	0.0640838	0.00103323	0.0203844	0.002412	0.00473968	0.0121488	0.0100157	0.01938874	-0.01627245	0.00529709	0.571133	0.00660838	0.0120619	0.392777	0.0121222	35.48856	0.1162352	4	41.10998	0.3621201	0.000299114	0.0254133	0.342412	3.63188	0.284092	0.321236	0.129632	0.265039	0.09996276	1.162785
130	-3806.884	-3715.526	-91.35848	7.524517	0.1502515	0.00739485	0.0245468	0.0162579	0.00917654	0.00884963	0.000505463	0.0423402	0.00360186	0.0330892	0.0108963	0.0143235	0.00463176	0.0402266	0.0164573	0.00664459	0.01353	0.00453697	0.0136547	0.00280938	0.00303273	0.0142761	0.0513446	0.0157042	0.00346562	0.0275558	0.00335264	0.00651833	0.0155066	0.0519459	0.00719457	0.0053553	0.0249779	0.0017804	0.00594075	0.0156776	0.0625674	0.00186451	0.0157334	0.00246096	0.00392487	0.0168976	0.0133058	0.0151595	-0.01627245	0.00551943	0.608915	0.00554468	0.0110411	0.362542	0.00643757	35.48856	0.1162352	4	41.10998	0.3621201	5.39039e-05	0.0108457	0.242585	3.74652	0.296305	0.313955	0.125598	0.264142	0.09996276	1.162785
140	-3816.386	-3714.325	-102.0607	7.524517	0.1686215	0.00821522	0.0200014	0.0180445	0.0172161	0.0107834	0.0004984	0.0581197	0.00513904	0.0547132	0.0145641	0.0115762	0.00545914	0.0557634	0.026226	0.0144993	0.00711125	0.00398052	0.00676515	0.00465456	0.00333691	0.0348349	0.0502685	0.00687268	0.00734877	0.0314136	0.00172567	0.00598903	0.0150645	0.124697	0.0085274	0.00601307	0.0180587	0.00397506	0.00524004	0.0273989	0.0760387	0.00164867	0.0118806	0.00250675	0.00456549	0.0257469	0.0131905	0.0192384	-0.01627245	0.0107348	0.560727	0.00738966	0.00542509	0.40847	0.00725307	35.48856	0.1162352	4	41.10998	0.3621201	0.000146885	0.0178552	0.297022	3.68498	0.294961	0.302843	0.14024	0.261955	0.09996276	1.162785
150	-3802.83	-3715.859	-86.97118	7.524517	0.1819056	0.0121175	0.0186473	0.0169794	0.0160457	0.00860379	0.000614	0.0206675	0.00482748	0.0316888	0.00927163	0.0118591	0.0035567	0.0361774	0.028522	0.0101933	0.0086293	0.00425476	0.00542765	0.00341703	0.00300861	0.0300368	0.0208331	0.0036594	0.00653797	0.0186603	0.00181254	0.00624701	0.0122632	0.0637657	0.00647036	0.0113321	0.0193149	0.00485768	0.003093	0.0137565	0.0460877	0.0012991	0.0129843	0.0022769	0.00406333	0.0235653	0.0119918	0.01449831	-0.01627245	0.00601117	0.598212	0.0077169	0.0148209	0.361867	0.0113721	35.48856	0.1162352	4	41.10998	0.3621201	0.000267239	0.0240322	0.334814	3.64089	0.294308	0.290883	0.124294	0.290515	0.09996276	1.162785
160	-3809.452	-3713.857	-95.59585	7.524517	0.1694509	0.0150171	0.0264669	0.0169952	0.016103	0.0133496	0.00144549	0.0324348	0.0193536	0.0518477	0.0159735	0.00339509	0.00165661	0.0439204	0.0211383	0.0104349	0.020765	0.00377053	0.00502237	0.00748415	0.00338011	0.0184361	0.0423189	0.00688617	0.00956778	0.0330059	0.0022504	0.0255248	0.0133579	0.0351934	0.00808119	0.0153596	0.0178821	0.00473614	0.00297968	0.0111001	0.0582002	0.00163518	0.0241105	0.00311964	0.00643439	0.0217177	0.0178364	0.01555744	-0.01627245	0.00870061	0.580668	0.00710574	0.00406527	0.394006	0.00545462	35.48856	0.1162352	4	41.10998	0.3621201	0.000152899	0.0182147	0.299425	3.68221	0.327863	0.301531	0.133271	0.237335	0.09996276	1.162785
170	-3813.928	-3709.674	-104.253	5.569302	0.1544784	0.0102788	0.0269499	0.0339648	0.0198394	0.0149426	0.00326988	0.0153157	0.0278455	0.0842362	0.0148249	0.00248884	0.00155579	0.0358588	0.0184454	0.0128581	0.0120433	0.00402585	0.0113303	0.0245378	0.00542538	0.0156141	0.0854227	0.00787234	0.0148427	0.0437868	0.00438421	0.0366954	0.0124672	0.0213879	0.00594906	0.0119785	0.0229277	0.00999354	0.00481691	0.00534867	0.0323396	0.00979562	0.00167611	0.0268349	0.0112085	0.0247684	0.0302658	0.02173024	0.00479794	0.00736152	0.592288	0.00664903	0.00375098	0.381709	0.00824133	37.23689	0.1104776	4	41.15771	0.3398334	6.93407e-05	0.0122938	0.255289	3.73235	0.30183	0.304512	0.119094	0.274565	0.1152755	0.9583785
180	-3805.031	-3709.797	-95.23482	5.569302	0.2024873	0.00672177	0.0346855	0.0166235	0.0169768	0.0127202	0.00578757	0.0196922	0.0191249	0.0305541	0.0072945	0.00138888	0.00121596	0.0207118	0.00928219	0.0179039	0.0104171	0.00330034	0.0105257	0.0193293	0.00354719	0.0100743	0.110819	0.00248619	0.00891806	0.0472656	0.0020429	0.0378894	0.00798785	0.0139217	0.0053386	0.0174683	0.0215375	0.00497255	0.00362726	0.00464137	0.0208547	0.00544189	0.000855807	0.0215804	0.00790374	0.0190796	0.0239451	0.01578517	0.00479794	0.0106584	0.490207	0.0104187	0.00646404	0.468183	0.0140682	37.23689	0.1104776	4	41.15771	0.3398334	0.000578217	0.0352227	0.390118	3.57408	0.303943	0.302379	0.123992	0.269685	0.1152755	0.9583785
190	-3809.461	-3709.951	-99.51029	5.569302	0.1710717	0.0109725	0.0482103	0.0339536	0.0178792	0.0164383	0.00485307	0.00640483	0.0269522	0.0494132	0.003921	0.00244283	0.000876041	0.0287252	0.0161439	0.0250266	0.00973785	0.00526558	0.00561641	0.0330851	0.00726365	0.00989438	0.123207	0.00133029	0.00858143	0.0370254	0.00557997	0.0179987	0.00883923	0.00879376	0.00927756	0.047509	0.0155671	0.00252201	0.00901872	0.00322972	0.020695	0.00555773	0.000807243	0.0200017	0.012177	0.0169372	0.055509	0.01615264	0.00230699	0.00765212	0.534906	0.00883485	0.00812578	0.435525	0.00495706	35.65397	0.1424653	4	41.19837	0.307063	0.000165183	0.0189274	0.304105	3.6768	0.30586	0.289656	0.124774	0.27971	0.1447723	0.9840647
