Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-4973.122	-4970.481	-2.640303	0.9274942	1	0.226537	0.435079	0.444464	0.253824	0.11949	0.173669	0.189643	0.218894	0.434162	0.0933942	0.127312	0.125044	0.396301	0.34446	0.278619	0.343805	0.131498	0.439157	0.1962901	0.04571443	0.421874	0.0352983	0.115235	0.083954	0.171327	0.172313	0.01026995	-1.628162	0.136954	0.476752	1	2.38629	0.215023	0.206126	0.271306	0.307545	0.05598438	0.1834431
10	-4107.804	-4117.347	9.542667	0.7294313	0.3373957	0.185811	0.282598	0.193755	0.105567	0.0930258	0.113629	0.0844782	0.0938699	0.102204	0.0325484	0.0541308	0.145886	0.276979	0.131285	0.121342	0.0956815	0.215933	0.164766	0.1203206	0.03166611	0.248828	0.0897078	0.0397559	0.046753	0.466762	0.108193	0.05346158	-2.117595	0.00881291	0.133728	0.653577	3.20388	0.208186	0.22365	0.22386	0.344304	0.08512769	0.6280164
20	-3811.617	-3820.485	8.868292	0.675739	0.3134701	0.184982	0.222389	0.260032	0.108686	0.174758	0.148111	0.0981489	0.0663608	0.0845533	0.031044	0.0614332	0.100101	0.0944116	0.182206	0.148335	0.188242	0.0841303	0.321057	0.1118229	0.002286971	0.062675	0.150058	0.00211825	0.0096333	0.73924	0.0362751	0.03872951	-2.190839	0.00645142	0.115006	0.617746	3.2608	0.317086	0.22204	0.219936	0.240937	0.04101648	0.9442426
30	-3727.679	-3733.78	6.100819	0.5588944	0.2129075	0.250054	0.155165	0.326607	0.0995205	0.164202	0.179472	0.111157	0.0917066	0.168642	0.078271	0.0922605	0.185797	0.433168	0.176299	0.0500843	0.140976	0.171986	0.20753	0.1389498	0.08584156	0.0377041	0.507774	0.000770513	0.0110765	0.428548	0.0141267	0.02351989	-1.973642	0.000807271	0.0415379	0.416498	3.54116	0.317662	0.28589	0.160924	0.235524	0.1093614	0.2150656
40	-3721.101	-3727.057	5.956155	0.6380281	0.1932937	0.157204	0.140562	0.3303	0.111683	0.264381	0.138391	0.0518088	0.0710116	0.0995368	0.0338775	0.0509683	0.173304	0.180135	0.0883557	0.176405	0.246667	0.0445104	0.157185	0.1018477	0.1998277	0.0200054	0.449503	0.00104443	0.0114329	0.495418	0.0225963	0.01558228	-2.284277	0.000418032	0.0299984	0.365929	3.60365	0.301469	0.292208	0.152721	0.253602	0.21541	0.0723378
50	-3713.538	-3714.669	1.13073	0.5904717	0.1751954	0.175142	0.107845	0.352072	0.161154	0.395166	0.169891	0.0812666	0.0378786	0.041094	0.0523852	0.093814	0.092425	0.372246	0.111287	0.0787663	0.311181	0.173958	0.315137	0.1410053	0.08711915	0.00986661	0.607807	0.000260731	0.00863965	0.346573	0.0268532	0.01502806	-1.958958	0.000199776	0.0208015	0.315914	3.66308	0.310018	0.309718	0.115666	0.264598	0.1021472	0.1471216
60	-3712.198	-3715.648	3.449905	0.5659151	0.2015602	0.275929	0.23062	0.322249	0.143514	0.34286	0.196428	0.0997612	0.1167	0.191446	0.066028	0.0715464	0.109507	0.147231	0.117026	0.192126	0.0765293	0.0869685	0.633035	0.1439348	0.0416611	0.0158763	0.512423	0.000375913	0.0122691	0.434628	0.0244278	0.01306368	-1.938395	0.000560361	0.0346804	0.387718	3.57704	0.295595	0.295751	0.124302	0.284353	0.05472477	0.238716
70	-3706.215	-3714.735	8.520296	0.5473204	0.2122693	0.244309	0.162213	0.346335	0.162262	0.253758	0.172269	0.122297	0.0654052	0.106391	0.0754455	0.0605488	0.061549	0.169069	0.1199	0.134889	0.0749823	0.131436	0.265741	0.1150401	0.06705116	0.0235327	0.584539	0.00101943	0.00451151	0.35833	0.0280677	0.006313367	-2.162475	0.000791687	0.0411399	0.414915	3.54315	0.294783	0.297461	0.124185	0.283572	0.07336452	0.08605477
80	-3720.126	-3723.701	3.575239	0.6032998	0.1858188	0.149769	0.0554379	0.3272	0.146697	0.158351	0.126038	0.0658963	0.127507	0.187866	0.101006	0.0543088	0.258833	0.133378	0.214973	0.0749026	0.376515	0.0788352	0.54156	0.1169226	0.01182192	0.00881112	0.580098	0.001463	0.00653755	0.379121	0.02397	0.003766432	-2.146243	0.00031359	0.0260158	0.345646	3.62802	0.296671	0.28745	0.134074	0.281805	0.01558835	0.2416183
90	-3714.396	-3720.482	6.08635	0.6551892	0.1693956	0.291469	0.168085	0.441346	0.121917	0.129724	0.111034	0.103091	0.198401	0.191109	0.0748956	0.0439509	0.222915	0.210964	0.102366	0.0924329	0.113247	0.128663	0.315517	0.1698252	0.006339034	0.0112238	0.465118	0.003134	0.0193036	0.47115	0.0300706	0.001936894	-1.772986	0.000152492	0.0181906	0.299265	3.68239	0.316678	0.285082	0.143115	0.255125	0.008275928	0.2340394
