Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
1192	0	-3708.859	-3706.604	-2.254486	0.3222312	0.1683554	0.357718	0.225759	0.401349	0.262937	0.555678	0.240172	0.238348	0.13848	0.251498	0.128069	0.131801	0.201986	0.316646	0.479189	0.158181	0.266026	0.262384	0.297626	0.2352301	0.001226936	0.0136205	0.595133	0.00515845	0.00248503	0.380915	0.0026882	0.1106907	-1.447191	0.000144995	0.0177407	0.29625	3.68586	0.305532	0.300135	0.134545	0.259788	0.1119176	0.9890371
1193	1	-3713.908	-3712.178	-1.730051	0.3911938	0.1897416	0.128167	0.170683	0.468006	0.0721081	0.120178	0.208396	0.275545	0.681041	0.225149	0.198581	0.0902062	0.136309	0.145515	0.208698	0.271685	0.431884	0.24703	0.119328	0.1838317	0.0520502	0.00772075	0.541629	0.00886568	0.00255401	0.423252	0.0159792	0.09940677	-1.693735	0.000365688	0.0280749	0.356358	3.6152	0.294133	0.298896	0.136953	0.270017	0.151457	0.6563367
1194	0	-3713.326	-3708.815	-4.511201	0.3230374	0.198475	0.262619	0.265943	0.425443	0.238263	0.444962	0.295927	0.219829	0.156359	0.368954	0.072591	0.10748	0.268411	0.22954	0.175812	0.304692	0.155136	0.279438	0.252523	0.3365169	0.01300854	0.0165777	0.564202	0.00552777	0.00252288	0.407704	0.00346563	0.01029905	-1.089107	0.000503752	0.0329004	0.379666	3.58693	0.31545	0.289441	0.144813	0.250295	0.02330759	0.4418755
1195	1	-3711.672	-3710.095	-1.577418	0.4952061	0.1961724	0.275073	0.394036	0.485855	0.0600832	0.0593773	0.0775155	0.170944	0.338622	0.133061	0.150442	0.100616	0.311735	0.0955409	0.10012	0.422852	0.152176	0.361529	0.189918	0.1892439	0.0767952	0.0116633	0.552004	0.0159107	0.004168	0.402129	0.0141249	0.009886616	-1.664719	0.000464244	0.0315969	0.373595	3.59434	0.292947	0.309868	0.131773	0.265413	0.08668182	0.1140564
1196	0	-3716.035	-3712.498	-3.536438	0.3318533	0.1849459	0.174206	0.145264	0.569149	0.390179	0.572697	0.218264	0.283382	0.119547	0.302789	0.0628561	0.158331	0.0819289	0.147494	0.122521	0.10298	0.144597	0.388982	0.282644	0.2338379	-0.07329776	0.0116406	0.521165	0.00855904	0.00965385	0.444668	0.00431338	0.1066646	-1.453127	0.000302776	0.0255671	0.343242	3.63089	0.28549	0.316341	0.133479	0.26469	0.0333668	3.196727
1197	1	-3713.619	-3706.867	-6.752364	0.5947823	0.1936245	0.120598	0.210589	0.455065	0.0656771	0.139689	0.392876	0.204719	0.424716	0.114139	0.23489	0.15846	0.479582	0.0558169	0.04459	0.0630513	0.281289	0.208457	0.425014	0.2165367	-0.1024689	0.00849202	0.599341	0.00664543	0.0036434	0.365023	0.0168549	0.1354539	-1.529995	0.000423166	0.0301803	0.366814	3.60258	0.285485	0.295749	0.139599	0.279168	0.03298503	4.106527
1198	0	-3714.884	-3711.936	-2.947726	0.4397602	0.1858629	0.163602	0.190417	0.376345	0.247363	0.391677	0.18162	0.220182	0.337353	0.608827	0.115296	0.0684942	0.193183	0.223119	0.202966	0.537051	0.057536	0.165366	0.269919	0.2217446	0.03340327	0.0133763	0.445178	0.00639476	0.0110219	0.520247	0.0037821	0.01926983	-1.506229	0.000314144	0.0260386	0.345767	3.62788	0.313381	0.278412	0.138036	0.270172	0.05267311	0.3658382
1199	1	-3711.258	-3711.152	-0.1063419	0.4838301	0.2198776	0.115673	0.142124	0.338325	0.0738078	0.132148	0.451103	0.193497	0.310093	0.137464	0.14757	0.224091	0.0886055	0.0879679	0.0964158	0.141876	0.453461	0.206453	0.342415	0.1549716	-0.03126507	0.00812772	0.500508	0.00980546	0.00369896	0.463524	0.0143361	0.1780528	-1.864513	0.000991461	0.045972	0.433524	3.51951	0.293969	0.304974	0.14931	0.251747	0.1467878	1.212995
1200	0	-3718.118	-3714.273	-3.844861	0.3267428	0.1726478	0.138385	0.192121	0.446155	0.415852	0.446878	0.448353	0.249691	0.0954738	0.20484	0.0868106	0.0888461	0.302294	0.122581	0.248835	0.0943614	0.21002	0.324441	0.374212	0.1814326	0.1217542	0.0133022	0.44271	0.00686474	0.00499668	0.529943	0.00218383	0.04285507	-1.706871	0.000177825	0.0196335	0.308635	3.67155	0.292404	0.308277	0.131679	0.26764	0.1646093	0.2603442
1201	1	-3711.744	-3708.781	-2.962925	0.4120562	0.1622938	0.277531	0.269163	0.59412	0.0726293	0.039164	0.119919	0.232337	0.352195	0.13719	0.147601	0.238281	0.2558	0.113513	0.259081	0.199725	0.206087	0.122909	0.2949	0.1645853	-0.01522832	0.00672772	0.60357	0.00811647	0.00328144	0.372946	0.0053581	0.1789215	-1.804326	0.000106701	0.0152328	0.278518	3.70614	0.301752	0.308196	0.137919	0.252132	0.1636932	1.09303
1202	0	-3717.272	-3708.86	-8.411689	0.3387959	0.1968784	0.481739	0.497855	0.555436	0.281226	0.553639	0.31701	0.227855	0.190789	0.350794	0.130647	0.0858413	0.118998	0.433024	0.302608	0.167552	0.516202	0.268033	0.325756	0.2333273	-0.05771403	0.0088981	0.423659	0.0111603	0.00850686	0.545614	0.00216163	0.1279459	-1.455313	0.000476112	0.0319942	0.375462	3.59207	0.314172	0.289559	0.129815	0.266455	0.07023189	1.821764
1203	1	-3719.37	-3715.399	-3.971549	0.4353402	0.2084233	0.173802	0.221139	0.658458	0.0978003	0.16512	0.203302	0.155339	0.59405	0.190833	0.340957	0.135956	0.389296	0.123797	0.213788	0.192139	0.221004	0.0723565	0.2867	0.1608644	-0.2385471	0.00815902	0.506168	0.00108358	0.00224678	0.466226	0.016116	0.2408555	-1.827194	0.000702155	0.0387719	0.405282	3.55524	0.278987	0.313933	0.132868	0.274212	0.002308333	104.3417
1204	0	-3714.858	-3709.3	-5.558243	0.4226564	0.1626253	0.135962	0.175951	0.443353	0.164359	0.417115	0.310299	0.2072	0.102071	0.330888	0.0879251	0.100285	0.146434	0.252582	0.17803	0.236705	0.261425	0.326241	0.57053	0.1867033	-0.4892494	0.00836378	0.522579	0.00746528	0.00862925	0.450159	0.00280288	0.5245714	-1.678235	0.00010857	0.0153649	0.279494	3.70503	0.295717	0.287678	0.137627	0.278978	0.03532198	14.85113
1205	1	-3718.945	-3712.575	-6.36968	0.3831809	0.1764284	0.141777	0.204472	0.60052	0.188452	0.25518	0.330716	0.248608	0.577968	0.213726	0.432797	0.11965	0.161795	0.130818	0.478257	0.158775	0.0853528	0.493493	0.216101	0.1869476	0.08445121	0.0113211	0.491168	0.00591026	0.00360411	0.473649	0.0143479	0.07285164	-1.676927	0.000211098	0.0213785	0.319417	3.65899	0.283828	0.30503	0.128161	0.282981	0.1573029	0.4631298
1206	0	-3708.195	-3709.62	1.425112	0.4167091	0.2227221	0.270688	0.220271	0.455166	0.205116	0.321295	0.194933	0.181822	0.130331	0.160124	0.107108	0.0724903	0.0943676	0.150097	0.23894	0.125906	0.130988	0.259117	0.480419	0.1873289	-0.07651713	0.0148867	0.525667	0.00710084	0.0121938	0.433784	0.006368	0.1554325	-1.674889	0.00107422	0.0478257	0.44033	3.51077	0.293613	0.287627	0.139832	0.278928	0.0789154	1.96961
1207	1	-3716.478	-3710.141	-6.336544	0.3609656	0.1633593	0.308655	0.454139	0.612776	0.0703119	0.151098	0.132555	0.180254	0.71502	0.133397	0.516013	0.113174	0.260639	0.156617	0.512263	0.163714	0.137739	0.309512	0.374482	0.2318589	-0.0002218058	0.0074423	0.497229	0.00736661	0.00112078	0.479494	0.00734691	0.0148721	-1.461626	0.000112797	0.0156594	0.281654	3.70257	0.293271	0.315988	0.121069	0.269672	0.0146503	1.01514
1208	0	-3710.678	-3705.779	-4.898491	0.4150779	0.2031418	0.234483	0.194161	0.769645	0.166808	0.366112	0.450645	0.151918	0.148447	0.372067	0.119171	0.0582503	0.239114	0.179365	0.610152	0.18792	0.182669	0.350326	0.123722	0.1967237	-0.01968384	0.013629	0.55734	0.00648168	0.00230062	0.41814	0.00210901	0.06887583	-1.625955	0.000591061	0.0356074	0.391808	3.57199	0.284307	0.313323	0.130596	0.271774	0.04919198	1.400143
1209	1	-3714.086	-3706.676	-7.409798	0.4455081	0.1896132	0.0669875	0.160223	0.400477	0.0591067	0.0743565	0.0502612	0.202266	0.398536	0.123568	0.226685	0.143302	0.330487	0.150643	0.267284	0.0925845	0.35496	0.52117	0.353817	0.2487825	-0.04590583	0.0169249	0.497989	0.00323536	0.00233786	0.476087	0.00342594	0.09196905	-1.391176	0.00036389	0.0280064	0.35601	3.61562	0.290529	0.299166	0.138423	0.271881	0.04606322	1.996583
1210	0	-3710.991	-3714.715	3.723479	0.4177092	0.1759104	0.212929	0.237768	0.415705	0.188103	0.217092	0.219062	0.141807	0.155784	0.300018	0.106656	0.131185	0.0996743	0.355635	0.194751	0.0928183	0.345411	0.171957	0.127577	0.1826404	0.04317065	0.0123899	0.513489	0.00756985	0.000778318	0.46311	0.00266322	0.04762242	-1.700236	0.000206285	0.0211352	0.317947	3.66071	0.292804	0.322608	0.12638	0.258209	0.09079307	0.524516
1211	1	-3706.87	-3708.612	1.742062	0.6177962	0.2464539	0.227726	0.252376	0.439054	0.0378412	0.126391	0.1418	0.17041	0.257727	0.11244	0.199763	0.102251	0.0667101	0.0614931	0.0860269	0.118727	0.235413	0.231117	0.157565	0.1000553	0.04144837	0.0124543	0.570285	0.00789036	0.00421422	0.40031	0.00484579	0.05339818	-2.302032	0.00195059	0.0641412	0.493948	3.43996	0.308237	0.288718	0.127742	0.275302	0.09484655	0.5629955
1212	0	-3710.737	-3711.622	0.8850985	0.4002005	0.2098654	0.206301	0.134215	0.296865	0.195443	0.262146	0.226629	0.157104	0.122362	0.325712	0.123868	0.116593	0.0911837	0.393338	0.711583	0.150062	0.147079	0.187554	0.282733	0.1930433	-0.01251943	0.0170015	0.507245	0.00747781	0.00227848	0.457479	0.00851808	0.07613862	-1.644841	0.000734852	0.0396537	0.408912	3.5507	0.302996	0.285084	0.137187	0.274733	0.06361919	1.196787
1213	1	-3711.459	-3713.69	2.230607	0.5532528	0.1908923	0.16127	0.272485	0.45751	0.0303628	0.0689778	0.2094	0.174206	0.244277	0.107673	0.16565	0.23303	0.13443	0.108949	0.153658	0.220365	0.228898	0.129055	0.155094	0.1238828	0.07821414	0.0156357	0.546106	0.0135374	0.00230111	0.417368	0.00505227	0.03816211	-2.088419	0.000382093	0.028692	0.359472	3.61145	0.275733	0.305009	0.130729	0.288529	0.1163762	0.3279201
1214	0	-3712.16	-3711.482	-0.678466	0.4254244	0.1940318	0.170306	0.14473	0.551754	0.216955	0.371949	0.263063	0.13238	0.254921	0.173954	0.119256	0.0677827	0.20921	0.352782	0.1632	0.284814	0.109538	0.18023	0.275501	0.2279223	-0.2213082	0.0120399	0.547761	0.00529151	0.0162238	0.41134	0.00734408	0.2375143	-1.478751	0.000429551	0.0304049	0.367903	3.60126	0.303804	0.315171	0.114245	0.266779	0.01620606	14.65589
1215	1	-3713.688	-3707.061	-6.62771	0.5485621	0.1646824	0.0893066	0.294332	0.596199	0.0621671	0.182102	0.374929	0.200649	0.303439	0.164966	0.230849	0.472984	0.147751	0.0677975	0.099161	0.105399	0.564665	0.320648	0.249436	0.2367455	0.1759327	0.0169659	0.51386	0.00457013	0.00600309	0.452876	0.0057246	0.01683689	-1.44077	0.000120732	0.0161976	0.285537	3.69814	0.30577	0.308691	0.134852	0.250688	0.1927696	0.08734206
1216	0	-3712.62	-3707.5	-5.120248	0.3725357	0.1965942	0.424285	0.228336	0.572089	0.379969	0.639415	0.395056	0.237684	0.20402	0.289565	0.0703151	0.0688689	0.0966368	0.195063	0.330098	0.112219	0.216021	0.274662	0.197835	0.2409462	0.01069323	0.00467614	0.528051	0.0167156	0.0128053	0.436738	0.00101425	0.01713401	-1.423182	0.000471309	0.031834	0.374711	3.59298	0.297511	0.297751	0.131406	0.273332	0.02782724	0.615728
1217	1	-3718.043	-3716.748	-1.295778	0.4401834	0.1995499	0.161613	0.361027	0.497904	0.0548448	0.197745	0.151497	0.216567	0.304974	0.154755	0.246402	0.128655	0.166663	0.093209	0.0799589	0.102151	0.231983	0.643808	0.377388	0.1720578	0.002562259	0.0145834	0.514923	0.0065547	0.00204122	0.453814	0.00808374	0.02225206	-1.759925	0.000522989	0.0335162	0.382482	3.58348	0.273555	0.31596	0.156389	0.254096	0.02481432	0.8967427
1218	0	-3713.332	-3711.631	-1.700968	0.3578305	0.2118344	0.19144	0.177102	0.439347	0.237474	0.619827	0.365307	0.241637	0.0756524	0.0890752	0.0780928	0.119679	0.145057	0.166961	0.243184	0.366542	0.122774	0.14343	0.167981	0.1744554	0.1466091	0.0100288	0.623176	0.00578689	0.0133614	0.345582	0.00206476	0.09239763	-1.746086	0.000781185	0.0408695	0.413833	3.54452	0.283714	0.304889	0.127109	0.284287	0.2390067	0.3865901
1219	1	-3716.947	-3711.826	-5.120744	0.4159375	0.2269508	0.154988	0.242579	0.24088	0.0687437	0.0427241	0.104907	0.188707	0.378698	0.132263	0.211605	0.250414	0.241076	0.18581	0.217546	0.0861942	0.197783	0.402655	0.714476	0.2098572	0.01537135	0.00838108	0.533142	0.0166758	0.00413295	0.42895	0.00871835	0.1886519	-1.561328	0.00120568	0.0506259	0.450296	3.49787	0.293576	0.289198	0.129897	0.287329	0.2040233	0.9246588
1220	0	-3709.554	-3708.813	-0.7409125	0.4105486	0.197898	0.208185	0.117891	0.476637	0.311284	0.529263	0.214834	0.174735	0.152459	0.221267	0.0661052	0.0843833	0.223876	0.166918	0.146959	0.173092	0.251229	0.205054	0.411111	0.2190267	0.04999818	0.00668791	0.520656	0.0121342	0.00675911	0.449432	0.00433058	0.06485339	-1.518562	0.000493635	0.0325717	0.37815	3.58878	0.294848	0.29856	0.118414	0.288178	0.1148516	0.5646713
1221	1	-3720.669	-3717.99	-2.678966	0.3966004	0.2513697	0.280463	0.499475	0.23003	0.125331	0.19378	0.193695	0.192849	0.309956	0.18422	0.191991	0.152668	0.12509	0.144969	0.26509	0.29065	0.341429	0.294107	0.479256	0.2572067	0.3086412	0.0220332	0.526226	0.0107346	0.00612318	0.423385	0.0114977	0.05666	-1.357875	0.00217621	0.0676809	0.504365	3.42578	0.290314	0.288573	0.145374	0.275739	0.3653012	0.1551049
1222	0	-3709.958	-3714.488	4.529273	0.4359345	0.156358	0.293964	0.149796	0.409726	0.156588	0.266692	0.188757	0.200027	0.18259	0.266868	0.121045	0.0778069	0.224586	0.0914374	0.228927	0.14846	0.124669	0.301251	0.198776	0.1971995	-0.05510685	0.010994	0.482713	0.00661989	0.0089432	0.483378	0.00735185	0.0703921	-1.62354	7.72181e-05	0.0129698	0.260909	3.72604	0.303744	0.314058	0.135886	0.246312	0.01528525	4.60523
1223	1	-3716.6	-3710.067	-6.532861	0.3636087	0.203506	0.099429	0.260069	0.241001	0.0642088	0.126669	0.180352	0.223423	0.342129	0.172515	0.21245	0.212921	0.200996	0.128897	1.06043	0.317587	0.263513	0.641802	0.377314	0.2411423	0.2075568	0.0136311	0.474548	0.0110857	0.00700855	0.492894	0.00083268	0.0001017738	-1.422368	0.000598295	0.0358223	0.392746	3.57083	0.299088	0.319009	0.134473	0.24743	0.2076586	0.0004901016
1224	0	-3709.884	-3712.108	2.223589	0.5237039	0.2167603	0.199443	0.173095	0.36849	0.177215	0.268743	0.16343	0.122438	0.0736278	0.170157	0.0587896	0.049689	0.111303	0.0614663	0.152182	0.0794378	0.27226	0.264995	0.252654	0.1096661	0.03520429	0.0105542	0.539985	0.0094684	0.0091284	0.42161	0.00925412	0.1039481	-2.210315	0.000905875	0.0439694	0.425971	3.52915	0.316385	0.28589	0.134817	0.262908	0.1391524	0.7470091
1225	1	-3720.578	-3709.971	-10.6068	0.3969116	0.1731525	0.425867	0.472057	0.408631	0.147976	0.15152	0.170728	0.179068	0.353847	0.156731	0.24374	0.397423	0.424836	0.0924928	0.291673	0.199456	0.501015	0.208773	1.06838	0.2525831	0.293686	0.0109103	0.508128	0.00468452	0.0127138	0.45973	0.00383332	0.08181787	-1.376015	0.000182023	0.0198623	0.310082	3.66987	0.317263	0.318415	0.121125	0.243196	0.3755038	0.2178882
1226	0	-3708.387	-3709.729	1.34128	0.4582157	0.2101058	0.120921	0.13224	0.53243	0.166955	0.266893	0.234739	0.147264	0.101452	0.184507	0.0845869	0.0711902	0.210603	0.150829	0.171011	0.0796723	0.17502	0.288935	0.25552	0.1707399	0.1679235	0.0137421	0.566742	0.0105615	0.00221379	0.40223	0.00451145	0.1561421	-1.767614	0.000740405	0.0398014	0.409515	3.54994	0.293266	0.303437	0.129333	0.273964	0.3240656	0.4818225
1227	1	-3711.123	-3707.395	-3.727704	0.4019566	0.1641966	0.330868	0.358361	0.786304	0.145466	0.104016	0.123036	0.24753	0.4525	0.188815	0.362621	0.271817	0.195705	0.105186	0.219275	0.425122	0.17713	0.0869204	0.326504	0.1976575	0.03797467	0.0112621	0.524512	0.00281721	0.0131238	0.443864	0.00442078	0.009429873	-1.62122	0.000117771	0.0159989	0.284113	3.69977	0.284295	0.313004	0.138978	0.263723	0.04740454	0.1989234
1228	0	-3710.653	-3707.613	-3.040154	0.5242665	0.1794857	0.133655	0.165692	0.543857	0.165329	0.223209	0.169185	0.124108	0.116589	0.209338	0.0994908	0.0622266	0.140891	0.267392	0.17213	0.130185	0.637808	0.26449	0.0737141	0.1486257	0.5611546	0.0202073	0.472857	0.00648346	0.00231457	0.489065	0.00907293	0.01068772	-1.906324	0.000241226	0.0228418	0.328045	3.64887	0.311288	0.300262	0.123587	0.264863	0.5718423	0.01868997
1229	1	-3718.326	-3709.702	-8.624396	0.3614886	0.1821246	0.257069	0.338767	0.575607	0.0812448	0.126526	0.089502	0.185802	0.297808	0.149425	0.260489	0.303089	0.535481	0.137045	0.585919	0.348231	0.126927	0.542533	0.304854	0.1982059	0.08334798	0.0070199	0.565181	0.00899693	0.0147249	0.401983	0.00209422	0.1002145	-1.618449	0.00026969	0.0241412	0.335424	3.64016	0.289141	0.287529	0.136854	0.286476	0.1835625	0.5459423
1230	0	-3718.686	-3715.141	-3.545623	0.4400701	0.221666	0.165929	0.180534	0.423633	0.260817	0.287317	0.271409	0.158721	0.254541	0.202485	0.107191	0.0885536	0.297957	0.072247	0.0921496	0.476914	0.0413579	0.267445	0.266674	0.1803086	0.1237309	0.0202097	0.467217	0.00795648	0.00172276	0.483232	0.0196623	0.1282213	-1.713086	0.00104297	0.0471346	0.437813	3.51401	0.297752	0.314961	0.135882	0.251406	0.2519521	0.5089112
1231	1	-3712.834	-3711.678	-1.156541	0.4143181	0.1894272	0.430709	0.283059	0.350705	0.102431	0.193958	0.163364	0.19112	0.368368	0.138845	0.237265	0.37887	0.17392	0.117015	0.19421	0.117546	0.379059	0.226138	0.582789	0.1947752	-0.01281079	0.0125115	0.550899	0.00775331	0.0157077	0.411474	0.00165473	0.03781393	-1.635909	0.000361296	0.0279073	0.355505	3.61623	0.30526	0.318039	0.127417	0.249284	0.02500314	1.512367
1232	0	-3715.243	-3713.491	-1.751871	0.5221455	0.1564152	0.142466	0.165642	0.493292	0.276099	0.329893	0.280257	0.133425	0.233473	0.217278	0.100357	0.0462704	0.241232	0.367931	0.0650179	0.391717	0.165975	0.217534	0.233367	0.1752021	0.1269205	0.0136404	0.471738	0.00803347	0.000749709	0.487908	0.0179302	0.006149255	-1.741815	7.74683e-05	0.0129907	0.26108	3.72585	0.305501	0.312277	0.129867	0.252355	0.1330698	0.04621076
1233	1	-3712.007	-3711.918	-0.08861433	0.3949113	0.1755413	0.169698	0.419438	0.627945	0.141407	0.261125	0.190398	0.243315	0.517869	0.157836	0.324146	0.149251	0.214707	0.0821017	0.159857	0.207934	0.160063	0.317369	0.143023	0.2004182	-0.03198337	0.0104575	0.595229	0.0025459	0.00225293	0.388045	0.00146994	0.04024884	-1.607349	0.000202906	0.0209626	0.316898	3.66194	0.311243	0.294908	0.136123	0.257726	0.008265474	4.869514
1234	0	-3708.004	-3711.66	3.656084	0.5488739	0.2097974	0.365616	0.126531	0.407808	0.200474	0.320579	0.30438	0.13609	0.121047	0.0848984	0.0793429	0.0769209	0.1958	0.15433	0.165179	0.101638	0.167895	0.191205	0.18549	0.1875706	-0.09524747	0.01992	0.501323	0.00761812	0.000523215	0.462682	0.00793351	0.1353843	-1.6736	0.000733287	0.0396119	0.408741	3.55091	0.273066	0.310879	0.141362	0.274693	0.04013682	3.373069
1235	1	-3725.472	-3715.597	-9.875267	0.4162411	0.1886342	0.194055	0.124513	0.631157	0.0656578	0.0581913	0.221498	0.218886	0.504903	0.190058	0.486096	0.216421	0.137986	0.0478074	0.424597	0.447936	0.113056	0.282945	0.310428	0.1679878	-0.2859205	0.0185511	0.412011	0.00251233	0.00412832	0.557713	0.0050842	0.3047244	-1.783864	0.000350389	0.0274866	0.353349	3.61881	0.31422	0.288707	0.13549	0.261583	0.01880383	16.20544
1236	0	-3704.252	-3710.671	6.419837	0.521352	0.1843982	0.217713	0.0805944	0.392527	0.141699	0.204972	0.206683	0.117223	0.0634701	0.126526	0.0859918	0.0918833	0.147737	0.0773476	0.332874	0.0738275	0.0839619	0.246749	0.198541	0.1566043	0.07672735	0.0196637	0.545427	0.00691263	0.000963696	0.419835	0.0071988	0.03010184	-1.854033	0.000296132	0.0252874	0.34173	3.63269	0.297497	0.312159	0.137925	0.252419	0.1068292	0.2817755
1237	1	-3706.206	-3707.777	1.571067	0.5218098	0.1779891	0.134487	0.161814	0.545278	0.0640449	0.105691	0.180373	0.13663	0.342346	0.125661	0.209104	0.173005	0.13228	0.0734304	0.237764	0.325441	0.156187	0.114331	0.249386	0.1604491	-0.1360324	0.0127284	0.554155	0.00499026	0.002975	0.419788	0.00536398	0.2529288	-1.829779	0.000226105	0.0221198	0.323832	3.65382	0.312018	0.282725	0.138762	0.266494	0.1168964	2.1637
1238	0	-3705.187	-3707.929	2.742	0.7373125	0.1604352	0.235234	0.107208	0.584214	0.128542	0.200794	0.133317	0.0915895	0.0247146	0.0531339	0.0745411	0.0485834	0.124508	0.210764	0.0661476	0.0920048	0.0653027	0.367796	0.265516	0.1228767	-0.01141456	0.0118041	0.505806	0.00267582	0.00302449	0.46341	0.0132795	0.03921352	-2.096574	9.66748e-05	0.0145035	0.273028	3.71237	0.290896	0.301657	0.130324	0.277122	0.02779895	1.410611
1239	1	-3707.397	-3709.908	2.5104	0.5580282	0.1954139	0.113738	0.162018	0.444118	0.0888664	0.12335	0.135661	0.173633	0.203353	0.165007	0.145398	0.223704	0.0664352	0.0812265	0.097169	0.13532	0.334153	0.129858	0.30907	0.1265144	0.3979798	0.0146558	0.518299	0.00519833	0.000350396	0.451486	0.01001	0.02177251	-2.067399	0.000451729	0.0311723	0.371583	3.59679	0.298766	0.309294	0.12672	0.26522	0.4197523	0.0518699
1240	0	-3712.834	-3711.962	-0.8721026	0.719392	0.1803501	0.339188	0.173259	0.418655	0.0950246	0.202422	0.203876	0.0905202	0.0519804	0.223211	0.0414885	0.078753	0.107866	0.122365	0.160585	0.425122	0.127612	0.288575	0.454571	0.137146	0.08306415	0.0107337	0.547706	0.0032489	0.00230649	0.421388	0.0146166	0.007173488	-1.986709	0.000250292	0.0232637	0.330469	3.64602	0.291689	0.306308	0.119949	0.282054	0.09023763	0.07949552
1241	1	-3712.071	-3716.24	4.16991	0.6066502	0.2417659	0.323488	0.283562	0.389212	0.0468643	0.0966841	0.201526	0.141692	0.193732	0.0876121	0.168987	0.311732	0.0504308	0.0742705	0.149126	0.0720235	0.217047	0.0768465	0.11336	0.1510706	-0.06822228	0.0223847	0.548599	0.00743865	0.000338452	0.417536	0.00370358	0.08659267	-1.890008	0.00174996	0.0608113	0.483796	3.45364	0.317221	0.278035	0.144707	0.260037	0.0183704	4.713707
1242	0	-3716.76	-3713.17	-3.589511	0.7088942	0.22115	0.306459	0.245833	0.914738	0.131395	0.293914	0.242024	0.0988469	0.17072	0.0940329	0.0384353	0.0428027	0.0842983	0.213468	0.165081	0.111957	0.182022	0.226456	0.363031	0.1707768	-0.05880583	0.0166294	0.461539	0.00586151	0.00459002	0.500875	0.0105055	0.1054931	-1.767398	0.00102792	0.0467981	0.436579	3.5156	0.293561	0.295272	0.131788	0.279379	0.04668729	2.259568
1243	1	-3707.474	-3709.004	1.529563	0.595744	0.1519688	0.123347	0.183598	0.688202	0.0523057	0.0865757	0.119054	0.123253	0.303267	0.0988417	0.158652	0.125502	0.114752	0.0989875	0.215004	0.0641781	0.217798	0.406827	0.344783	0.1322264	0.02393584	0.00911959	0.57906	0.00551714	0.000167161	0.402899	0.00323698	0.02137143	-2.02324	5.98122e-05	0.0114219	0.247757	3.74076	0.288238	0.306844	0.127372	0.277547	0.04530727	0.4716998
1244	0	-3707.709	-3711.642	3.932382	0.7257401	0.1706595	0.311839	0.160714	0.525697	0.112542	0.292139	0.202439	0.105674	0.0709105	0.112171	0.0519674	0.0356418	0.109099	0.151917	0.122837	0.0955741	0.0641299	0.261593	0.131564	0.1249301	-0.05488261	0.0191608	0.554453	0.00495822	0.00245062	0.40664	0.012338	0.1185359	-2.080001	0.00016199	0.0187448	0.302917	3.67818	0.294196	0.313008	0.127497	0.265298	0.06365325	1.862212
1245	1	-3716.566	-3716.405	-0.1611522	0.556104	0.2108013	0.168606	0.170902	0.415305	0.048884	0.103149	0.139446	0.131559	0.266599	0.112968	0.186142	0.236347	0.448276	0.0970968	0.0512503	0.208105	0.160593	0.215393	0.417429	0.1851816	-0.01490802	0.00598273	0.504855	0.0120645	0.00179146	0.463939	0.0113673	0.111048	-1.686418	0.000756631	0.0402299	0.411256	3.54776	0.291409	0.297206	0.152336	0.259049	0.09613994	1.155066
1246	0	-3714.437	-3715.238	0.8002608	0.6154106	0.2142625	0.167878	0.110641	0.312568	0.12786	0.183395	0.174102	0.0857099	0.200511	0.567013	0.0411409	0.068215	0.240802	0.158799	0.374732	0.211759	0.0391017	0.189348	0.261576	0.1611767	0.009222951	0.0217204	0.490739	0.00697601	0.000482518	0.46096	0.0191221	0.0006200886	-1.825254	0.000841061	0.0423874	0.419847	3.53692	0.297371	0.312382	0.135041	0.255207	0.009843039	0.06299768
1247	1	-3708.241	-3713.128	4.886603	0.5216641	0.1752607	0.109027	0.250418	0.547741	0.083035	0.157379	0.187355	0.119421	0.18809	0.0987881	0.15929	0.246911	0.18853	0.118507	0.0956536	0.0559448	0.202905	0.171004	0.216172	0.1879106	0.03860711	0.00994217	0.545637	0.0152804	0.00291914	0.42308	0.00314104	0.02894652	-1.671789	0.000200365	0.0208319	0.3161	3.66287	0.288097	0.298528	0.14804	0.265335	0.06755363	0.4284969
1248	0	-3712.544	-3709.459	-3.08568	0.5648341	0.2114016	0.319092	0.275346	0.694104	0.218421	0.248245	0.235808	0.133808	0.076195	0.0960055	0.0544781	0.0823986	0.31129	0.334077	0.143879	0.0922508	0.265788	0.184803	0.196582	0.1618432	0.03802096	0.0121545	0.495731	0.00589502	0.0010685	0.463534	0.0216174	0.1385527	-1.821128	0.000770833	0.0406011	0.412755	3.54587	0.278838	0.313279	0.135244	0.272639	0.1765737	0.7846737
