Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-6417.412	-6402.257	-15.1555	0.9281255	1	0.2984866	0.053871	0.326082	0.0623369	0.338844	0.128423	0.0410388	0.103275	0.008316833	0.136954	0.476752	1	2.38629	0.417065	0.127125	0.383356	0.0724546	0.06218783	0.1337373
10	-4701.6	-4686.35	-15.25079	0.4951246	0.3449439	0.1415432	0.2380249	0.277899	0.244348	0.177179	0.150275	0.056637	0.0936616	0.007135469	0.00963747	0.139619	0.664109	3.18663	0.175776	0.368393	0.290264	0.165567	0.2451603	0.02910532
20	-4221.024	-4207.3	-13.72462	0.4936539	0.2878962	0.1304819	0.0756374	0.145644	0.380265	0.0733629	0.205737	0.105451	0.0895391	0.01507571	0.00436495	0.0951186	0.574905	3.32561	0.248061	0.313176	0.164401	0.274361	0.09071311	0.1661911
30	-4031.163	-4017.821	-13.34281	0.5462592	0.2469131	0.1206137	0.04139638	0.101411	0.602486	0.0502818	0.0876673	0.10985	0.0483037	0.01623076	0.001971	0.0644699	0.49493	3.43863	0.231793	0.281113	0.1155	0.371594	0.05762714	0.2816513
40	-3951.919	-3938.24	-13.67828	0.4817834	0.2731894	0.1358479	0.006177889	0.0713556	0.678363	0.0286844	0.0712572	0.114589	0.0357515	0.04365615	0.00337292	0.0838759	0.547907	3.36484	0.233569	0.305645	0.109782	0.351004	0.04983404	0.8760307
50	-3873.626	-3858.407	-15.21948	0.4516242	0.2779827	0.1354997	-0.03060865	0.0630481	0.672642	0.0224695	0.0432287	0.168351	0.0302607	0.1412442	0.00367963	0.0875175	0.556907	3.3519	0.228008	0.319077	0.106957	0.345958	0.1106356	1.276662
60	-3774.166	-3754.669	-19.49674	0.4738224	0.2214577	0.1532146	0.1663068	0.0254888	0.51801	0.0207383	0.0395653	0.388869	0.00732891	0.2513117	0.00103687	0.0469987	0.437315	3.51465	0.285357	0.291296	0.13317	0.290177	0.4176185	0.6017733
70	-3746.842	-3728.988	-17.85387	0.2910979	0.2147908	0.2511264	-0.002060124	0.0172737	0.580851	0.00956516	0.0252039	0.360671	0.00643527	0.2320712	0.000854494	0.0427202	0.421148	3.53528	0.288817	0.302087	0.115401	0.293695	0.2300111	1.008957
80	-3747.035	-3730.557	-16.47746	0.2911683	0.2242734	0.2674106	-0.06157369	0.0141042	0.518285	0.00990758	0.0289289	0.425872	0.00290216	0.1717364	0.00112126	0.0488469	0.444007	3.50602	0.303158	0.3241	0.112866	0.259877	0.1101627	1.558934
90	-3735.467	-3720.336	-15.13089	0.2800613	0.2207087	0.2549482	-0.06224843	0.00978328	0.567578	0.00860897	0.00664976	0.404834	0.00254614	0.1011011	0.00101517	0.046511	0.435521	3.51695	0.29712	0.306917	0.126387	0.269575	0.03885263	2.602168
