Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
110	-inf	-inf	-8.7523	1.384632	0.1798443	0.0185275	0.309227	0.31221	0.0307036	0.0991787	0.0597349	0.0489739	0.253531	0.0102042	0.0822079	0.386088	0.213565	0.108548	0.0493321	0.0326763	0.0214462	0.00883947	0.0972903	0.1600083	-0.1830569	0.0124364	0.517357	0.00701075	0.00222148	0.449444	0.0115308	2.518978	0.3015022	-1.83253	0.000244957	0.0230164	0.329051	3.64769	0.300867	0.307536	0.123075	0.268521	0.1184453	2.545497
120	-inf	-inf	-12.28017	1.613769	0.1712684	0.0097123	0.430152	0.315046	0.0102842	0.327453	0.0528173	0.0548604	0.333714	0.00837239	0.0929918	0.195256	0.242085	0.0828587	0.0550551	0.0137251	0.126895	0.0117892	0.113372	0.09696982	-0.330115	0.00751709	0.565597	0.00613	0.0102461	0.398036	0.0124738	2.518978	0.4060948	-2.333355	0.000166722	0.0190148	0.304672	3.67615	0.298942	0.313073	0.121651	0.266335	0.07597979	5.344774
130	-3725.51	-3720.415	-5.095377	2.034689	0.2009143	0.0490417	0.0862752	0.107772	0.0600206	0.0787511	0.0469554	0.211852	0.231575	0.00848309	0.226576	0.19898	0.0688624	0.0237356	0.153041	0.00102939	0.0482428	0.0025886	0.12925	0.1053781	-0.4098845	0.00886767	0.541947	0.00649801	0.00375675	0.419816	0.0191145	2.604724	0.452128	-2.2502	0.000548154	0.0343046	0.38604	3.57911	0.305241	0.289689	0.141655	0.263415	0.04224348	10.7029
140	-inf	-inf	0.2804141	1.589665	0.1940087	0.0919732	0.09825	0.116408	0.108343	0.0570401	0.0743582	0.0652368	0.250576	0.00697957	0.112286	0.254111	0.159281	0.0275807	0.0140749	0.0103257	0.0230472	0.00567077	0.0477572	0.07893992	-0.1485399	0.0162952	0.589611	0.00623539	0.0032331	0.374015	0.0106103	2.53319	0.2140162	-2.539068	0.000429186	0.0303922	0.367841	3.60134	0.303329	0.306381	0.128524	0.261765	0.06547631	3.268604
150	-3716.202	-3713.161	-3.041703	2.229066	0.23596	0.0563976	0.10173	0.0581644	0.0589818	0.0523758	0.0807767	0.0745153	0.212705	0.00424862	0.0859332	0.116515	0.213704	0.0122492	0.0443115	0.0885234	0.0201782	0.0192134	0.29733	0.05397489	-0.1717501	0.0211836	0.45026	0.00899795	0.00308545	0.503664	0.012809	2.530533	0.216886	-2.919236	0.00152072	0.0567549	0.470927	3.4708	0.298296	0.301297	0.131341	0.269065	0.04513587	4.80518
160	-3715.83	-3709.981	-5.848888	1.883119	0.1942922	0.0705044	0.208676	0.0600729	0.129925	0.0470374	0.281682	0.0499283	0.2119	0.0104261	0.0756999	0.529195	0.447911	0.00956226	0.0235305	0.0406825	0.0497407	0.0126755	0.0648144	0.1174989	-0.02050614	0.0171007	0.417151	0.0071521	0.0047141	0.547103	0.00677949	2.395985	0.06365539	-2.141326	0.000433668	0.0305489	0.368597	3.60042	0.29996	0.314677	0.131897	0.253465	0.04314925	1.475238
170	-3723.086	-3718.029	-5.056974	2.278325	0.271083	0.0094214	0.166744	0.0818538	0.0194516	0.0849334	0.238572	0.216217	0.23185	0.00936076	0.227946	0.209844	0.0648169	0.0102768	0.0468734	0.0667143	0.013505	0.0400383	0.0811586	0.1756674	-0.05947946	0.00858321	0.566818	0.00243086	0.00627574	0.40711	0.00878239	2.647669	0.09438966	-1.739163	0.00324319	0.0822837	0.54389	3.37058	0.297436	0.297743	0.126468	0.278353	0.0349102	2.703784
180	-3727.085	-3719.225	-7.860464	2.618308	0.1910196	0.00874	0.158974	0.138711	0.0102832	0.0852277	0.280004	0.362476	0.34212	0.0219324	0.266191	0.169115	0.0694513	0.00581282	0.267051	0.0854274	0.0100588	0.130825	0.0811445	0.1106338	-0.005195073	0.0178658	0.514396	0.00202626	0.00464838	0.455153	0.00591045	2.704436	0.0402539	-2.201529	0.000383941	0.0287606	0.359816	3.61104	0.297122	0.287392	0.126335	0.289152	0.03505883	1.148182
190	-inf	-inf	-1.777587	1.185642	0.1985471	0.0105266	0.0881941	0.102837	0.00608817	0.0657563	0.178839	0.179569	0.286711	0.0193102	0.145202	0.350001	0.0354359	0.0524865	0.196039	0.0504182	0.0719093	0.00215178	0.027982	0.08142083	0.02034584	0.0187045	0.519695	0.00678104	0.00276487	0.446059	0.00599573	2.601179	0.006054182	-2.508124	0.000505026	0.0329415	0.379855	3.5867	0.297072	0.320607	0.123156	0.259164	0.02640003	0.2293248
200	-3713.416	-3712.136	-1.280529	2.599386	0.2117862	0.0414893	0.077482	0.0861991	0.0348581	0.0683798	0.143411	0.0961286	0.297129	0.00918712	0.156038	0.14166	0.210005	0.00589689	0.128246	0.0675679	0.018163	0.0206125	0.129961	0.102306	0.05404044	0.0126545	0.455395	0.00353069	0.00502148	0.516766	0.00663248	2.885457	0.008938679	-2.279787	0.000780028	0.0408396	0.413713	3.54467	0.31872	0.300411	0.132131	0.248739	0.06297912	0.1419308
