Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
11	1	12.06644	0	12.06644	21.0146	1.01297	0.00676587	0.0106014	0.0507466	0.0184767	0.00227133	0.0308195	0.00997888	0.0215187	0.0130072	0.00326127	0.00609628	0.0267277	0.0276709	0.00790014	0.00104614	0.0195845	0.0163159	0.0138018	0.02203979	-0.03203532	0.176793	0.130187	0.142684	0.184789	0.217698	0.147849	29.78638	0.05999229	-3.814906	0.139534	0.480616	1.00212	2.37773	0.188178	0.23154	0.361423	0.218859	0.02795697	2.14588
12	0	-10.387	0	-10.387	3.631917	1.506527	0.0459564	0.0151643	0.164695	0.0284888	0.133423	0.0539422	0.0215969	0.0083935	0.0213614	0.102886	0.290748	0.1539	0.10212	0.224921	0.023024	0.176381	0.0569622	0.066278	0.08485089	-0.4083833	0.133433	0.102001	0.0637406	0.43791	0.0590852	0.20383	25.52583	0.5074754	-2.46686	0.226329	0.589639	1.0508	2.13323	0.392345	0.236018	0.179676	0.191961	0.09909212	5.121249
13	1	19.96207	0	19.96207	22.09908	0.6785608	0.00598101	0.0319598	0.0668251	0.0132002	0.00115409	0.0102605	0.00262407	0.00598853	0.0126435	0.00180957	0.00446233	0.00316039	0.000279071	0.00470162	0.000699182	0.00679524	0.00775592	0.00903817	0.01689158	-0.0403325	0.277863	0.177306	0.128955	0.172083	0.0714865	0.172307	25.04877	0.05993575	-4.08094	0.069616	0.353236	0.916657	2.66049	0.217514	0.190085	0.544211	0.0481896	0.01960325	3.057439
14	0	-2.29993	0	-2.29993	3.190484	1.048167	0.0115701	0.0507511	0.0431082	0.0650172	0.0633488	0.11307	0.0315445	0.212518	0.154603	0.0446697	0.0633999	0.0395577	0.0317679	0.0186773	0.0560254	0.00916958	0.0299576	0.0383024	0.07674222	-0.3870656	0.156397	0.0986496	0.186391	0.194958	0.133907	0.229696	35.39016	0.5161095	-2.567303	0.146463	0.490766	1.00754	2.35523	0.387194	0.267613	0.149222	0.195971	0.1290439	3.999489
15	1	14.27144	0	14.27144	21.44885	0.9659306	0.00363363	0.00772729	0.0749238	0.0221686	0.000141646	0.00178104	0.0138897	0.0184624	0.0371128	0.0055749	0.0210309	0.00211094	0.0102222	0.000902165	0.000155963	0.011124	0.0062727	0.0303071	0.01745956	-0.01384874	0.418522	0.238971	0.118053	0.0524824	0.0628958	0.109076	35.61026	0.08592521	-4.047868	0.130107	0.466266	0.994117	2.40951	0.337896	0.410252	0.168438	0.0834137	0.07207647	1.19214
16	0	-15.92119	0	-15.92119	4.23374	3.040938	0.0388949	0.0733232	0.0399604	0.144862	0.193243	0.209343	0.0669618	0.233029	0.438418	0.0895397	0.102472	0.16912	0.0260032	0.247935	0.211688	0.0223115	0.0759132	0.0834672	0.1243216	-0.2710182	0.142724	0.0680346	0.120746	0.373458	0.165315	0.129723	17.138	0.3239988	-2.084883	0.392404	0.73377	1.08271	1.79111	0.397842	0.35461	0.117611	0.129937	0.0529806	6.115424
17	1	22.40398	0	22.40398	20.15547	0.8961596	0.00169871	0.00513505	0.0253835	0.0204074	0.000303136	0.000438009	0.0111471	0.0428979	0.00550519	0.00440673	0.00319483	0.00665228	0.00860765	0.00394348	0.00112289	0.00320096	0.00293831	0.00885211	0.009457284	0.02879003	0.302778	0.327941	0.14855	0.0577155	0.048865	0.114151	32.39403	0.0520781	-4.66097	0.115798	0.44315	0.980411	2.46064	0.722194	0.113997	0.0989536	0.0648559	0.08086813	0.6439879
18	0	-36.49989	0	-36.49989	8.972274	4.547735	0.189145	0.981787	0.116377	0.716744	0.345557	0.509014	0.026699	0.467785	0.360445	0.127059	0.126043	0.220828	0.142026	0.365484	0.329484	0.466675	0.10571	0.114439	0.2318581	-0.5067704	0.129062	0.0538165	0.221094	0.368	0.126083	0.101944	11.67106	0.5414616	-1.46163	0.482135	0.792248	1.08399	1.64163	0.295392	0.372237	0.0629538	0.269417	0.03469121	15.60803
19	1	8.560465	0	8.560465	38.06443	0.1947209	0.000576959	0.0126738	0.066202	0.0200166	0.00175097	0.00489359	0.0257199	0.0447478	0.0121749	0.0378087	0.0124564	0.0210797	0.0103673	0.0104429	0.00240854	0.0129624	0.00468629	0.035505	0.01382608	0.00174773	0.233045	0.311174	0.105933	0.210871	0.0575026	0.0814743	41.10159	0.03508389	-4.281198	0.000440508	0.0307865	0.36974	3.59903	0.281122	0.256535	0.309037	0.153306	0.03683162	0.9525481
20	0	-30.44996	0	-30.44996	20.53028	1.849209	0.10883	0.203918	0.0746794	0.0851133	0.236168	0.091316	0.00716765	0.0606349	0.367239	0.0201476	0.0684257	0.752791	0.0919446	0.453311	0.133375	0.331444	0.0604867	0.0914843	0.1398371	-0.2404788	0.173384	0.309263	0.172809	0.188392	0.126791	0.0293612	44.96001	0.287378	-1.967277	0.274585	0.637957	1.06571	2.02174	0.180226	0.387163	0.023917	0.408694	0.04689912	6.127577
21	1	-9.70885	0	-9.70885	41.68415	0.1991948	0.00107467	0.00287603	0.0760588	0.0143511	0.000957404	0.00588643	0.0489491	0.01997	0.0137904	0.0665313	0.0502741	0.00224158	0.015379	0.0100163	0.0880685	0.0509641	0.0160773	0.100822	0.04302945	-0.06001226	0.344593	0.146676	0.161025	0.157299	0.0659755	0.124431	42.68751	0.07594325	-3.14587	0.000516577	0.0333122	0.381553	3.58462	0.599125	0.0400107	0.208741	0.152123	0.01593099	4.767014
22	0	-34.67583	0	-34.67583	21.2483	1.710805	0.0507319	0.0789275	0.0753735	0.113532	0.0677051	0.0330494	0.00713687	0.109647	0.394517	0.410537	0.253483	0.720758	0.160015	0.107379	0.493988	0.875952	0.0365057	0.170849	0.2273245	-0.1193915	0.053383	0.376303	0.101797	0.308712	0.147667	0.0121384	25.77662	0.1573235	-1.481377	0.256129	0.620258	1.06073	2.06288	0.34634	0.500472	0.0259981	0.12719	0.03793208	4.147506
23	1	-7.038272	0	-7.038272	20.79221	0.04954648	0.0012012	0.180313	0.0880369	0.0145305	0.00144179	0.067622	0.0468793	0.0139741	0.0158472	0.0575545	0.0492924	0.00092617	0.0332185	0.1052	0.00827299	0.00178763	0.0597348	0.0697323	0.0449958	0.03325407	0.344777	0.0857928	0.154329	0.0978652	0.123898	0.193338	42.57608	0.02584773	-3.101186	3.9281e-13	9.35237e-07	0.00502767	3.99497	0.60025	0.0266574	0.154492	0.218601	0.0591018	0.4373425
24	0	-24.25637	0	-24.25637	4.699795	4.807114	0.0728735	0.067748	0.393823	0.06695	0.100268	0.0624758	0.0226056	0.179748	0.0987725	0.0554042	0.294064	0.126594	0.017493	0.16414	0.0813889	0.19628	0.13677	0.345759	0.1596933	0.03158617	0.0543516	0.319156	0.0788616	0.373792	0.163802	0.0100373	17.78976	0.0805511	-1.8345	0.493864	0.799187	1.08362	1.62333	0.158266	0.638059	0.0549871	0.148688	0.1121373	0.7183259
25	1	-23.24165	0	-23.24165	17.36978	0.05760255	0.0014498	0.492	0.203608	0.119011	0.00735766	0.0729886	0.0570563	0.129305	0.130703	0.140475	0.0293522	0.0260354	0.0520339	0.176535	0.171567	0.0217072	0.105067	0.225233	0.13033	0.0128387	0.397476	0.0669104	0.299642	0.104608	0.0686723	0.0626911	30.04173	0.02476702	-2.037685	1.96357e-11	6.60786e-06	0.0113174	3.98868	0.8732	0.0126588	0.0399718	0.0741692	0.03760572	0.6585972
