Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
10	0	-3945.049	-3851.224	-93.82537	10.63294	0.2183219	0.00243986	0.00502582	0.0622878	0.000198126	8.75973e-05	0.010056	0.0185788	0.00546014	0.0128178	0.00243575	0.0216441	0.0135204	0.0378091	0.00394816	0.00532189	0.0797944	0.00436065	0.0507364	0.0153114	0.00687421	0.0125136	0.00217212	0.0234689	0.0182737	0.000100077	0.000927262	0.0218391	0.0020075	0.0104125	0.0190943	0.022734	0.00309414	9.11088e-05	1.05876e-06	0.0103081	0.00757792	0.048159	0.0181794	0.00476343	0.00597599	0.0115798	0.00635463	0.01625492	0.07455352	0.0172382	0.245109	0.0520662	0.0207354	0.642561	0.0222905	32.54893	0.08640281	5	40.06513	0.2295917	0.000948089	0.0449687	0.429767	3.52432	0.318858	0.25636	0.184878	0.239904	0.1609563	0.536809
11	1	-3844.206	-3726.434	-117.7713	17.63506	0.1953175	0.00843948	0.00621063	0.017465	0.0232255	0.00764948	0.00164145	0.0212902	0.012668	0.0482037	0.00706219	0.00202146	0.00709971	0.0116808	0.0300273	0.0182203	0.018449	0.0013122	0.00552991	0.00727771	0.0209708	0.0199016	0.0583847	0.00664805	0.00669836	0.00822902	0.00501001	0.0354035	0.0271409	0.00302305	0.00208381	0.0157176	0.0159885	0.00798322	0.00288547	0.0379011	0.00635385	0.00327373	0.00100553	0.00285603	0.00352665	0.00586013	0.00150876	0.009902558	-0.01515495	0.016291	0.489109	0.00134784	0.00252135	0.474274	0.0164566	30.95091	0.060445	3	41.81068	0.2041372	0.000450157	0.0311186	0.371327	3.5971	0.310018	0.308527	0.120772	0.260684	0.04529005	1.33462
12	0	-3838.129	-3758.75	-79.37869	7.776857	0.1827859	0.000714915	0.00302554	0.0307237	0.000230336	7.68486e-05	0.0162681	0.00965761	0.0165896	0.0108814	0.00895887	0.0223207	0.0119742	0.0227291	0.00445524	0.00834201	0.0656514	0.00444201	0.0385671	0.013979	0.00708475	0.0212752	0.00705965	0.010815	0.0117268	0.00427311	0.000770436	0.0237595	0.00793749	0.00373431	0.00682791	0.0129432	0.00116752	6.74958e-05	1.56258e-06	0.00209548	0.0097937	0.0540261	0.0275985	0.00336878	0.0151468	0.0044984	0.00978446	0.01570949	0.005131794	0.0159294	0.331114	0.0202998	0.00870235	0.604909	0.019046	26.14114	0.1090811	6	39.2809	0.3005297	0.000277195	0.0244721	0.337264	3.63799	0.305927	0.277553	0.180791	0.235729	0.1142129	0.9550682
13	1	-3838.669	-3726.984	-111.6851	10.24041	0.206481	0.00912677	0.0103603	0.0142798	0.0112236	0.00773607	0.00132979	0.0087481	0.0104125	0.0747099	0.0107732	0.00453444	0.00822953	0.00853097	0.0361137	0.0121185	0.0171158	0.00156881	0.00577576	0.00599554	0.0211483	0.00948628	0.0475721	0.00673538	0.0163017	0.0025947	0.00432259	0.0332915	0.039791	0.0024165	0.00189284	0.00480291	0.022184	0.0165041	0.0023127	0.0121855	0.0100608	0.000216349	0.0188105	0.00228529	0.0034416	0.0232454	0.000291223	0.01452971	-0.02266351	0.0168854	0.503008	0.000956155	0.00126398	0.467658	0.010228	26.87508	0.07520209	3	42.51019	0.2334371	0.000659736	0.0375961	0.40036	3.56138	0.304814	0.298762	0.125511	0.270913	0.05253858	1.431369
14	0	-3785.065	-3722.024	-63.04159	7.776857	0.1548186	0.00081629	0.00296161	0.0277412	0.000391813	0.000179178	0.0306707	0.0156696	0.0112879	0.0144571	0.00579155	0.021865	0.0145255	0.0160579	0.00412298	0.0103877	0.054438	0.00452998	0.0662036	0.0141192	0.0081217	0.0173272	0.00910274	0.00803602	0.0120398	0.00479948	0.000710825	0.00645483	0.0238238	0.00382762	0.0108061	0.0113444	0.00400405	3.11368e-05	1.46864e-06	0.00264889	0.00561914	0.0457847	0.0266624	0.00564146	0.0111493	0.00348084	0.011407	0.01422302	0.01853683	0.00392373	0.46985	0.0122879	0.00243844	0.502841	0.00865846	23.09295	0.1217966	8	37.86061	0.2614913	7.07181e-05	0.0124147	0.256308	3.73121	0.318239	0.280762	0.134605	0.266393	0.1403334	0.8679087
15	1	-3832.551	-3713.864	-118.6871	10.71412	0.1768383	0.00735084	0.0671289	0.04561	0.0178383	0.00814833	0.00138684	0.00978003	0.0207027	0.0837526	0.0171815	0.00601379	0.00687521	0.0218195	0.090526	0.0238972	0.0368902	0.00274981	0.00140737	0.0207275	0.0097842	0.00754968	0.0823594	0.00492235	0.001059	0.0020818	0.00224518	0.0282758	0.0254542	0.0163739	0.0016969	0.00214103	0.0463681	0.0120575	0.00715747	0.00648479	0.00965874	0.000148676	0.00723509	0.00418916	0.0167051	0.0193264	0.000751674	0.02611993	0.04189147	0.0125416	0.509242	0.00264257	0.00183249	0.461104	0.0126375	35.75037	0.08452973	4	43.10018	0.2420848	0.000214966	0.0215721	0.320579	3.65763	0.310283	0.299802	0.125948	0.263968	0.1264212	0.6686357
16	0	-3791.562	-3721.223	-70.33829	7.776857	0.211263	0.000652705	0.0039014	0.0259439	0.000359364	8.96468e-05	0.0433613	0.0199122	0.00862936	0.0127989	0.0117672	0.0218204	0.0133755	0.0251626	0.00873299	0.0121858	0.0499561	0.00587612	0.0564573	0.021645	0.0105881	0.0177811	0.0226813	0.00925722	0.0195963	0.00684184	0.000942254	0.00521555	0.0198189	0.00476676	0.00746536	0.0176157	0.00362009	0.000117736	1.04066e-06	0.0015952	0.0121194	0.0247567	0.012115	0.00689377	0.00426855	0.0028137	0.0112224	0.01378135	-0.005147341	0.0122685	0.467145	0.0108047	0.00411511	0.497295	0.00837159	23.77383	0.133068	8	38.61385	0.2614913	0.000767538	0.0405153	0.412409	3.54631	0.318239	0.280762	0.134605	0.266393	0.1279206	1.040239
17	1	-3826.366	-3717.858	-108.5075	6.695469	0.1758259	0.0398781	0.0232128	0.0174972	0.0198907	0.0153824	0.00376067	0.00859652	0.00737409	0.0622878	0.0135637	0.00743821	0.00658449	0.0160457	0.0120228	0.0133185	0.0268459	0.00253017	0.000855335	0.0123593	0.00706666	0.00932597	0.0499767	0.00691827	0.000938672	0.00437613	0.00156721	0.0122174	0.012342	0.0282344	0.0117584	0.00539121	0.055731	0.005875	0.0377231	0.00187284	0.0154362	0.000109962	0.0259744	0.0262888	0.000735123	0.00926793	0.00183898	0.01233808	0.01284009	0.0124062	0.565512	0.00234502	0.00140141	0.406017	0.0123183	35.00434	0.08332065	2	41.18872	0.2293532	0.000205508	0.0210956	0.317707	3.66099	0.291367	0.315404	0.116554	0.276674	0.09616074	0.8664726
18	0	-3789.435	-3718.328	-71.10719	7.776857	0.1601316	0.000785024	0.00620087	0.0185614	0.000323466	9.28555e-05	0.023345	0.0255325	0.00931685	0.0132355	0.0101904	0.0173405	0.0115988	0.00904046	0.0110994	0.00940434	0.0797312	0.00718539	0.0533648	0.0142022	0.0181503	0.0223679	0.0385704	0.01697	0.0220789	0.023807	0.000846903	0.0265201	0.0180914	0.00833531	0.0103269	0.00528569	0.0106753	3.98922e-06	6.75305e-07	0.00207771	0.00701257	0.0337356	0.00943323	0.00650094	0.00234959	0.00355654	0.00543459	0.01647829	-0.03715805	0.0120472	0.514007	0.0120306	0.00428285	0.454212	0.00342053	22.77547	0.1467029	8	38.3214	0.288895	9.5108e-05	0.0143861	0.27213	3.71339	0.290196	0.301938	0.156506	0.25136	0.1095449	1.339204
19	1	-3806.612	-3718.119	-88.49375	7.34768	0.1459586	0.00879026	0.0161027	0.0163641	0.0110657	0.0090649	0.000284627	0.013645	0.0111551	0.0443961	0.0163074	0.00473122	0.00350063	0.0207577	0.0116346	0.00695866	0.0257403	0.00407407	0.00675937	0.0082472	0.00612982	0.00419364	0.035461	0.0191798	0.00181763	0.0334069	0.00232788	0.015626	0.0114408	0.0262661	0.00654466	0.00511408	0.0277624	0.00812051	0.00901374	0.00190504	0.0218278	0.00219024	0.0114929	0.0212879	0.00241739	0.00844965	0.00783131	0.01084281	-0.009723285	0.0135356	0.518002	0.00380371	0.00229471	0.452052	0.0103114	36.03128	0.1059695	4	40.61364	0.2920506	4.11194e-05	0.00947821	0.229604	3.76088	0.293875	0.311619	0.115449	0.279056	0.09624624	1.101025
