Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
120	-24.25637	0	-24.25637	4.699795	4.807114	0.0728735	0.067748	0.393823	0.06695	0.100268	0.0624758	0.0226056	0.179748	0.0987725	0.0554042	0.294064	0.126594	0.017493	0.16414	0.0813889	0.19628	0.13677	0.345759	0.1596933	0.03158617	0.0543516	0.319156	0.0788616	0.373792	0.163802	0.0100373	17.78976	0.0805511	-1.8345	0.493864	0.799187	1.08362	1.62333	0.158266	0.638059	0.0549871	0.148688	0.1121373	0.7183259
130	-12.63691	0	-12.63691	9.700735	6.286694	0.0642208	0.0235366	0.0999875	0.102208	0.0542715	0.11479	0.0273843	0.0686026	0.0984404	0.029744	0.0757577	0.038579	0.032654	0.0485211	0.0341442	0.0575326	0.0430681	0.0473063	0.1059485	-0.06893738	0.133436	0.210912	0.109031	0.510421	0.00964592	0.0265548	39.2135	0.1644212	-2.244802	0.548087	0.829458	1.08061	1.54185	0.435099	0.300177	0.0499249	0.214799	0.09548381	1.72198
140	-12.45489	0	-12.45489	9.594789	12.61892	0.0218337	0.019259	0.0185604	0.0784999	0.071658	0.116066	0.0152523	0.231014	0.0283789	0.0593765	0.0671744	0.0396607	0.0676975	0.144868	0.157047	0.0346706	0.0748454	0.0668711	0.07981119	-0.05630183	0.190895	0.166177	0.160461	0.421078	0.0358642	0.0255243	32.17454	0.1333602	-2.528092	0.668266	0.887446	1.0675	1.37679	0.524209	0.104535	0.0313216	0.339934	0.0770584	1.730638
150	-22.67948	0	-22.67948	27.43334	40.51193	0.026805	0.0783987	0.225169	0.0904776	0.261139	0.186748	0.0135866	0.158879	0.0184675	0.0544052	0.0784757	0.0360185	0.0286739	0.0690724	0.104376	0.0632326	0.211264	0.0475453	0.09688921	-0.04730969	0.242242	0.170764	0.193998	0.279266	0.0821551	0.0315753	33.61541	0.06528585	-2.334187	0.807959	0.942186	1.04373	1.20613	0.256333	0.271165	0.0160366	0.456466	0.01797616	3.631801
160	-15.72341	0	-15.72341	33.59319	73.47436	0.0191582	0.211434	0.136045	0.0260273	0.0905862	0.0662438	0.0072656	0.0316138	0.0422865	0.117314	0.0148531	0.0185233	0.0532829	0.0712111	0.180383	0.0675883	0.0136822	0.0534257	0.06477681	-0.0212779	0.424324	0.0300596	0.105389	0.240044	0.165207	0.0349766	44.37036	0.03572729	-2.736808	0.85585	0.958335	1.03389	1.15192	0.265405	0.131521	0.0388515	0.564223	0.01444938	2.472582
170	-17.73339	0	-17.73339	15.0976	115.7844	0.0274685	0.0416425	0.0687833	0.0324922	0.131925	0.0463846	0.0832594	0.0871722	0.0482785	0.265442	0.0144734	0.0609132	0.102901	0.0128792	0.214017	0.17434	0.0843555	0.0485064	0.07359862	-0.1553813	0.275185	0.0554439	0.224468	0.225007	0.187321	0.0325752	43.24704	0.1875038	-2.609129	0.884467	0.96741	1.02766	1.12047	0.20262	0.145962	0.082889	0.568529	0.03212251	5.837148
180	-9.749149	0	-9.749149	18.0219	180.2833	0.0312685	0.0413336	0.109757	0.0254933	0.0620507	0.0520398	0.150164	0.0398234	0.0140454	0.0817902	0.0272411	0.0182026	0.0685033	0.00169388	0.13051	0.107412	0.0233608	0.0162597	0.05327445	-0.06350534	0.0921845	0.0480957	0.594416	0.148328	0.107427	0.00954794	31.18657	0.1006942	-2.932298	0.906983	0.974261	1.02257	1.09619	0.235923	0.171873	0.0645197	0.527684	0.03718882	2.707646
190	-23.23875	0	-23.23875	7.085784	403.7212	0.0309423	0.0597586	0.0555061	0.00428645	0.0540295	0.0945699	0.593304	0.0939159	0.0162209	0.257228	0.090257	0.0166241	0.0592475	0.239653	0.0732617	0.272377	0.0120654	0.0851927	0.09156712	0.02702034	0.187359	0.0866781	0.348536	0.220982	0.127873	0.0285725	46.61964	0.1088758	-2.390683	0.937466	0.983142	1.01544	1.06395	0.258862	0.198387	0.0981949	0.444556	0.1358962	0.8011692
200	-16.96286	0	-16.96286	12.0651	595.7431	0.00462501	0.0563002	0.0735484	0.0337738	0.0768635	0.0728601	0.0310606	0.0399618	0.00476255	0.0430125	0.166626	0.272867	0.00807305	0.0628655	0.127253	0.180738	0.057647	0.120869	0.1009951	0.0277748	0.316166	0.183644	0.196484	0.168432	0.123442	0.0118323	39.24707	0.0625646	-2.292683	0.948413	0.986223	1.01282	1.05255	0.240479	0.189378	0.151762	0.418381	0.09033939	0.6925506
210	-23.94104	0	-23.94104	12.96873	780.9743	0.0591672	0.101022	0.00826458	0.00509845	0.330531	0.0275487	0.0276858	0.505718	0.0675365	0.0325435	0.153655	0.34059	0.0441467	0.0821894	0.0680559	0.0435173	0.302831	0.119322	0.09442491	0.0252221	0.615767	0.113079	0.0760237	0.0945405	0.0873627	0.0132272	21.42968	0.01451714	-2.35995	0.954889	0.988019	1.01125	1.04584	0.161615	0.0672243	0.589078	0.182083	0.03973924	0.3653101
